bairro,latitude,longitude,ano,mes,temperatura
Santo AntÃ´nio,9108146.872,292305.893,2013,abr,26.098915264218224
SÃ£o JosÃ©,9106966.415,291028.633,2013,abr,28.833037020340715
Recife Antigo,9109085.741,292919.623,2013,abr,25.42467760574187
Cabanga,9106406.495,290656.46,2013,abr,27.335180530662534
Coelhos,9107760.014,291308.772,2013,abr,26.67239620305543
Ilha do Leite,9107978.96,291077.482,2013,abr,26.457039248458308
PaissandÃº,9108194.842,290416.08,2013,abr,26.13345917325816
Ilha Joana Bezerra,9107310.114,290425.748,2013,abr,26.03097951671111
Boa Vista,9109077.387,290876.732,2013,abr,27.990800658547965
Soledade,9108960.796,291276.183,2013,abr,28.040830277637557
Santo Amaro,9109946.116,291880.247,2013,abr,26.1474532583323
Dois Unidos,9115506.345,288388.799,2013,abr,28.34902674896807
Beberibe,9114586.482,290525.705,2013,abr,26.752948527982184
Linha do Tiro,9114233.62,289504.946,2013,abr,28.42793852075908
Ãgua Fria (Plana),9113172.84,291071.501,2013,abr,28.366874806738497
Ãgua Fria (Alta),9113472.429,290156.813,2013,abr,28.89578289212998
Porto da Madeira,9114404.262,291240.722,2013,abr,27.800726231770337
Cajueiro,9113978.874,291787.251,2013,abr,26.79509517275353
Campina do Barreto,9113360.156,292045.138,2013,abr,25.82981556977259
Peixinhos,9113079.242,292663.795,2013,abr,28.19705580815374
Arruda,9112577.585,290778.65,2013,abr,26.912809212235928
Encruzilhada,9111342.984,291147.432,2013,abr,27.35414171559456
Ponto de Parada,9111944.964,291203.258,2013,abr,27.342526943946293
FundÃ£o,9113692.115,291141.885,2013,abr,27.50750871431665
HipÃ³dromo,9111681.871,291492.858,2013,abr,28.05676929450619
Rosarinho,9111613.61,290381.157,2013,abr,26.195481769686563
TorreÃ£o,9110784.651,292131.119,2013,abr,26.954067384968877
Campo Grande,9111851.014,291827.584,2013,abr,27.84214540603086
Alto Santa Terezinha,9113598.2,289883.467,2013,abr,25.859913671215597
Bomba do HemetÃ©rio,9112880.579,289851.021,2013,abr,27.83842045777716
Derby,9108891.462,290104.934,2013,abr,25.301826587375626
GraÃ§as,9110255.798,289708.079,2013,abr,26.099653076270613
Espinheiro,9110331.328,291132.224,2013,abr,26.925612377014545
Aflitos,9110761.843,290578.478,2013,abr,25.560742173604798
Jaqueira,9111017.043,289466.588,2013,abr,26.259073213157645
Tamarineira,9111760.594,289914.716,2013,abr,26.49463792284248
Santana,9110759.51,288467.83,2013,abr,27.7061790414024
Parnamirim,9111469.017,288892.196,2013,abr,26.65997872141568
Casa Forte,9111477.721,288043.907,2013,abr,26.72462244341235
PoÃ§o da Panela,9111288.519,287134.705,2013,abr,27.305056134858525
Casa Amarela,9112326.465,287770.32,2013,abr,29.37534894652648
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2013,abr,27.480310282962005
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2013,abr,28.718609095845103
Alto JosÃ© do Pinho,9112751.629,289283.565,2013,abr,25.476731336214044
Vasco da Gama,9113922.665,287550.762,2013,abr,27.58642185591769
Monteiro,9112251.966,286935.676,2013,abr,27.19280592590656
Apipucos,9113185.175,285711.387,2013,abr,26.457667715084472
Alto do MandÃº,9112720.118,286967.594,2013,abr,28.614077777161512
SÃ­tio dos Pintos,9113652.981,283248.377,2013,abr,25.514350244606295
CÃ³rrego do Jenipapo,9114931.748,285628.687,2013,abr,26.20904088178565
Dois IrmÃ£os,9114316.891,283046.585,2013,abr,26.53945291472421
Macaxeira,9113929.124,286266.928,2013,abr,25.864069688480907
Nova Descoberta,9114374.078,285455.447,2013,abr,28.14865684773041
Brejo de Beberibe,9115426.776,287368.207,2013,abr,26.33399299677289
Guabiraba,9118925.116,280472.66,2013,abr,25.82523019865082
Brejo de Guabiraba,9116011.252,286470.068,2013,abr,25.37813727841135
Passarinho,9117604.478,286529.856,2013,abr,26.44905720488096
Mangabeira,9112583.36,290041.311,2013,abr,26.392453677940978
VÃ¡rzea Baixo,9112566.575,286421.591,2013,abr,26.262912884289317
VÃ¡rzea UR7,9111147.548,281788.536,2013,abr,29.16034352924905
CaxangÃ¡,9112046.853,283641.068,2013,abr,27.47950375623741
Iputinga,9111218.811,284743.585,2013,abr,26.46579402299093
Engenho do Meio,9108934.504,284977.522,2013,abr,26.823952699097045
TorrÃµes,9108474.182,285633.242,2013,abr,28.262383618332105
Cordeiro,9109569.979,286498.08,2013,abr,28.533193351438925
Zumbi,9109369.482,288172.472,2013,abr,25.79553783919985
Torre,9110457.305,288948.15,2013,abr,26.867432557471435
Prado,9108489.273,288218.34,2013,abr,27.305261260477792
Madalena,9109260.52,288708.035,2013,abr,25.079769886551624
Ilha do Retiro,9108073.724,289620.413,2013,abr,26.392093580107485
VÃ¡rzea Brasilit,9110245.917,284310.527,2013,abr,26.10529373408173
Cidade UniversitÃ¡ria,9109225.991,284041.371,2013,abr,30.198384678950223
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2013,abr,27.267002642547112
Afogados (Marrom GlacÃª),9106094.768,289066.699,2013,abr,26.551321870036816
Afogados,9106757.379,287276.756,2013,abr,25.317139919099915
Bongi,9108001.134,287967.704,2013,abr,26.59109384681137
San Martin,9107597.587,286249.826,2013,abr,25.744450819414087
Mustardinha,9107309.05,288019.099,2013,abr,27.394491204866902
Mangueira,9106752.433,287877.617,2013,abr,28.55558477909239
EstÃ¢ncia,9105779.586,286336.174,2013,abr,27.754627387467885
JiquiÃ¡,9105785.996,286821.099,2013,abr,26.526778789725338
CaÃ§ote,9104102.268,286696.977,2013,abr,28.02734120076752
Areias,9104721.352,286348.888,2013,abr,25.910195394840454
TejipiÃ³,9105212.347,283469.404,2013,abr,28.531794126710395
Sancho,9105806.562,283345.513,2013,abr,27.16726824711038
Barro,9104276.244,283228.614,2013,abr,26.02049065811664
Coqueiral,9105579.969,282521.737,2013,abr,26.657007590816757
Curado,9107299.958,282026.143,2013,abr,25.442847435831645
TotÃ³,9106028.466,282845.232,2013,abr,26.690289329851662
Jardim SÃ£o Paulo,9106091.212,284789.366,2013,abr,25.21038189261427
BrasÃ­lia Teimosa,9105867.58,291910.581,2013,abr,28.08314189762045
Pina,9104526.606,289352.098,2013,abr,25.867371127557924
Imbiribeira,9103325.289,287372.583,2013,abr,28.04796327831616
Boa Viagem,9101159.587,286709.856,2013,abr,26.47621267751397
Ipsep,9103041.538,287270.038,2013,abr,27.4970395711814
Ibura,9102102.397,285143.988,2013,abr,28.350669456386
Ibura Vila do Sesi,9103077.514,286055.398,2013,abr,28.872272955698147
Ibura Parque,9103162.275,285659.265,2013,abr,27.081916745862365
JordÃ£o,9100101.151,286086.751,2013,abr,26.515877159379244
Cohab UR5,9100700.205,285154.725,2013,abr,28.57685768645254
Cohab UR4,9100700.825,285154.722,2013,abr,27.96542709989525
Cohab UR10,9100697.345,284430.969,2013,abr,27.564117305335245
Cohab TrÃªs Carneiros,9101176.409,284411.063,2013,abr,25.81159437087392
Cohab UR2,9101678.284,284448.852,2013,abr,28.5431190652575
Cohab UR3,9102297.398,284375.691,2013,abr,25.16467857036116
Cohab Monte Verde,9102393.38,283809.922,2013,abr,26.01804365656181
UR1,9101905.325,285328.723,2013,abr,26.7966322430106
