bairro,latitude,longitude,ano,mes,temperatura
Santo AntÃ´nio,9108146.872,292305.893,2012,ago,25.754911311561333
SÃ£o JosÃ©,9106966.415,291028.633,2012,ago,22.736513338988846
Recife Antigo,9109085.741,292919.623,2012,ago,22.645931751054043
Cabanga,9106406.495,290656.46,2012,ago,22.669349137263914
Coelhos,9107760.014,291308.772,2012,ago,23.833703593021617
Ilha do Leite,9107978.96,291077.482,2012,ago,24.860561961071134
PaissandÃº,9108194.842,290416.08,2012,ago,23.85653040794929
Ilha Joana Bezerra,9107310.114,290425.748,2012,ago,23.642227155052804
Boa Vista,9109077.387,290876.732,2012,ago,23.854624552353137
Soledade,9108960.796,291276.183,2012,ago,25.1527630698376
Santo Amaro,9109946.116,291880.247,2012,ago,25.035481205349505
Dois Unidos,9115506.345,288388.799,2012,ago,22.259795420982808
Beberibe,9114586.482,290525.705,2012,ago,23.172052955648105
Linha do Tiro,9114233.62,289504.946,2012,ago,22.88246211853537
Ãgua Fria (Plana),9113172.84,291071.501,2012,ago,22.81517797886128
Ãgua Fria (Alta),9113472.429,290156.813,2012,ago,23.10371855171135
Porto da Madeira,9114404.262,291240.722,2012,ago,23.63111880597791
Cajueiro,9113978.874,291787.251,2012,ago,23.038887700059625
Campina do Barreto,9113360.156,292045.138,2012,ago,23.106305897017396
Peixinhos,9113079.242,292663.795,2012,ago,27.11808676144542
Arruda,9112577.585,290778.65,2012,ago,24.413642393327
Encruzilhada,9111342.984,291147.432,2012,ago,23.4997471562047
Ponto de Parada,9111944.964,291203.258,2012,ago,23.35788695415528
FundÃ£o,9113692.115,291141.885,2012,ago,22.04645680770518
HipÃ³dromo,9111681.871,291492.858,2012,ago,25.02738665113707
Rosarinho,9111613.61,290381.157,2012,ago,26.184079759620783
TorreÃ£o,9110784.651,292131.119,2012,ago,25.252520274803416
Campo Grande,9111851.014,291827.584,2012,ago,24.13962670844129
Alto Santa Terezinha,9113598.2,289883.467,2012,ago,26.138525750797616
Bomba do HemetÃ©rio,9112880.579,289851.021,2012,ago,22.80092746748966
Derby,9108891.462,290104.934,2012,ago,22.38423766247301
GraÃ§as,9110255.798,289708.079,2012,ago,23.889901035993645
Espinheiro,9110331.328,291132.224,2012,ago,24.699104275163386
Aflitos,9110761.843,290578.478,2012,ago,23.78836751075989
Jaqueira,9111017.043,289466.588,2012,ago,23.233191187541426
Tamarineira,9111760.594,289914.716,2012,ago,24.440189697279745
Santana,9110759.51,288467.83,2012,ago,23.29827346106046
Parnamirim,9111469.017,288892.196,2012,ago,22.943012462569683
Casa Forte,9111477.721,288043.907,2012,ago,24.667409509517544
PoÃ§o da Panela,9111288.519,287134.705,2012,ago,23.971138433724764
Casa Amarela,9112326.465,287770.32,2012,ago,24.13234447587297
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2012,ago,23.329407777193044
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2012,ago,22.88731685060016
Alto JosÃ© do Pinho,9112751.629,289283.565,2012,ago,23.877174113071334
Vasco da Gama,9113922.665,287550.762,2012,ago,22.31849836976294
Monteiro,9112251.966,286935.676,2012,ago,24.179895689946783
Apipucos,9113185.175,285711.387,2012,ago,22.58860427930024
Alto do MandÃº,9112720.118,286967.594,2012,ago,23.89228052494646
SÃ­tio dos Pintos,9113652.981,283248.377,2012,ago,23.46326530714337
CÃ³rrego do Jenipapo,9114931.748,285628.687,2012,ago,24.84366984224615
Dois IrmÃ£os,9114316.891,283046.585,2012,ago,24.09184752886513
Macaxeira,9113929.124,286266.928,2012,ago,23.24880145635479
Nova Descoberta,9114374.078,285455.447,2012,ago,23.140013605601496
Brejo de Beberibe,9115426.776,287368.207,2012,ago,23.231415797047347
Guabiraba,9118925.116,280472.66,2012,ago,23.349172469512386
Brejo de Guabiraba,9116011.252,286470.068,2012,ago,22.91337834851877
Passarinho,9117604.478,286529.856,2012,ago,23.581712483355435
Mangabeira,9112583.36,290041.311,2012,ago,24.48462971040043
VÃ¡rzea Baixo,9112566.575,286421.591,2012,ago,21.632310654588057
VÃ¡rzea UR7,9111147.548,281788.536,2012,ago,22.815748611602423
CaxangÃ¡,9112046.853,283641.068,2012,ago,22.71784583550276
Iputinga,9111218.811,284743.585,2012,ago,24.893414505069224
Engenho do Meio,9108934.504,284977.522,2012,ago,22.42505221999318
TorrÃµes,9108474.182,285633.242,2012,ago,24.03003727006296
Cordeiro,9109569.979,286498.08,2012,ago,22.88216915549013
Zumbi,9109369.482,288172.472,2012,ago,23.203623848261078
Torre,9110457.305,288948.15,2012,ago,23.644928873286368
Prado,9108489.273,288218.34,2012,ago,23.495292843618813
Madalena,9109260.52,288708.035,2012,ago,23.21592502621788
Ilha do Retiro,9108073.724,289620.413,2012,ago,24.462003059369604
VÃ¡rzea Brasilit,9110245.917,284310.527,2012,ago,24.34122133698776
Cidade UniversitÃ¡ria,9109225.991,284041.371,2012,ago,23.300898561695192
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2012,ago,24.01895030913758
Afogados (Marrom GlacÃª),9106094.768,289066.699,2012,ago,24.631818496644254
Afogados,9106757.379,287276.756,2012,ago,22.8549115589779
Bongi,9108001.134,287967.704,2012,ago,24.62054969768356
San Martin,9107597.587,286249.826,2012,ago,24.474152650665157
Mustardinha,9107309.05,288019.099,2012,ago,24.91660365137318
Mangueira,9106752.433,287877.617,2012,ago,22.69762947981376
EstÃ¢ncia,9105779.586,286336.174,2012,ago,25.20651791515232
JiquiÃ¡,9105785.996,286821.099,2012,ago,22.880917032673747
CaÃ§ote,9104102.268,286696.977,2012,ago,23.18536398913477
Areias,9104721.352,286348.888,2012,ago,25.09121911904957
TejipiÃ³,9105212.347,283469.404,2012,ago,23.64413797183896
Sancho,9105806.562,283345.513,2012,ago,23.862768541010716
Barro,9104276.244,283228.614,2012,ago,24.980614831458947
Coqueiral,9105579.969,282521.737,2012,ago,24.5086201459038
Curado,9107299.958,282026.143,2012,ago,23.51234139494028
TotÃ³,9106028.466,282845.232,2012,ago,24.28964245018579
Jardim SÃ£o Paulo,9106091.212,284789.366,2012,ago,23.443558329923945
BrasÃ­lia Teimosa,9105867.58,291910.581,2012,ago,22.941226545216832
Pina,9104526.606,289352.098,2012,ago,25.638050104346345
Imbiribeira,9103325.289,287372.583,2012,ago,22.82404085975131
Boa Viagem,9101159.587,286709.856,2012,ago,25.3191871904967
Ipsep,9103041.538,287270.038,2012,ago,24.720473619081663
Ibura,9102102.397,285143.988,2012,ago,22.72108766888457
Ibura Vila do Sesi,9103077.514,286055.398,2012,ago,25.25801234926272
Ibura Parque,9103162.275,285659.265,2012,ago,23.19547742951616
JordÃ£o,9100101.151,286086.751,2012,ago,23.31421290888644
Cohab UR5,9100700.205,285154.725,2012,ago,21.759593187137163
Cohab UR4,9100700.825,285154.722,2012,ago,23.14639322392481
Cohab UR10,9100697.345,284430.969,2012,ago,24.34637245298801
Cohab TrÃªs Carneiros,9101176.409,284411.063,2012,ago,23.71397527737424
Cohab UR2,9101678.284,284448.852,2012,ago,24.24550826898968
Cohab UR3,9102297.398,284375.691,2012,ago,23.3040352698162
Cohab Monte Verde,9102393.38,283809.922,2012,ago,23.10744391377686
UR1,9101905.325,285328.723,2012,ago,23.20691004486355
