bairro,latitude,longitude,ano,mes,temperatura
Santo AntÃ´nio,9108146.872,292305.893,2009,dez,25.639639463234197
SÃ£o JosÃ©,9106966.415,291028.633,2009,dez,27.812011193350354
Recife Antigo,9109085.741,292919.623,2009,dez,27.335153952012316
Cabanga,9106406.495,290656.46,2009,dez,28.25579049255896
Coelhos,9107760.014,291308.772,2009,dez,25.1655405567053
Ilha do Leite,9107978.96,291077.482,2009,dez,27.95274010673691
PaissandÃº,9108194.842,290416.08,2009,dez,26.737625803708028
Ilha Joana Bezerra,9107310.114,290425.748,2009,dez,25.96045297114824
Boa Vista,9109077.387,290876.732,2009,dez,29.35394664104477
Soledade,9108960.796,291276.183,2009,dez,25.93240341155905
Santo Amaro,9109946.116,291880.247,2009,dez,25.809446833355267
Dois Unidos,9115506.345,288388.799,2009,dez,26.85065622664775
Beberibe,9114586.482,290525.705,2009,dez,26.325350406838613
Linha do Tiro,9114233.62,289504.946,2009,dez,28.782571738322225
Ãgua Fria (Plana),9113172.84,291071.501,2009,dez,28.116583332964467
Ãgua Fria (Alta),9113472.429,290156.813,2009,dez,27.057623466889694
Porto da Madeira,9114404.262,291240.722,2009,dez,26.31430246839968
Cajueiro,9113978.874,291787.251,2009,dez,26.83958686845093
Campina do Barreto,9113360.156,292045.138,2009,dez,25.529779554672025
Peixinhos,9113079.242,292663.795,2009,dez,25.63782561357044
Arruda,9112577.585,290778.65,2009,dez,27.581920369487484
Encruzilhada,9111342.984,291147.432,2009,dez,26.931131428141352
Ponto de Parada,9111944.964,291203.258,2009,dez,25.60679615789124
FundÃ£o,9113692.115,291141.885,2009,dez,27.869004115703007
HipÃ³dromo,9111681.871,291492.858,2009,dez,25.48033955367144
Rosarinho,9111613.61,290381.157,2009,dez,26.90732418177001
TorreÃ£o,9110784.651,292131.119,2009,dez,28.254388677792257
Campo Grande,9111851.014,291827.584,2009,dez,27.157104474469985
Alto Santa Terezinha,9113598.2,289883.467,2009,dez,27.924361076366907
Bomba do HemetÃ©rio,9112880.579,289851.021,2009,dez,28.67558113336266
Derby,9108891.462,290104.934,2009,dez,27.18076784849765
GraÃ§as,9110255.798,289708.079,2009,dez,26.597960242913302
Espinheiro,9110331.328,291132.224,2009,dez,27.983673164109817
Aflitos,9110761.843,290578.478,2009,dez,27.714500784734188
Jaqueira,9111017.043,289466.588,2009,dez,27.704427514662072
Tamarineira,9111760.594,289914.716,2009,dez,27.428642328548232
Santana,9110759.51,288467.83,2009,dez,26.135697895530427
Parnamirim,9111469.017,288892.196,2009,dez,25.324673209588116
Casa Forte,9111477.721,288043.907,2009,dez,26.67402598339315
PoÃ§o da Panela,9111288.519,287134.705,2009,dez,26.47179763584716
Casa Amarela,9112326.465,287770.32,2009,dez,27.514801292062614
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2009,dez,27.81391706531147
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2009,dez,26.72715872954613
Alto JosÃ© do Pinho,9112751.629,289283.565,2009,dez,26.375665696286443
Vasco da Gama,9113922.665,287550.762,2009,dez,26.633764983597928
Monteiro,9112251.966,286935.676,2009,dez,26.5258410619404
Apipucos,9113185.175,285711.387,2009,dez,27.96358932165336
Alto do MandÃº,9112720.118,286967.594,2009,dez,28.082025658340093
SÃ­tio dos Pintos,9113652.981,283248.377,2009,dez,26.614578639194622
CÃ³rrego do Jenipapo,9114931.748,285628.687,2009,dez,27.88003283031213
Dois IrmÃ£os,9114316.891,283046.585,2009,dez,26.39877231310484
Macaxeira,9113929.124,286266.928,2009,dez,29.16895493071477
Nova Descoberta,9114374.078,285455.447,2009,dez,27.31159972239201
Brejo de Beberibe,9115426.776,287368.207,2009,dez,26.936223514775783
Guabiraba,9118925.116,280472.66,2009,dez,27.1359838681642
Brejo de Guabiraba,9116011.252,286470.068,2009,dez,26.57610900740996
Passarinho,9117604.478,286529.856,2009,dez,28.49229860479189
Mangabeira,9112583.36,290041.311,2009,dez,30.09556626372625
VÃ¡rzea Baixo,9112566.575,286421.591,2009,dez,28.221196209934757
VÃ¡rzea UR7,9111147.548,281788.536,2009,dez,28.711704228086404
CaxangÃ¡,9112046.853,283641.068,2009,dez,28.990721519394228
Iputinga,9111218.811,284743.585,2009,dez,27.57992474453241
Engenho do Meio,9108934.504,284977.522,2009,dez,26.869067269574984
TorrÃµes,9108474.182,285633.242,2009,dez,29.126759970153277
Cordeiro,9109569.979,286498.08,2009,dez,27.713361261787096
Zumbi,9109369.482,288172.472,2009,dez,27.501840398797125
Torre,9110457.305,288948.15,2009,dez,28.18598150528806
Prado,9108489.273,288218.34,2009,dez,27.157470739127863
Madalena,9109260.52,288708.035,2009,dez,28.25363220972803
Ilha do Retiro,9108073.724,289620.413,2009,dez,28.726089208532507
VÃ¡rzea Brasilit,9110245.917,284310.527,2009,dez,28.06939778167285
Cidade UniversitÃ¡ria,9109225.991,284041.371,2009,dez,27.6638357882014
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2009,dez,28.13706098990828
Afogados (Marrom GlacÃª),9106094.768,289066.699,2009,dez,26.543656861065312
Afogados,9106757.379,287276.756,2009,dez,26.955848147839653
Bongi,9108001.134,287967.704,2009,dez,25.322833738604068
San Martin,9107597.587,286249.826,2009,dez,26.66343600735518
Mustardinha,9107309.05,288019.099,2009,dez,27.82803438126733
Mangueira,9106752.433,287877.617,2009,dez,27.759851506106784
EstÃ¢ncia,9105779.586,286336.174,2009,dez,27.52718788981122
JiquiÃ¡,9105785.996,286821.099,2009,dez,27.195421584664818
CaÃ§ote,9104102.268,286696.977,2009,dez,28.185196110008224
Areias,9104721.352,286348.888,2009,dez,29.02720337918908
TejipiÃ³,9105212.347,283469.404,2009,dez,27.797009034057385
Sancho,9105806.562,283345.513,2009,dez,27.084746489840885
Barro,9104276.244,283228.614,2009,dez,26.367257875106183
