bairro,latitude,longitude,ano,mes,temperatura
Santo AntÃ´nio,9108146.872,292305.893,2012,fev,25.42397152880177
SÃ£o JosÃ©,9106966.415,291028.633,2012,fev,25.9588370871968
Recife Antigo,9109085.741,292919.623,2012,fev,25.60909871821433
Cabanga,9106406.495,290656.46,2012,fev,26.61178039066081
Coelhos,9107760.014,291308.772,2012,fev,26.984824465358844
Ilha do Leite,9107978.96,291077.482,2012,fev,26.84643217387573
PaissandÃº,9108194.842,290416.08,2012,fev,24.50222904391968
Ilha Joana Bezerra,9107310.114,290425.748,2012,fev,25.51028209183306
Boa Vista,9109077.387,290876.732,2012,fev,26.93071733279041
Soledade,9108960.796,291276.183,2012,fev,27.796430685817132
Santo Amaro,9109946.116,291880.247,2012,fev,26.93037604242886
Dois Unidos,9115506.345,288388.799,2012,fev,25.781816982973545
Beberibe,9114586.482,290525.705,2012,fev,26.6474028435294
Linha do Tiro,9114233.62,289504.946,2012,fev,28.34855149661997
Ãgua Fria (Plana),9113172.84,291071.501,2012,fev,26.28520699272613
Ãgua Fria (Alta),9113472.429,290156.813,2012,fev,27.40177147032715
Porto da Madeira,9114404.262,291240.722,2012,fev,26.570534169686997
Cajueiro,9113978.874,291787.251,2012,fev,26.58658496019591
Campina do Barreto,9113360.156,292045.138,2012,fev,25.576758815024007
Peixinhos,9113079.242,292663.795,2012,fev,27.255667110003166
Arruda,9112577.585,290778.65,2012,fev,26.268949258904858
Encruzilhada,9111342.984,291147.432,2012,fev,26.27030440936908
Ponto de Parada,9111944.964,291203.258,2012,fev,26.368977228538704
FundÃ£o,9113692.115,291141.885,2012,fev,26.065842549041328
HipÃ³dromo,9111681.871,291492.858,2012,fev,25.39655632487426
Rosarinho,9111613.61,290381.157,2012,fev,26.973675044520554
TorreÃ£o,9110784.651,292131.119,2012,fev,24.99790238895737
Campo Grande,9111851.014,291827.584,2012,fev,26.06462897642844
Alto Santa Terezinha,9113598.2,289883.467,2012,fev,25.944406466315684
Bomba do HemetÃ©rio,9112880.579,289851.021,2012,fev,26.658485191266745
Derby,9108891.462,290104.934,2012,fev,26.40500500272517
GraÃ§as,9110255.798,289708.079,2012,fev,25.45568083239432
Espinheiro,9110331.328,291132.224,2012,fev,26.87731745612783
Aflitos,9110761.843,290578.478,2012,fev,25.372846195836964
Jaqueira,9111017.043,289466.588,2012,fev,25.88863065068984
Tamarineira,9111760.594,289914.716,2012,fev,26.9346096235734
Santana,9110759.51,288467.83,2012,fev,27.363966375728637
Parnamirim,9111469.017,288892.196,2012,fev,26.89011832592144
Casa Forte,9111477.721,288043.907,2012,fev,26.050924592047085
PoÃ§o da Panela,9111288.519,287134.705,2012,fev,27.409366072763017
Casa Amarela,9112326.465,287770.32,2012,fev,27.53287665388612
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2012,fev,25.650864467734923
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2012,fev,26.576352779468337
Alto JosÃ© do Pinho,9112751.629,289283.565,2012,fev,26.43204122504623
Vasco da Gama,9113922.665,287550.762,2012,fev,26.661329678586903
Monteiro,9112251.966,286935.676,2012,fev,27.68921493553681
Apipucos,9113185.175,285711.387,2012,fev,26.214713485270845
Alto do MandÃº,9112720.118,286967.594,2012,fev,25.939965233485896
SÃ­tio dos Pintos,9113652.981,283248.377,2012,fev,26.85137704725576
CÃ³rrego do Jenipapo,9114931.748,285628.687,2012,fev,26.177938994327626
Dois IrmÃ£os,9114316.891,283046.585,2012,fev,26.2390543588177
Macaxeira,9113929.124,286266.928,2012,fev,28.05520129199558
Nova Descoberta,9114374.078,285455.447,2012,fev,26.411130499387035
Brejo de Beberibe,9115426.776,287368.207,2012,fev,25.815228483975403
Guabiraba,9118925.116,280472.66,2012,fev,25.709849246198395
Brejo de Guabiraba,9116011.252,286470.068,2012,fev,26.521605354735943
Passarinho,9117604.478,286529.856,2012,fev,26.217829413959315
Mangabeira,9112583.36,290041.311,2012,fev,26.019731130440714
VÃ¡rzea Baixo,9112566.575,286421.591,2012,fev,25.670380089126468
VÃ¡rzea UR7,9111147.548,281788.536,2012,fev,25.855403428282184
CaxangÃ¡,9112046.853,283641.068,2012,fev,26.523318149492603
Iputinga,9111218.811,284743.585,2012,fev,27.95391012811276
Engenho do Meio,9108934.504,284977.522,2012,fev,26.99539239969287
TorrÃµes,9108474.182,285633.242,2012,fev,26.89866681707492
Cordeiro,9109569.979,286498.08,2012,fev,25.52953644487149
Zumbi,9109369.482,288172.472,2012,fev,26.62943210484314
Torre,9110457.305,288948.15,2012,fev,25.31002607535638
Prado,9108489.273,288218.34,2012,fev,26.705304857701144
Madalena,9109260.52,288708.035,2012,fev,25.546973124111144
Ilha do Retiro,9108073.724,289620.413,2012,fev,25.26237838744168
VÃ¡rzea Brasilit,9110245.917,284310.527,2012,fev,26.1372132337022
Cidade UniversitÃ¡ria,9109225.991,284041.371,2012,fev,26.265698299924328
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2012,fev,25.647621932677374
Afogados (Marrom GlacÃª),9106094.768,289066.699,2012,fev,25.955144999003483
Afogados,9106757.379,287276.756,2012,fev,25.34427183783924
Bongi,9108001.134,287967.704,2012,fev,25.65224827767004
