bairro,latitude,longitude,ano,mes,temperatura
Santo AntÃ´nio,9108146.872,292305.893,2015,jul,24.737370426965114
SÃ£o JosÃ©,9106966.415,291028.633,2015,jul,26.651642131175077
Recife Antigo,9109085.741,292919.623,2015,jul,25.37923897812857
Cabanga,9106406.495,290656.46,2015,jul,24.18401505393601
Coelhos,9107760.014,291308.772,2015,jul,24.37919522059974
Ilha do Leite,9107978.96,291077.482,2015,jul,25.89190623788796
PaissandÃº,9108194.842,290416.08,2015,jul,25.85689015756989
Ilha Joana Bezerra,9107310.114,290425.748,2015,jul,25.722393689445497
Boa Vista,9109077.387,290876.732,2015,jul,23.986089147759568
Soledade,9108960.796,291276.183,2015,jul,23.302144366707022
Santo Amaro,9109946.116,291880.247,2015,jul,23.83742000660768
Dois Unidos,9115506.345,288388.799,2015,jul,22.80218381787046
Beberibe,9114586.482,290525.705,2015,jul,25.365880550014133
Linha do Tiro,9114233.62,289504.946,2015,jul,25.868818313336504
Ãgua Fria (Plana),9113172.84,291071.501,2015,jul,25.968113706967465
Ãgua Fria (Alta),9113472.429,290156.813,2015,jul,23.748769234711144
Porto da Madeira,9114404.262,291240.722,2015,jul,24.74039892147255
Cajueiro,9113978.874,291787.251,2015,jul,24.34741592378435
Campina do Barreto,9113360.156,292045.138,2015,jul,24.68975770764558
Peixinhos,9113079.242,292663.795,2015,jul,23.27282330318768
Arruda,9112577.585,290778.65,2015,jul,24.257957057914265
Encruzilhada,9111342.984,291147.432,2015,jul,24.69260410682139
Ponto de Parada,9111944.964,291203.258,2015,jul,25.62199627065453
FundÃ£o,9113692.115,291141.885,2015,jul,23.3718162230804
HipÃ³dromo,9111681.871,291492.858,2015,jul,24.043059455816746
Rosarinho,9111613.61,290381.157,2015,jul,23.174006150406424
TorreÃ£o,9110784.651,292131.119,2015,jul,23.733645071253168
Campo Grande,9111851.014,291827.584,2015,jul,25.81971361750302
Alto Santa Terezinha,9113598.2,289883.467,2015,jul,22.17436979073693
Bomba do HemetÃ©rio,9112880.579,289851.021,2015,jul,25.53089624744567
Derby,9108891.462,290104.934,2015,jul,23.250532789816248
GraÃ§as,9110255.798,289708.079,2015,jul,23.69063780288764
Espinheiro,9110331.328,291132.224,2015,jul,23.441624493639075
Aflitos,9110761.843,290578.478,2015,jul,24.404305022142477
Jaqueira,9111017.043,289466.588,2015,jul,26.29620215014056
Tamarineira,9111760.594,289914.716,2015,jul,24.6333217851963
Santana,9110759.51,288467.83,2015,jul,24.939793961279577
Parnamirim,9111469.017,288892.196,2015,jul,23.3245577910315
Casa Forte,9111477.721,288043.907,2015,jul,24.341078252568938
PoÃ§o da Panela,9111288.519,287134.705,2015,jul,24.807093673657477
Casa Amarela,9112326.465,287770.32,2015,jul,26.82569265796945
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2015,jul,22.99775716937689
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2015,jul,23.231184838550732
Alto JosÃ© do Pinho,9112751.629,289283.565,2015,jul,23.471299766124467
Vasco da Gama,9113922.665,287550.762,2015,jul,25.18059105583104
Monteiro,9112251.966,286935.676,2015,jul,23.23071330895631
Apipucos,9113185.175,285711.387,2015,jul,23.6845664980442
Alto do MandÃº,9112720.118,286967.594,2015,jul,24.191196153761773
SÃ­tio dos Pintos,9113652.981,283248.377,2015,jul,23.61338958971409
CÃ³rrego do Jenipapo,9114931.748,285628.687,2015,jul,22.50832102996917
Dois IrmÃ£os,9114316.891,283046.585,2015,jul,22.633510313909447
Macaxeira,9113929.124,286266.928,2015,jul,23.342034295611388
Nova Descoberta,9114374.078,285455.447,2015,jul,23.24752174298013
Brejo de Beberibe,9115426.776,287368.207,2015,jul,22.61812787138768
Guabiraba,9118925.116,280472.66,2015,jul,25.312208499573195
Brejo de Guabiraba,9116011.252,286470.068,2015,jul,23.654409681599773
Passarinho,9117604.478,286529.856,2015,jul,23.420539599866476
