bairro,latitude,longitude,ano,mes,temperatura
Santo AntÃ´nio,9108146.872,292305.893,2010,jun,24.95515928828468
SÃ£o JosÃ©,9106966.415,291028.633,2010,jun,25.92590029151536
Recife Antigo,9109085.741,292919.623,2010,jun,23.4182153519918
Cabanga,9106406.495,290656.46,2010,jun,24.04836806743869
Coelhos,9107760.014,291308.772,2010,jun,23.647547410700955
Ilha do Leite,9107978.96,291077.482,2010,jun,25.418753412501776
PaissandÃº,9108194.842,290416.08,2010,jun,24.850453016846952
Ilha Joana Bezerra,9107310.114,290425.748,2010,jun,26.30746250258419
Boa Vista,9109077.387,290876.732,2010,jun,23.259989482750136
Soledade,9108960.796,291276.183,2010,jun,25.12136107576481
Santo Amaro,9109946.116,291880.247,2010,jun,25.24175737998667
Dois Unidos,9115506.345,288388.799,2010,jun,24.847955180177728
Beberibe,9114586.482,290525.705,2010,jun,24.702105564397
Linha do Tiro,9114233.62,289504.946,2010,jun,25.305940422993807
Ãgua Fria (Plana),9113172.84,291071.501,2010,jun,23.701364914107987
Ãgua Fria (Alta),9113472.429,290156.813,2010,jun,25.649841442727126
Porto da Madeira,9114404.262,291240.722,2010,jun,24.52086300334301
Cajueiro,9113978.874,291787.251,2010,jun,26.325892283468992
Campina do Barreto,9113360.156,292045.138,2010,jun,25.689424524100204
Peixinhos,9113079.242,292663.795,2010,jun,26.57512009412886
Arruda,9112577.585,290778.65,2010,jun,25.780750540081627
Encruzilhada,9111342.984,291147.432,2010,jun,25.05979567014559
Ponto de Parada,9111944.964,291203.258,2010,jun,28.152058301744088
FundÃ£o,9113692.115,291141.885,2010,jun,25.688630265276984
HipÃ³dromo,9111681.871,291492.858,2010,jun,24.990651273860745
Rosarinho,9111613.61,290381.157,2010,jun,26.445482000014422
TorreÃ£o,9110784.651,292131.119,2010,jun,24.736393804024075
Campo Grande,9111851.014,291827.584,2010,jun,24.02091998264398
Alto Santa Terezinha,9113598.2,289883.467,2010,jun,24.31594561302546
Bomba do HemetÃ©rio,9112880.579,289851.021,2010,jun,26.02571206077971
Derby,9108891.462,290104.934,2010,jun,26.320271290007287
GraÃ§as,9110255.798,289708.079,2010,jun,24.657533189441704
Espinheiro,9110331.328,291132.224,2010,jun,25.236063924285677
