bairro,latitude,longitude,ano,mes,temperatura
Santo AntÃ´nio,9108146.872,292305.893,2015,mar,25.17088453327237
SÃ£o JosÃ©,9106966.415,291028.633,2015,mar,25.183291079290964
Recife Antigo,9109085.741,292919.623,2015,mar,26.730301506688427
Cabanga,9106406.495,290656.46,2015,mar,27.05994763367065
Coelhos,9107760.014,291308.772,2015,mar,27.988190659335768
Ilha do Leite,9107978.96,291077.482,2015,mar,28.25579212745359
PaissandÃº,9108194.842,290416.08,2015,mar,26.770978908749235
Ilha Joana Bezerra,9107310.114,290425.748,2015,mar,29.42063685518418
Boa Vista,9109077.387,290876.732,2015,mar,27.033553580518
Soledade,9108960.796,291276.183,2015,mar,24.40831886721171
Santo Amaro,9109946.116,291880.247,2015,mar,25.246393798343032
Dois Unidos,9115506.345,288388.799,2015,mar,27.684653733193244
Beberibe,9114586.482,290525.705,2015,mar,27.12984303860695
Linha do Tiro,9114233.62,289504.946,2015,mar,26.903553404775835
Ãgua Fria (Plana),9113172.84,291071.501,2015,mar,27.224003895991014
Ãgua Fria (Alta),9113472.429,290156.813,2015,mar,26.76697902302097
Porto da Madeira,9114404.262,291240.722,2015,mar,26.986529919517835
Cajueiro,9113978.874,291787.251,2015,mar,25.47512488529541
Campina do Barreto,9113360.156,292045.138,2015,mar,25.616189982144444
Peixinhos,9113079.242,292663.795,2015,mar,28.62372677934204
Arruda,9112577.585,290778.65,2015,mar,25.853727176257244
Encruzilhada,9111342.984,291147.432,2015,mar,25.380258518483487
Ponto de Parada,9111944.964,291203.258,2015,mar,27.610473226853347
FundÃ£o,9113692.115,291141.885,2015,mar,25.56401950098384
HipÃ³dromo,9111681.871,291492.858,2015,mar,25.38811663678397
Rosarinho,9111613.61,290381.157,2015,mar,26.573340018396244
TorreÃ£o,9110784.651,292131.119,2015,mar,25.725505735917103
Campo Grande,9111851.014,291827.584,2015,mar,27.15939632116044
Alto Santa Terezinha,9113598.2,289883.467,2015,mar,27.230767437224333
Bomba do HemetÃ©rio,9112880.579,289851.021,2015,mar,27.121747318328477
Derby,9108891.462,290104.934,2015,mar,27.69922004936012
GraÃ§as,9110255.798,289708.079,2015,mar,25.187306429548094
Espinheiro,9110331.328,291132.224,2015,mar,25.63564727801804
Aflitos,9110761.843,290578.478,2015,mar,27.69810414773508
Jaqueira,9111017.043,289466.588,2015,mar,26.709824380634725
Tamarineira,9111760.594,289914.716,2015,mar,27.58475790336924
Santana,9110759.51,288467.83,2015,mar,24.86690346803717
Parnamirim,9111469.017,288892.196,2015,mar,27.5533206899924
Casa Forte,9111477.721,288043.907,2015,mar,26.121358265869382
PoÃ§o da Panela,9111288.519,287134.705,2015,mar,26.88530502803062
Casa Amarela,9112326.465,287770.32,2015,mar,26.863739429606127
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2015,mar,25.783439346710008
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2015,mar,27.14391074037908
Alto JosÃ© do Pinho,9112751.629,289283.565,2015,mar,27.959800742804777
Vasco da Gama,9113922.665,287550.762,2015,mar,28.2922436635974
Monteiro,9112251.966,286935.676,2015,mar,26.90085227541151
Apipucos,9113185.175,285711.387,2015,mar,25.7145554841316
Alto do MandÃº,9112720.118,286967.594,2015,mar,26.26660924139909
SÃ­tio dos Pintos,9113652.981,283248.377,2015,mar,28.478044713942715
CÃ³rrego do Jenipapo,9114931.748,285628.687,2015,mar,25.568593263064283
Dois IrmÃ£os,9114316.891,283046.585,2015,mar,28.11950752702342
Macaxeira,9113929.124,286266.928,2015,mar,28.28901185291749
Nova Descoberta,9114374.078,285455.447,2015,mar,26.657972191325644
Brejo de Beberibe,9115426.776,287368.207,2015,mar,26.88715779034555
Guabiraba,9118925.116,280472.66,2015,mar,26.064856096578225
Brejo de Guabiraba,9116011.252,286470.068,2015,mar,27.582426508736727
Passarinho,9117604.478,286529.856,2015,mar,26.451159661004983
Mangabeira,9112583.36,290041.311,2015,mar,28.961499061179552
VÃ¡rzea Baixo,9112566.575,286421.591,2015,mar,26.09832785956595
VÃ¡rzea UR7,9111147.548,281788.536,2015,mar,28.263634129795097
CaxangÃ¡,9112046.853,283641.068,2015,mar,28.52105785373308
Iputinga,9111218.811,284743.585,2015,mar,26.21189487717772
Engenho do Meio,9108934.504,284977.522,2015,mar,25.8986830407674
TorrÃµes,9108474.182,285633.242,2015,mar,23.883158168677586
Cordeiro,9109569.979,286498.08,2015,mar,27.48825920221734
Zumbi,9109369.482,288172.472,2015,mar,24.649467843138503
Torre,9110457.305,288948.15,2015,mar,25.567145534910807
Prado,9108489.273,288218.34,2015,mar,27.713773570265804
Madalena,9109260.52,288708.035,2015,mar,26.016878836282032
Ilha do Retiro,9108073.724,289620.413,2015,mar,27.658319594085235
VÃ¡rzea Brasilit,9110245.917,284310.527,2015,mar,25.023046008299
Cidade UniversitÃ¡ria,9109225.991,284041.371,2015,mar,27.1367417299374
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2015,mar,26.422456062848653
Afogados (Marrom GlacÃª),9106094.768,289066.699,2015,mar,27.77562267794382
Afogados,9106757.379,287276.756,2015,mar,26.14067009097821
Bongi,9108001.134,287967.704,2015,mar,26.628524213693797
San Martin,9107597.587,286249.826,2015,mar,26.681289361609345
Mustardinha,9107309.05,288019.099,2015,mar,24.412369218431017
Mangueira,9106752.433,287877.617,2015,mar,26.494782272539624
EstÃ¢ncia,9105779.586,286336.174,2015,mar,26.69487474964089
JiquiÃ¡,9105785.996,286821.099,2015,mar,26.17209575192621
CaÃ§ote,9104102.268,286696.977,2015,mar,27.750971399826614
Areias,9104721.352,286348.888,2015,mar,26.215150290294662
TejipiÃ³,9105212.347,283469.404,2015,mar,25.445224837657097
Sancho,9105806.562,283345.513,2015,mar,24.945888799449072
Barro,9104276.244,283228.614,2015,mar,27.32416920966728
Coqueiral,9105579.969,282521.737,2015,mar,25.53163025485827
Curado,9107299.958,282026.143,2015,mar,26.77354471356705
TotÃ³,9106028.466,282845.232,2015,mar,26.168662402916645
Jardim SÃ£o Paulo,9106091.212,284789.366,2015,mar,26.040590388947184
BrasÃ­lia Teimosa,9105867.58,291910.581,2015,mar,25.62503280937532
Pina,9104526.606,289352.098,2015,mar,25.80905544241107
Imbiribeira,9103325.289,287372.583,2015,mar,26.445311850938936
Boa Viagem,9101159.587,286709.856,2015,mar,27.386839052304214
Ipsep,9103041.538,287270.038,2015,mar,26.63970764977935
Ibura,9102102.397,285143.988,2015,mar,26.529567409635643
