bairro,latitude,longitude,ano,mes,temperatura
Santo AntÃ´nio,9108146.872,292305.893,2009,jan,26.756903392368923
SÃ£o JosÃ©,9106966.415,291028.633,2009,jan,26.3485322247435
Recife Antigo,9109085.741,292919.623,2009,jan,26.11120293892149
Cabanga,9106406.495,290656.46,2009,jan,25.67112270569676
Coelhos,9107760.014,291308.772,2009,jan,26.25431210663459
Ilha do Leite,9107978.96,291077.482,2009,jan,26.41725879450357
PaissandÃº,9108194.842,290416.08,2009,jan,26.199550430346783
Ilha Joana Bezerra,9107310.114,290425.748,2009,jan,26.450181530197472
Boa Vista,9109077.387,290876.732,2009,jan,27.20256426829657
Soledade,9108960.796,291276.183,2009,jan,26.824346046581415
Santo Amaro,9109946.116,291880.247,2009,jan,26.894767853295736
Dois Unidos,9115506.345,288388.799,2009,jan,27.5122827079814
Beberibe,9114586.482,290525.705,2009,jan,26.378372530021608
Linha do Tiro,9114233.62,289504.946,2009,jan,26.55891753000067
Ãgua Fria (Plana),9113172.84,291071.501,2009,jan,26.995244627355564
Ãgua Fria (Alta),9113472.429,290156.813,2009,jan,26.66575248646771
Porto da Madeira,9114404.262,291240.722,2009,jan,26.802431720351347
Cajueiro,9113978.874,291787.251,2009,jan,26.58991162712595
Campina do Barreto,9113360.156,292045.138,2009,jan,26.7985574073568
Peixinhos,9113079.242,292663.795,2009,jan,26.809215413729817
Arruda,9112577.585,290778.65,2009,jan,27.000343222443792
Encruzilhada,9111342.984,291147.432,2009,jan,26.07502815854353
Ponto de Parada,9111944.964,291203.258,2009,jan,27.111409099630027
FundÃ£o,9113692.115,291141.885,2009,jan,25.911080488710542
HipÃ³dromo,9111681.871,291492.858,2009,jan,26.29932002222436
Rosarinho,9111613.61,290381.157,2009,jan,26.73105988365265
TorreÃ£o,9110784.651,292131.119,2009,jan,26.454301309591848
Campo Grande,9111851.014,291827.584,2009,jan,26.988786389772937
Alto Santa Terezinha,9113598.2,289883.467,2009,jan,26.154591169273267
Bomba do HemetÃ©rio,9112880.579,289851.021,2009,jan,26.46745402823326
Derby,9108891.462,290104.934,2009,jan,26.2627224521384
GraÃ§as,9110255.798,289708.079,2009,jan,27.661087637044965
Espinheiro,9110331.328,291132.224,2009,jan,26.526692133451995
Aflitos,9110761.843,290578.478,2009,jan,27.068786572266305
Jaqueira,9111017.043,289466.588,2009,jan,26.16570730388798
Tamarineira,9111760.594,289914.716,2009,jan,27.246380788167198
Santana,9110759.51,288467.83,2009,jan,26.85210134249776
Parnamirim,9111469.017,288892.196,2009,jan,27.087918003685576
Casa Forte,9111477.721,288043.907,2009,jan,26.230821178754013
PoÃ§o da Panela,9111288.519,287134.705,2009,jan,26.940862478289937
Casa Amarela,9112326.465,287770.32,2009,jan,26.503773346717008
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2009,jan,26.404033642738188
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2009,jan,26.886798021360946
Alto JosÃ© do Pinho,9112751.629,289283.565,2009,jan,27.257408119427105
Vasco da Gama,9113922.665,287550.762,2009,jan,26.057364876431294
Monteiro,9112251.966,286935.676,2009,jan,27.09935304319104
Apipucos,9113185.175,285711.387,2009,jan,27.42644227871361
Alto do MandÃº,9112720.118,286967.594,2009,jan,27.17909131838715
SÃ­tio dos Pintos,9113652.981,283248.377,2009,jan,26.75052339827905
CÃ³rrego do Jenipapo,9114931.748,285628.687,2009,jan,26.341386595663625
