bairro,latitude,longitude,ano,mes,temperatura
Santo AntÃ´nio,9108146.872,292305.893,2016,nov,28.48917033719567
SÃ£o JosÃ©,9106966.415,291028.633,2016,nov,27.226467424716763
Recife Antigo,9109085.741,292919.623,2016,nov,26.59192312607098
Cabanga,9106406.495,290656.46,2016,nov,27.653729929899782
Coelhos,9107760.014,291308.772,2016,nov,26.38088518486523
Ilha do Leite,9107978.96,291077.482,2016,nov,28.77902111761187
PaissandÃº,9108194.842,290416.08,2016,nov,26.94821785554506
Ilha Joana Bezerra,9107310.114,290425.748,2016,nov,25.32125640678009
Boa Vista,9109077.387,290876.732,2016,nov,27.86224060459414
Soledade,9108960.796,291276.183,2016,nov,27.20616090959801
Santo Amaro,9109946.116,291880.247,2016,nov,27.56058518468685
Dois Unidos,9115506.345,288388.799,2016,nov,25.14166997111414
Beberibe,9114586.482,290525.705,2016,nov,25.98892097754149
Linha do Tiro,9114233.62,289504.946,2016,nov,25.579981311975097
Ãgua Fria (Plana),9113172.84,291071.501,2016,nov,26.67454301201484
Ãgua Fria (Alta),9113472.429,290156.813,2016,nov,28.565697017515777
Porto da Madeira,9114404.262,291240.722,2016,nov,26.515967826747424
Cajueiro,9113978.874,291787.251,2016,nov,27.093280443628903
Campina do Barreto,9113360.156,292045.138,2016,nov,26.173759958490123
Peixinhos,9113079.242,292663.795,2016,nov,27.717361968265013
Arruda,9112577.585,290778.65,2016,nov,25.663322697218337
Encruzilhada,9111342.984,291147.432,2016,nov,28.74017021520015
Ponto de Parada,9111944.964,291203.258,2016,nov,25.145978352923063
FundÃ£o,9113692.115,291141.885,2016,nov,27.62539519559267
HipÃ³dromo,9111681.871,291492.858,2016,nov,25.990181600756387
Rosarinho,9111613.61,290381.157,2016,nov,27.27512548513998
TorreÃ£o,9110784.651,292131.119,2016,nov,25.12294155580561
Campo Grande,9111851.014,291827.584,2016,nov,27.45425085087159
Alto Santa Terezinha,9113598.2,289883.467,2016,nov,27.256259869204797
Bomba do HemetÃ©rio,9112880.579,289851.021,2016,nov,28.34571415741453
Derby,9108891.462,290104.934,2016,nov,25.59853191811328
GraÃ§as,9110255.798,289708.079,2016,nov,27.6362832876536
Espinheiro,9110331.328,291132.224,2016,nov,28.64990378456968
Aflitos,9110761.843,290578.478,2016,nov,29.230072936008032
Jaqueira,9111017.043,289466.588,2016,nov,27.65457611131114
Tamarineira,9111760.594,289914.716,2016,nov,27.220270235451512
Santana,9110759.51,288467.83,2016,nov,26.97717836361368
Parnamirim,9111469.017,288892.196,2016,nov,26.01931904480365
Casa Forte,9111477.721,288043.907,2016,nov,26.24001443692238
PoÃ§o da Panela,9111288.519,287134.705,2016,nov,27.333492977985404
Casa Amarela,9112326.465,287770.32,2016,nov,26.403528992994687
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2016,nov,27.43423977416122
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2016,nov,27.19165655592626
Alto JosÃ© do Pinho,9112751.629,289283.565,2016,nov,26.646128146432517
Vasco da Gama,9113922.665,287550.762,2016,nov,25.697635143044213
Monteiro,9112251.966,286935.676,2016,nov,26.877480206124748
Apipucos,9113185.175,285711.387,2016,nov,27.68872215721122
Alto do MandÃº,9112720.118,286967.594,2016,nov,28.293101894500552
SÃ­tio dos Pintos,9113652.981,283248.377,2016,nov,25.74189461008104
CÃ³rrego do Jenipapo,9114931.748,285628.687,2016,nov,26.028791649780896
Dois IrmÃ£os,9114316.891,283046.585,2016,nov,28.138002850103717
Macaxeira,9113929.124,286266.928,2016,nov,27.144730489506227
Nova Descoberta,9114374.078,285455.447,2016,nov,26.618443938916432
Brejo de Beberibe,9115426.776,287368.207,2016,nov,25.862236539755045
Guabiraba,9118925.116,280472.66,2016,nov,26.974771260122274
Brejo de Guabiraba,9116011.252,286470.068,2016,nov,26.521572851275863
Passarinho,9117604.478,286529.856,2016,nov,27.385029771365005
Mangabeira,9112583.36,290041.311,2016,nov,25.72138604237148
VÃ¡rzea Baixo,9112566.575,286421.591,2016,nov,27.832391299330855
VÃ¡rzea UR7,9111147.548,281788.536,2016,nov,27.702334627307817
CaxangÃ¡,9112046.853,283641.068,2016,nov,26.960218623427885
Iputinga,9111218.811,284743.585,2016,nov,28.67248754941421
Engenho do Meio,9108934.504,284977.522,2016,nov,26.788724500380013
TorrÃµes,9108474.182,285633.242,2016,nov,27.35419359887788
Cordeiro,9109569.979,286498.08,2016,nov,27.702439031443056
Zumbi,9109369.482,288172.472,2016,nov,27.47544116468921
Torre,9110457.305,288948.15,2016,nov,26.873806408075428
Prado,9108489.273,288218.34,2016,nov,25.6579234066112
Madalena,9109260.52,288708.035,2016,nov,28.02777281328692
Ilha do Retiro,9108073.724,289620.413,2016,nov,27.737797758070343
VÃ¡rzea Brasilit,9110245.917,284310.527,2016,nov,25.61976864092637
Cidade UniversitÃ¡ria,9109225.991,284041.371,2016,nov,29.11830450144917
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2016,nov,24.915280633434836
Afogados (Marrom GlacÃª),9106094.768,289066.699,2016,nov,27.651737684395123
Afogados,9106757.379,287276.756,2016,nov,25.7758783835654
Bongi,9108001.134,287967.704,2016,nov,28.34743241297313
San Martin,9107597.587,286249.826,2016,nov,29.624856344176276
Mustardinha,9107309.05,288019.099,2016,nov,27.98582240644552
Mangueira,9106752.433,287877.617,2016,nov,27.78737766514781
EstÃ¢ncia,9105779.586,286336.174,2016,nov,27.136140736420543
JiquiÃ¡,9105785.996,286821.099,2016,nov,27.713039308693176
CaÃ§ote,9104102.268,286696.977,2016,nov,28.9740068805782
Areias,9104721.352,286348.888,2016,nov,29.25801727817671
TejipiÃ³,9105212.347,283469.404,2016,nov,25.934848714669613
Sancho,9105806.562,283345.513,2016,nov,27.18263263187291
Barro,9104276.244,283228.614,2016,nov,28.159593271811996
Coqueiral,9105579.969,282521.737,2016,nov,29.37951148825642
Curado,9107299.958,282026.143,2016,nov,27.03271983331835
TotÃ³,9106028.466,282845.232,2016,nov,26.97099480028206
Jardim SÃ£o Paulo,9106091.212,284789.366,2016,nov,27.988461370423188
BrasÃ­lia Teimosa,9105867.58,291910.581,2016,nov,28.702861709668227
Pina,9104526.606,289352.098,2016,nov,26.394533532000622
Imbiribeira,9103325.289,287372.583,2016,nov,26.548422301588666
