bairro,latitude,longitude,ano,mes,temperatura
Santo AntÃ´nio,9108146.872,292305.893,2011,out,25.932118597122003
SÃ£o JosÃ©,9106966.415,291028.633,2011,out,24.909511737011687
Recife Antigo,9109085.741,292919.623,2011,out,25.696202882567857
Cabanga,9106406.495,290656.46,2011,out,27.467707236843303
Coelhos,9107760.014,291308.772,2011,out,26.096580454051185
Ilha do Leite,9107978.96,291077.482,2011,out,25.39759810480197
PaissandÃº,9108194.842,290416.08,2011,out,25.561138170283588
Ilha Joana Bezerra,9107310.114,290425.748,2011,out,24.56322027158501
Boa Vista,9109077.387,290876.732,2011,out,25.93712773505845
Soledade,9108960.796,291276.183,2011,out,26.655482755549283
Santo Amaro,9109946.116,291880.247,2011,out,25.429314347149464
Dois Unidos,9115506.345,288388.799,2011,out,25.34812770668989
Beberibe,9114586.482,290525.705,2011,out,25.451727152903217
Linha do Tiro,9114233.62,289504.946,2011,out,26.45317841117378
Ãgua Fria (Plana),9113172.84,291071.501,2011,out,26.243583453286707
Ãgua Fria (Alta),9113472.429,290156.813,2011,out,27.43187344135101
Porto da Madeira,9114404.262,291240.722,2011,out,25.0977433764598
Cajueiro,9113978.874,291787.251,2011,out,25.0726521585072
Campina do Barreto,9113360.156,292045.138,2011,out,26.259910584671125
Peixinhos,9113079.242,292663.795,2011,out,26.836371621788
Arruda,9112577.585,290778.65,2011,out,26.44770347506637
Encruzilhada,9111342.984,291147.432,2011,out,24.865799307723247
Ponto de Parada,9111944.964,291203.258,2011,out,26.51895881484193
FundÃ£o,9113692.115,291141.885,2011,out,26.061057984877955
HipÃ³dromo,9111681.871,291492.858,2011,out,25.715219860062906
Rosarinho,9111613.61,290381.157,2011,out,25.796249009543214
TorreÃ£o,9110784.651,292131.119,2011,out,26.04109173260138
Campo Grande,9111851.014,291827.584,2011,out,25.23369088468429
Alto Santa Terezinha,9113598.2,289883.467,2011,out,26.488336518691604
Bomba do HemetÃ©rio,9112880.579,289851.021,2011,out,26.708747872020115
Derby,9108891.462,290104.934,2011,out,25.65802349669516
GraÃ§as,9110255.798,289708.079,2011,out,25.05727475146327
Espinheiro,9110331.328,291132.224,2011,out,25.92112888562245
Aflitos,9110761.843,290578.478,2011,out,27.545554901336764
Jaqueira,9111017.043,289466.588,2011,out,26.79565843313804
Tamarineira,9111760.594,289914.716,2011,out,25.81821707114235
Santana,9110759.51,288467.83,2011,out,24.940069789450607
Parnamirim,9111469.017,288892.196,2011,out,26.623577469899
Casa Forte,9111477.721,288043.907,2011,out,27.45023484099727
PoÃ§o da Panela,9111288.519,287134.705,2011,out,24.064220231059807
Casa Amarela,9112326.465,287770.32,2011,out,24.67060193722202
