bairro,latitude,longitude,ano,mes,temperatura
Santo AntÃ´nio,9108146.872,292305.893,2015,set,24.794024442825943
SÃ£o JosÃ©,9106966.415,291028.633,2015,set,25.66433147581568
Recife Antigo,9109085.741,292919.623,2015,set,26.22397647432679
Cabanga,9106406.495,290656.46,2015,set,27.941614709245243
Coelhos,9107760.014,291308.772,2015,set,25.97687804549533
Ilha do Leite,9107978.96,291077.482,2015,set,27.425422902293214
PaissandÃº,9108194.842,290416.08,2015,set,26.36017124919944
Ilha Joana Bezerra,9107310.114,290425.748,2015,set,25.9994015511078
Boa Vista,9109077.387,290876.732,2015,set,25.695083964761626
Soledade,9108960.796,291276.183,2015,set,27.817794863819422
Santo Amaro,9109946.116,291880.247,2015,set,24.92728005628504
Dois Unidos,9115506.345,288388.799,2015,set,24.68248808235275
Beberibe,9114586.482,290525.705,2015,set,26.254848242881767
Linha do Tiro,9114233.62,289504.946,2015,set,24.749400009045303
Ãgua Fria (Plana),9113172.84,291071.501,2015,set,25.455664858422136
Ãgua Fria (Alta),9113472.429,290156.813,2015,set,24.660374335609585
Porto da Madeira,9114404.262,291240.722,2015,set,28.56909587845321
Cajueiro,9113978.874,291787.251,2015,set,24.60435165862577
Campina do Barreto,9113360.156,292045.138,2015,set,24.63625288659617
Peixinhos,9113079.242,292663.795,2015,set,25.94932263961222
Arruda,9112577.585,290778.65,2015,set,25.809229194460936
Encruzilhada,9111342.984,291147.432,2015,set,23.205843304446525
Ponto de Parada,9111944.964,291203.258,2015,set,26.552092740911213
FundÃ£o,9113692.115,291141.885,2015,set,26.17464373302096
HipÃ³dromo,9111681.871,291492.858,2015,set,24.7869166701706
Rosarinho,9111613.61,290381.157,2015,set,25.070269647921275
TorreÃ£o,9110784.651,292131.119,2015,set,24.74182146507109
Campo Grande,9111851.014,291827.584,2015,set,27.70978829533159
Alto Santa Terezinha,9113598.2,289883.467,2015,set,24.2523405190892
Bomba do HemetÃ©rio,9112880.579,289851.021,2015,set,26.8610936014038
Derby,9108891.462,290104.934,2015,set,24.116645307060143
GraÃ§as,9110255.798,289708.079,2015,set,24.49157298945717
Espinheiro,9110331.328,291132.224,2015,set,23.765903030517173
Aflitos,9110761.843,290578.478,2015,set,26.889309770570065
Jaqueira,9111017.043,289466.588,2015,set,27.76852188010988
Tamarineira,9111760.594,289914.716,2015,set,24.16766395330661
Santana,9110759.51,288467.83,2015,set,25.81778986681487
Parnamirim,9111469.017,288892.196,2015,set,24.01626609967913
Casa Forte,9111477.721,288043.907,2015,set,25.396029947332497
PoÃ§o da Panela,9111288.519,287134.705,2015,set,24.13924264006186
Casa Amarela,9112326.465,287770.32,2015,set,24.31589685974748
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2015,set,23.832354481432706
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2015,set,25.832048417143994
Alto JosÃ© do Pinho,9112751.629,289283.565,2015,set,26.760827523057728
Vasco da Gama,9113922.665,287550.762,2015,set,25.836321020460225
Monteiro,9112251.966,286935.676,2015,set,25.5680021380297
Apipucos,9113185.175,285711.387,2015,set,24.659635139688785
Alto do MandÃº,9112720.118,286967.594,2015,set,25.14989334957308
SÃ­tio dos Pintos,9113652.981,283248.377,2015,set,26.13692185512877
CÃ³rrego do Jenipapo,9114931.748,285628.687,2015,set,26.00207922328549
Dois IrmÃ£os,9114316.891,283046.585,2015,set,26.381800814881807
Macaxeira,9113929.124,286266.928,2015,set,26.15187391017657
Nova Descoberta,9114374.078,285455.447,2015,set,24.933535547990846
Brejo de Beberibe,9115426.776,287368.207,2015,set,27.644477006046078
Guabiraba,9118925.116,280472.66,2015,set,24.051621089009235
Brejo de Guabiraba,9116011.252,286470.068,2015,set,28.418148355703885
Passarinho,9117604.478,286529.856,2015,set,25.93382167709858
Mangabeira,9112583.36,290041.311,2015,set,25.35205375416857
VÃ¡rzea Baixo,9112566.575,286421.591,2015,set,26.358764559978724
VÃ¡rzea UR7,9111147.548,281788.536,2015,set,26.7239750387159
CaxangÃ¡,9112046.853,283641.068,2015,set,25.268204372834017
Iputinga,9111218.811,284743.585,2015,set,26.392740498353437
Engenho do Meio,9108934.504,284977.522,2015,set,24.80183088083585
TorrÃµes,9108474.182,285633.242,2015,set,26.434963543352865
Cordeiro,9109569.979,286498.08,2015,set,23.574671788787796
Zumbi,9109369.482,288172.472,2015,set,25.67893185814291
Torre,9110457.305,288948.15,2015,set,25.26770277746088
Prado,9108489.273,288218.34,2015,set,25.23309413932912
Madalena,9109260.52,288708.035,2015,set,26.525087910377056
Ilha do Retiro,9108073.724,289620.413,2015,set,25.149127104557994
VÃ¡rzea Brasilit,9110245.917,284310.527,2015,set,25.40562563659063
Cidade UniversitÃ¡ria,9109225.991,284041.371,2015,set,26.01522794789588
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2015,set,24.615573176580195
