bairro,latitude,longitude,ano,mes,umidade
Santo AntÃ´nio,9108146.872,292305.893,2016,abr,75.54662458785242
SÃ£o JosÃ©,9106966.415,291028.633,2016,abr,78.1398950233628
Recife Antigo,9109085.741,292919.623,2016,abr,76.27591962635147
Cabanga,9106406.495,290656.46,2016,abr,79.98715070960621
Coelhos,9107760.014,291308.772,2016,abr,75.280118202552
Ilha do Leite,9107978.96,291077.482,2016,abr,75.35150396062703
PaissandÃº,9108194.842,290416.08,2016,abr,76.96878017105057
Ilha Joana Bezerra,9107310.114,290425.748,2016,abr,77.78529272607716
Boa Vista,9109077.387,290876.732,2016,abr,78.2386271893074
Soledade,9108960.796,291276.183,2016,abr,79.5801481591781
Santo Amaro,9109946.116,291880.247,2016,abr,71.71747546352229
Dois Unidos,9115506.345,288388.799,2016,abr,70.26740729587311
Beberibe,9114586.482,290525.705,2016,abr,75.02428339905447
Linha do Tiro,9114233.62,289504.946,2016,abr,77.42797469621463
Ãgua Fria (Plana),9113172.84,291071.501,2016,abr,75.37729257120797
Ãgua Fria (Alta),9113472.429,290156.813,2016,abr,76.59039587964693
Porto da Madeira,9114404.262,291240.722,2016,abr,78.45366988505499
Cajueiro,9113978.874,291787.251,2016,abr,72.16164709686434
Campina do Barreto,9113360.156,292045.138,2016,abr,72.64297610936498
Peixinhos,9113079.242,292663.795,2016,abr,80.2382136412319
Arruda,9112577.585,290778.65,2016,abr,78.68888131435006
Encruzilhada,9111342.984,291147.432,2016,abr,78.96393307947963
Ponto de Parada,9111944.964,291203.258,2016,abr,75.06846664091236
FundÃ£o,9113692.115,291141.885,2016,abr,76.58339472153847
HipÃ³dromo,9111681.871,291492.858,2016,abr,78.23620698052773
Rosarinho,9111613.61,290381.157,2016,abr,74.1025680704947
TorreÃ£o,9110784.651,292131.119,2016,abr,76.98032759758904
Campo Grande,9111851.014,291827.584,2016,abr,76.54786076493025
Alto Santa Terezinha,9113598.2,289883.467,2016,abr,74.98126772753726
Bomba do HemetÃ©rio,9112880.579,289851.021,2016,abr,79.49295988922556
Derby,9108891.462,290104.934,2016,abr,72.25861865953657
GraÃ§as,9110255.798,289708.079,2016,abr,74.90305988634084
Espinheiro,9110331.328,291132.224,2016,abr,78.58658820668474
Aflitos,9110761.843,290578.478,2016,abr,76.1900569040585
Jaqueira,9111017.043,289466.588,2016,abr,75.39681748596283
Tamarineira,9111760.594,289914.716,2016,abr,75.22208843505565
Santana,9110759.51,288467.83,2016,abr,78.87870026965611
Parnamirim,9111469.017,288892.196,2016,abr,76.9446598120599
Casa Forte,9111477.721,288043.907,2016,abr,76.58497281897657
PoÃ§o da Panela,9111288.519,287134.705,2016,abr,74.06282147709369
Casa Amarela,9112326.465,287770.32,2016,abr,74.82105088751919
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2016,abr,78.85556266599832
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2016,abr,76.93242588109078
Alto JosÃ© do Pinho,9112751.629,289283.565,2016,abr,70.47160411727621
Vasco da Gama,9113922.665,287550.762,2016,abr,73.57806857785974
Monteiro,9112251.966,286935.676,2016,abr,72.61350775520262
Apipucos,9113185.175,285711.387,2016,abr,75.66396116293826
Alto do MandÃº,9112720.118,286967.594,2016,abr,78.95606848762972
SÃ­tio dos Pintos,9113652.981,283248.377,2016,abr,76.58594276968792
CÃ³rrego do Jenipapo,9114931.748,285628.687,2016,abr,75.26712697062015
Dois IrmÃ£os,9114316.891,283046.585,2016,abr,75.27653203836473
Macaxeira,9113929.124,286266.928,2016,abr,79.06516531009463
Nova Descoberta,9114374.078,285455.447,2016,abr,76.61272301491672
Brejo de Beberibe,9115426.776,287368.207,2016,abr,77.85181889480702
Guabiraba,9118925.116,280472.66,2016,abr,73.4398972864357
Brejo de Guabiraba,9116011.252,286470.068,2016,abr,74.37594116430448
Passarinho,9117604.478,286529.856,2016,abr,79.6010863698306
Mangabeira,9112583.36,290041.311,2016,abr,75.96364881896912
VÃ¡rzea Baixo,9112566.575,286421.591,2016,abr,74.1398504992291
VÃ¡rzea UR7,9111147.548,281788.536,2016,abr,76.66682204631267
CaxangÃ¡,9112046.853,283641.068,2016,abr,75.27643804531023
Iputinga,9111218.811,284743.585,2016,abr,78.33817697673277
Engenho do Meio,9108934.504,284977.522,2016,abr,75.85754406746807
TorrÃµes,9108474.182,285633.242,2016,abr,72.68291982764708
Cordeiro,9109569.979,286498.08,2016,abr,79.2915230726995
Zumbi,9109369.482,288172.472,2016,abr,71.01631383543616
Torre,9110457.305,288948.15,2016,abr,73.8722115010937
Prado,9108489.273,288218.34,2016,abr,72.14501673580439
Madalena,9109260.52,288708.035,2016,abr,78.09594913744913
Ilha do Retiro,9108073.724,289620.413,2016,abr,79.63285932209226
VÃ¡rzea Brasilit,9110245.917,284310.527,2016,abr,73.06052891273941
Cidade UniversitÃ¡ria,9109225.991,284041.371,2016,abr,76.92040245932476
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2016,abr,78.31653449924332
