bairro,latitude,longitude,ano,mes,umidade
Santo AntÃ´nio,9108146.872,292305.893,2011,ago,82.6521999444544
SÃ£o JosÃ©,9106966.415,291028.633,2011,ago,87.34326291041077
Recife Antigo,9109085.741,292919.623,2011,ago,90.52909494023932
Cabanga,9106406.495,290656.46,2011,ago,88.74950816856762
Coelhos,9107760.014,291308.772,2011,ago,90.38876548308008
Ilha do Leite,9107978.96,291077.482,2011,ago,86.13370329470467
PaissandÃº,9108194.842,290416.08,2011,ago,86.39228518008677
Ilha Joana Bezerra,9107310.114,290425.748,2011,ago,86.9690358385402
Boa Vista,9109077.387,290876.732,2011,ago,87.01765456798414
Soledade,9108960.796,291276.183,2011,ago,88.77785108660237
Santo Amaro,9109946.116,291880.247,2011,ago,89.30865468794757
Dois Unidos,9115506.345,288388.799,2011,ago,87.137074604026
Beberibe,9114586.482,290525.705,2011,ago,91.57399240071076
Linha do Tiro,9114233.62,289504.946,2011,ago,88.9464176718555
Ãgua Fria (Plana),9113172.84,291071.501,2011,ago,88.2573663246332
Ãgua Fria (Alta),9113472.429,290156.813,2011,ago,86.43532859630201
Porto da Madeira,9114404.262,291240.722,2011,ago,84.62775609552358
Cajueiro,9113978.874,291787.251,2011,ago,88.62657702369125
Campina do Barreto,9113360.156,292045.138,2011,ago,86.7647856048529
Peixinhos,9113079.242,292663.795,2011,ago,85.23886781829894
Arruda,9112577.585,290778.65,2011,ago,91.6776075333889
Encruzilhada,9111342.984,291147.432,2011,ago,93.53262904861352
Ponto de Parada,9111944.964,291203.258,2011,ago,84.36084882722496
FundÃ£o,9113692.115,291141.885,2011,ago,85.4972824088349
HipÃ³dromo,9111681.871,291492.858,2011,ago,88.16428936047198
Rosarinho,9111613.61,290381.157,2011,ago,85.9289911678765
TorreÃ£o,9110784.651,292131.119,2011,ago,87.7524466929891
Campo Grande,9111851.014,291827.584,2011,ago,89.32043011008487
Alto Santa Terezinha,9113598.2,289883.467,2011,ago,85.16449701637875
Bomba do HemetÃ©rio,9112880.579,289851.021,2011,ago,84.55380445667487
Derby,9108891.462,290104.934,2011,ago,90.6967679823606
GraÃ§as,9110255.798,289708.079,2011,ago,92.9181780003651
Espinheiro,9110331.328,291132.224,2011,ago,89.33776478506131
Aflitos,9110761.843,290578.478,2011,ago,85.73797427439975
Jaqueira,9111017.043,289466.588,2011,ago,91.10432673412204
Tamarineira,9111760.594,289914.716,2011,ago,88.2023090868895
Santana,9110759.51,288467.83,2011,ago,87.9435869819046
Parnamirim,9111469.017,288892.196,2011,ago,91.70714503982806
Casa Forte,9111477.721,288043.907,2011,ago,86.98140580893578
PoÃ§o da Panela,9111288.519,287134.705,2011,ago,92.56261961304224
Casa Amarela,9112326.465,287770.32,2011,ago,86.33639597281497
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2011,ago,87.60658161748196
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2011,ago,88.23320270048849
Alto JosÃ© do Pinho,9112751.629,289283.565,2011,ago,89.28782460150215
Vasco da Gama,9113922.665,287550.762,2011,ago,98.38091249685463
Monteiro,9112251.966,286935.676,2011,ago,91.30724345979992
Apipucos,9113185.175,285711.387,2011,ago,88.55793524705554
Alto do MandÃº,9112720.118,286967.594,2011,ago,88.55162063871568
SÃ­tio dos Pintos,9113652.981,283248.377,2011,ago,85.84499740445644
CÃ³rrego do Jenipapo,9114931.748,285628.687,2011,ago,87.24425227341386
Dois IrmÃ£os,9114316.891,283046.585,2011,ago,83.13756841575575
Macaxeira,9113929.124,286266.928,2011,ago,85.65362413391954
Nova Descoberta,9114374.078,285455.447,2011,ago,86.90036728568066
