bairro,latitude,longitude,ano,mes,umidade
Santo AntÃ´nio,9108146.872,292305.893,2017,dez,85.09132458694631
SÃ£o JosÃ©,9106966.415,291028.633,2017,dez,80.8799251419634
Recife Antigo,9109085.741,292919.623,2017,dez,80.99539626423612
Cabanga,9106406.495,290656.46,2017,dez,80.5934399514156
Coelhos,9107760.014,291308.772,2017,dez,83.54456394732551
Ilha do Leite,9107978.96,291077.482,2017,dez,85.47319049875205
PaissandÃº,9108194.842,290416.08,2017,dez,86.218895962757
Ilha Joana Bezerra,9107310.114,290425.748,2017,dez,74.94890535705873
Boa Vista,9109077.387,290876.732,2017,dez,80.38356148151777
Soledade,9108960.796,291276.183,2017,dez,79.73799116948972
Santo Amaro,9109946.116,291880.247,2017,dez,77.00143255967161
Dois Unidos,9115506.345,288388.799,2017,dez,79.24324695635464
Beberibe,9114586.482,290525.705,2017,dez,81.27434172437499
Linha do Tiro,9114233.62,289504.946,2017,dez,79.8451991208891
Ãgua Fria (Plana),9113172.84,291071.501,2017,dez,78.18247934315573
Ãgua Fria (Alta),9113472.429,290156.813,2017,dez,83.73106952638769
Porto da Madeira,9114404.262,291240.722,2017,dez,81.02621347566162
Cajueiro,9113978.874,291787.251,2017,dez,84.75685415081979
Campina do Barreto,9113360.156,292045.138,2017,dez,80.20586761406608
Peixinhos,9113079.242,292663.795,2017,dez,80.84450071298602
Arruda,9112577.585,290778.65,2017,dez,79.13909557679898
Encruzilhada,9111342.984,291147.432,2017,dez,82.58739526654053
Ponto de Parada,9111944.964,291203.258,2017,dez,75.59607223200562
FundÃ£o,9113692.115,291141.885,2017,dez,80.81078400233378
HipÃ³dromo,9111681.871,291492.858,2017,dez,80.41267169348336
Rosarinho,9111613.61,290381.157,2017,dez,78.38614988137435
TorreÃ£o,9110784.651,292131.119,2017,dez,77.80144737334297
Campo Grande,9111851.014,291827.584,2017,dez,79.02492736382439
Alto Santa Terezinha,9113598.2,289883.467,2017,dez,85.12386088229786
Bomba do HemetÃ©rio,9112880.579,289851.021,2017,dez,82.65235443183954
Derby,9108891.462,290104.934,2017,dez,76.3255916530697
GraÃ§as,9110255.798,289708.079,2017,dez,78.35230630535156
Espinheiro,9110331.328,291132.224,2017,dez,83.36339967148774
Aflitos,9110761.843,290578.478,2017,dez,84.79907232131123
Jaqueira,9111017.043,289466.588,2017,dez,80.22975124415508
Tamarineira,9111760.594,289914.716,2017,dez,76.40975615254143
Santana,9110759.51,288467.83,2017,dez,77.98719802980719
Parnamirim,9111469.017,288892.196,2017,dez,76.99536252985907
Casa Forte,9111477.721,288043.907,2017,dez,78.12474067225432
PoÃ§o da Panela,9111288.519,287134.705,2017,dez,84.17735281849679
Casa Amarela,9112326.465,287770.32,2017,dez,71.97137991159913
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2017,dez,77.27853595928964
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2017,dez,76.81169583092874
Alto JosÃ© do Pinho,9112751.629,289283.565,2017,dez,76.90944768742622
Vasco da Gama,9113922.665,287550.762,2017,dez,75.0086996241784
Monteiro,9112251.966,286935.676,2017,dez,80.18071851944457
Apipucos,9113185.175,285711.387,2017,dez,78.7317445750101
Alto do MandÃº,9112720.118,286967.594,2017,dez,77.31691988345723
SÃ­tio dos Pintos,9113652.981,283248.377,2017,dez,81.96162527820931
CÃ³rrego do Jenipapo,9114931.748,285628.687,2017,dez,81.49907112292652
Dois IrmÃ£os,9114316.891,283046.585,2017,dez,75.0782679764797
Macaxeira,9113929.124,286266.928,2017,dez,77.3849301297691
Nova Descoberta,9114374.078,285455.447,2017,dez,78.00809020714013
Brejo de Beberibe,9115426.776,287368.207,2017,dez,80.0695029936847
Guabiraba,9118925.116,280472.66,2017,dez,77.52546067508487
Brejo de Guabiraba,9116011.252,286470.068,2017,dez,85.4753638316652
Passarinho,9117604.478,286529.856,2017,dez,76.841231831373
Mangabeira,9112583.36,290041.311,2017,dez,79.87570426171894
VÃ¡rzea Baixo,9112566.575,286421.591,2017,dez,72.5259603147036
VÃ¡rzea UR7,9111147.548,281788.536,2017,dez,83.21652739670968
CaxangÃ¡,9112046.853,283641.068,2017,dez,79.17683750937354
Iputinga,9111218.811,284743.585,2017,dez,78.13417423367619
Engenho do Meio,9108934.504,284977.522,2017,dez,79.83952303122292
TorrÃµes,9108474.182,285633.242,2017,dez,85.03160826955109
Cordeiro,9109569.979,286498.08,2017,dez,81.59114952278321
Zumbi,9109369.482,288172.472,2017,dez,78.09957846509495
Torre,9110457.305,288948.15,2017,dez,82.34423303650203
Prado,9108489.273,288218.34,2017,dez,81.61248360241576
Madalena,9109260.52,288708.035,2017,dez,77.38528249840078
Ilha do Retiro,9108073.724,289620.413,2017,dez,75.74880140322081
VÃ¡rzea Brasilit,9110245.917,284310.527,2017,dez,78.01285451641942
Cidade UniversitÃ¡ria,9109225.991,284041.371,2017,dez,80.69509336870385
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2017,dez,80.21110945602169
Afogados (Marrom GlacÃª),9106094.768,289066.699,2017,dez,80.10890419415529
Afogados,9106757.379,287276.756,2017,dez,83.83620434342814
Bongi,9108001.134,287967.704,2017,dez,78.8793868153294
San Martin,9107597.587,286249.826,2017,dez,79.15346567028965
Mustardinha,9107309.05,288019.099,2017,dez,79.93402913377732
Mangueira,9106752.433,287877.617,2017,dez,78.50134322624854
EstÃ¢ncia,9105779.586,286336.174,2017,dez,78.6712129611886
JiquiÃ¡,9105785.996,286821.099,2017,dez,79.35238307502729
CaÃ§ote,9104102.268,286696.977,2017,dez,76.46886958980326
Areias,9104721.352,286348.888,2017,dez,80.15386255959372
TejipiÃ³,9105212.347,283469.404,2017,dez,81.34839655699838
Sancho,9105806.562,283345.513,2017,dez,80.97105422183934
Barro,9104276.244,283228.614,2017,dez,80.23568961303117
Coqueiral,9105579.969,282521.737,2017,dez,81.17911396676134
Curado,9107299.958,282026.143,2017,dez,79.69053934403668
TotÃ³,9106028.466,282845.232,2017,dez,76.40924654990944
Jardim SÃ£o Paulo,9106091.212,284789.366,2017,dez,79.6252583148913
BrasÃ­lia Teimosa,9105867.58,291910.581,2017,dez,79.02106153000842
Pina,9104526.606,289352.098,2017,dez,74.52280823463526
Imbiribeira,9103325.289,287372.583,2017,dez,77.50664803591472
Boa Viagem,9101159.587,286709.856,2017,dez,82.42689026079108
Ipsep,9103041.538,287270.038,2017,dez,80.44481671810199
Ibura,9102102.397,285143.988,2017,dez,79.62302333136421
Ibura Vila do Sesi,9103077.514,286055.398,2017,dez,76.33491430665406
Ibura Parque,9103162.275,285659.265,2017,dez,78.29799507343485
JordÃ£o,9100101.151,286086.751,2017,dez,80.00322164278427
Cohab UR5,9100700.205,285154.725,2017,dez,77.27488238746498
Cohab UR4,9100700.825,285154.722,2017,dez,86.40726537603565
Cohab UR10,9100697.345,284430.969,2017,dez,76.49020770410056
Cohab TrÃªs Carneiros,9101176.409,284411.063,2017,dez,79.18210755303669
Cohab UR2,9101678.284,284448.852,2017,dez,81.31020073076994
Cohab UR3,9102297.398,284375.691,2017,dez,79.84581367592683
Cohab Monte Verde,9102393.38,283809.922,2017,dez,78.63422272715482
UR1,9101905.325,285328.723,2017,dez,76.17578003710958
