bairro,latitude,longitude,ano,mes,umidade
Santo AntÃ´nio,9108146.872,292305.893,2017,fev,68.97108086450304
SÃ£o JosÃ©,9106966.415,291028.633,2017,fev,78.42470612180469
Recife Antigo,9109085.741,292919.623,2017,fev,76.81400438707328
Cabanga,9106406.495,290656.46,2017,fev,78.4591684308625
Coelhos,9107760.014,291308.772,2017,fev,62.77592630175442
Ilha do Leite,9107978.96,291077.482,2017,fev,78.72496103603906
PaissandÃº,9108194.842,290416.08,2017,fev,74.39826910617025
Ilha Joana Bezerra,9107310.114,290425.748,2017,fev,75.32119730013302
Boa Vista,9109077.387,290876.732,2017,fev,80.68194526145031
Soledade,9108960.796,291276.183,2017,fev,80.81152321087892
Santo Amaro,9109946.116,291880.247,2017,fev,72.1676764931209
Dois Unidos,9115506.345,288388.799,2017,fev,66.59861591042838
Beberibe,9114586.482,290525.705,2017,fev,65.7568317388677
Linha do Tiro,9114233.62,289504.946,2017,fev,72.96812595545342
Ãgua Fria (Plana),9113172.84,291071.501,2017,fev,79.08875042684559
Ãgua Fria (Alta),9113472.429,290156.813,2017,fev,76.40770753084132
Porto da Madeira,9114404.262,291240.722,2017,fev,71.54484502964472
Cajueiro,9113978.874,291787.251,2017,fev,75.2465236405543
Campina do Barreto,9113360.156,292045.138,2017,fev,72.76987502689762
Peixinhos,9113079.242,292663.795,2017,fev,80.7637616062008
Arruda,9112577.585,290778.65,2017,fev,76.19763366572371
Encruzilhada,9111342.984,291147.432,2017,fev,67.33413567413334
Ponto de Parada,9111944.964,291203.258,2017,fev,77.66703225871753
FundÃ£o,9113692.115,291141.885,2017,fev,78.9054516444003
HipÃ³dromo,9111681.871,291492.858,2017,fev,75.12411147792065
Rosarinho,9111613.61,290381.157,2017,fev,72.9107898224445
TorreÃ£o,9110784.651,292131.119,2017,fev,82.59486403427901
Campo Grande,9111851.014,291827.584,2017,fev,73.0025424972274
Alto Santa Terezinha,9113598.2,289883.467,2017,fev,72.32588588745443
Bomba do HemetÃ©rio,9112880.579,289851.021,2017,fev,79.75875175628104
Derby,9108891.462,290104.934,2017,fev,76.21558141341568
GraÃ§as,9110255.798,289708.079,2017,fev,77.65818043769075
Espinheiro,9110331.328,291132.224,2017,fev,72.7821147478575
Aflitos,9110761.843,290578.478,2017,fev,71.31703297223541
Jaqueira,9111017.043,289466.588,2017,fev,71.2276581856671
Tamarineira,9111760.594,289914.716,2017,fev,77.17565301633796
Santana,9110759.51,288467.83,2017,fev,73.88907567222901
Parnamirim,9111469.017,288892.196,2017,fev,71.1469059725044
Casa Forte,9111477.721,288043.907,2017,fev,78.77921416848363
PoÃ§o da Panela,9111288.519,287134.705,2017,fev,76.6775471044119
Casa Amarela,9112326.465,287770.32,2017,fev,76.84856070565972
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2017,fev,73.11778245056604
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2017,fev,69.52915703511293
Alto JosÃ© do Pinho,9112751.629,289283.565,2017,fev,75.63359863369604
Vasco da Gama,9113922.665,287550.762,2017,fev,78.14457089519983
Monteiro,9112251.966,286935.676,2017,fev,68.22825957320839
Apipucos,9113185.175,285711.387,2017,fev,81.03283668444034
Alto do MandÃº,9112720.118,286967.594,2017,fev,75.39771445151057
SÃ­tio dos Pintos,9113652.981,283248.377,2017,fev,71.5750674938219
CÃ³rrego do Jenipapo,9114931.748,285628.687,2017,fev,72.33674309588741
Dois IrmÃ£os,9114316.891,283046.585,2017,fev,75.88280450028371
Macaxeira,9113929.124,286266.928,2017,fev,74.87970953823242
Nova Descoberta,9114374.078,285455.447,2017,fev,77.41698026406702
Brejo de Beberibe,9115426.776,287368.207,2017,fev,76.35290183740793
Guabiraba,9118925.116,280472.66,2017,fev,66.7439630373177
Brejo de Guabiraba,9116011.252,286470.068,2017,fev,77.17810759358373
Passarinho,9117604.478,286529.856,2017,fev,81.25164754038488
Mangabeira,9112583.36,290041.311,2017,fev,73.75017217522975
VÃ¡rzea Baixo,9112566.575,286421.591,2017,fev,79.08037417349281
VÃ¡rzea UR7,9111147.548,281788.536,2017,fev,73.69256367017653
CaxangÃ¡,9112046.853,283641.068,2017,fev,77.4020844212762
Iputinga,9111218.811,284743.585,2017,fev,71.45791750083386
Engenho do Meio,9108934.504,284977.522,2017,fev,70.44522692558171
TorrÃµes,9108474.182,285633.242,2017,fev,76.658641640611
Cordeiro,9109569.979,286498.08,2017,fev,71.93613221265154
Zumbi,9109369.482,288172.472,2017,fev,76.98443433391303
Torre,9110457.305,288948.15,2017,fev,64.4074356890111
Prado,9108489.273,288218.34,2017,fev,78.34472164451837
Madalena,9109260.52,288708.035,2017,fev,75.02482505844337
Ilha do Retiro,9108073.724,289620.413,2017,fev,72.08201467089775
VÃ¡rzea Brasilit,9110245.917,284310.527,2017,fev,73.13631972428969
Cidade UniversitÃ¡ria,9109225.991,284041.371,2017,fev,79.7041292422431
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2017,fev,75.86039547249405
Afogados (Marrom GlacÃª),9106094.768,289066.699,2017,fev,75.50429726420563
Afogados,9106757.379,287276.756,2017,fev,79.28696766468566
Bongi,9108001.134,287967.704,2017,fev,78.61734851801462
San Martin,9107597.587,286249.826,2017,fev,76.87399717428245
Mustardinha,9107309.05,288019.099,2017,fev,72.89312940296567
Mangueira,9106752.433,287877.617,2017,fev,70.518062372375
EstÃ¢ncia,9105779.586,286336.174,2017,fev,74.17545499658314
JiquiÃ¡,9105785.996,286821.099,2017,fev,79.07264192980877
CaÃ§ote,9104102.268,286696.977,2017,fev,69.70681167429227
Areias,9104721.352,286348.888,2017,fev,80.64546458448778
TejipiÃ³,9105212.347,283469.404,2017,fev,69.14392134700316
Sancho,9105806.562,283345.513,2017,fev,81.15829280119213
Barro,9104276.244,283228.614,2017,fev,77.94622621276328
Coqueiral,9105579.969,282521.737,2017,fev,69.8180199303955
Curado,9107299.958,282026.143,2017,fev,69.20285835542253
TotÃ³,9106028.466,282845.232,2017,fev,76.98949767231287
Jardim SÃ£o Paulo,9106091.212,284789.366,2017,fev,76.64220561684458
BrasÃ­lia Teimosa,9105867.58,291910.581,2017,fev,73.84364253617048
Pina,9104526.606,289352.098,2017,fev,73.40995710608395
Imbiribeira,9103325.289,287372.583,2017,fev,63.97561615813409
Boa Viagem,9101159.587,286709.856,2017,fev,70.68495836034532
Ipsep,9103041.538,287270.038,2017,fev,78.36811170018176
Ibura,9102102.397,285143.988,2017,fev,69.96989831288909
Ibura Vila do Sesi,9103077.514,286055.398,2017,fev,69.11010182712907
Ibura Parque,9103162.275,285659.265,2017,fev,69.35579592867539
JordÃ£o,9100101.151,286086.751,2017,fev,74.86599202611727
Cohab UR5,9100700.205,285154.725,2017,fev,80.00718627465771
Cohab UR4,9100700.825,285154.722,2017,fev,74.63382953430668
Cohab UR10,9100697.345,284430.969,2017,fev,66.08286866869496
Cohab TrÃªs Carneiros,9101176.409,284411.063,2017,fev,77.84304533306856
Cohab UR2,9101678.284,284448.852,2017,fev,68.28627843006872
Cohab UR3,9102297.398,284375.691,2017,fev,67.77838754506396
Cohab Monte Verde,9102393.38,283809.922,2017,fev,78.03216003802437
UR1,9101905.325,285328.723,2017,fev,77.3280432718426
