bairro,latitude,longitude,ano,mes,umidade
Santo AntÃ´nio,9108146.872,292305.893,2014,jan,61.30588080135456
SÃ£o JosÃ©,9106966.415,291028.633,2014,jan,68.86990582221893
Recife Antigo,9109085.741,292919.623,2014,jan,72.8896272379509
Cabanga,9106406.495,290656.46,2014,jan,67.26200309916989
Coelhos,9107760.014,291308.772,2014,jan,69.42465396386869
Ilha do Leite,9107978.96,291077.482,2014,jan,72.97813453154838
PaissandÃº,9108194.842,290416.08,2014,jan,66.10796428727281
Ilha Joana Bezerra,9107310.114,290425.748,2014,jan,65.83924078443569
Boa Vista,9109077.387,290876.732,2014,jan,65.03415310673536
Soledade,9108960.796,291276.183,2014,jan,74.06087252744814
Santo Amaro,9109946.116,291880.247,2014,jan,71.89445800899614
Dois Unidos,9115506.345,288388.799,2014,jan,60.58431825410051
Beberibe,9114586.482,290525.705,2014,jan,77.55755334017256
Linha do Tiro,9114233.62,289504.946,2014,jan,62.66977433632169
Ãgua Fria (Plana),9113172.84,291071.501,2014,jan,67.83552586330327
Ãgua Fria (Alta),9113472.429,290156.813,2014,jan,68.64612618213216
Porto da Madeira,9114404.262,291240.722,2014,jan,61.25589760859093
Cajueiro,9113978.874,291787.251,2014,jan,69.92140178968252
Campina do Barreto,9113360.156,292045.138,2014,jan,64.95013595881916
Peixinhos,9113079.242,292663.795,2014,jan,69.71129954805858
Arruda,9112577.585,290778.65,2014,jan,74.99714497505644
Encruzilhada,9111342.984,291147.432,2014,jan,66.09826478697333
Ponto de Parada,9111944.964,291203.258,2014,jan,73.63820203778468
FundÃ£o,9113692.115,291141.885,2014,jan,63.80670664635595
HipÃ³dromo,9111681.871,291492.858,2014,jan,73.60207210063389
Rosarinho,9111613.61,290381.157,2014,jan,65.0426538704367
TorreÃ£o,9110784.651,292131.119,2014,jan,64.82750475972138
Campo Grande,9111851.014,291827.584,2014,jan,66.41989503595423
Alto Santa Terezinha,9113598.2,289883.467,2014,jan,68.55707805612792
Bomba do HemetÃ©rio,9112880.579,289851.021,2014,jan,70.96080831724916
Derby,9108891.462,290104.934,2014,jan,68.21624015240063
GraÃ§as,9110255.798,289708.079,2014,jan,72.50738592222064
Espinheiro,9110331.328,291132.224,2014,jan,72.58895426387316
Aflitos,9110761.843,290578.478,2014,jan,72.32438503717053
Jaqueira,9111017.043,289466.588,2014,jan,60.48403139091049
Tamarineira,9111760.594,289914.716,2014,jan,75.91009816713692
Santana,9110759.51,288467.83,2014,jan,71.01296535172442
Parnamirim,9111469.017,288892.196,2014,jan,69.0233412438253
Casa Forte,9111477.721,288043.907,2014,jan,72.50174634968116
