bairro,latitude,longitude,ano,mes,umidade
Santo AntÃ´nio,9108146.872,292305.893,2012,jul,83.05228898437132
SÃ£o JosÃ©,9106966.415,291028.633,2012,jul,80.29804997638009
Recife Antigo,9109085.741,292919.623,2012,jul,82.54881897667404
Cabanga,9106406.495,290656.46,2012,jul,77.30485906756468
Coelhos,9107760.014,291308.772,2012,jul,76.55709324021399
Ilha do Leite,9107978.96,291077.482,2012,jul,81.96000313616703
PaissandÃº,9108194.842,290416.08,2012,jul,83.30456966206857
Ilha Joana Bezerra,9107310.114,290425.748,2012,jul,79.93388629276517
Boa Vista,9109077.387,290876.732,2012,jul,82.61735715242808
Soledade,9108960.796,291276.183,2012,jul,80.08141431792438
Santo Amaro,9109946.116,291880.247,2012,jul,78.83924602252534
Dois Unidos,9115506.345,288388.799,2012,jul,86.92723270502651
Beberibe,9114586.482,290525.705,2012,jul,80.5999677623755
Linha do Tiro,9114233.62,289504.946,2012,jul,79.55500120526924
Ãgua Fria (Plana),9113172.84,291071.501,2012,jul,78.64899939024164
Ãgua Fria (Alta),9113472.429,290156.813,2012,jul,75.80650833807643
Porto da Madeira,9114404.262,291240.722,2012,jul,80.89530214781915
Cajueiro,9113978.874,291787.251,2012,jul,85.94667671644062
Campina do Barreto,9113360.156,292045.138,2012,jul,82.7725865855658
Peixinhos,9113079.242,292663.795,2012,jul,82.3874532182638
Arruda,9112577.585,290778.65,2012,jul,84.5879230508539
Encruzilhada,9111342.984,291147.432,2012,jul,83.7035598822798
Ponto de Parada,9111944.964,291203.258,2012,jul,82.87988134607994
FundÃ£o,9113692.115,291141.885,2012,jul,84.21660243905944
HipÃ³dromo,9111681.871,291492.858,2012,jul,83.9680263031438
Rosarinho,9111613.61,290381.157,2012,jul,89.43957338205274
TorreÃ£o,9110784.651,292131.119,2012,jul,78.65791456123534
Campo Grande,9111851.014,291827.584,2012,jul,80.30309735019824
Alto Santa Terezinha,9113598.2,289883.467,2012,jul,80.32801816556326
Bomba do HemetÃ©rio,9112880.579,289851.021,2012,jul,82.20983159827446
Derby,9108891.462,290104.934,2012,jul,75.23486066455965
GraÃ§as,9110255.798,289708.079,2012,jul,87.35224485101834
Espinheiro,9110331.328,291132.224,2012,jul,86.6573244607538
Aflitos,9110761.843,290578.478,2012,jul,77.0819858575631
Jaqueira,9111017.043,289466.588,2012,jul,77.99082716342987
Tamarineira,9111760.594,289914.716,2012,jul,72.55869589096498
Santana,9110759.51,288467.83,2012,jul,81.97601886321607
Parnamirim,9111469.017,288892.196,2012,jul,77.5568136790328
Casa Forte,9111477.721,288043.907,2012,jul,80.83134817029247
PoÃ§o da Panela,9111288.519,287134.705,2012,jul,82.85917632156368
Casa Amarela,9112326.465,287770.32,2012,jul,81.21061757261187
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2012,jul,85.12588837867432
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2012,jul,80.70175246810007
Alto JosÃ© do Pinho,9112751.629,289283.565,2012,jul,83.75611992219541
Vasco da Gama,9113922.665,287550.762,2012,jul,80.52399650822674
Monteiro,9112251.966,286935.676,2012,jul,85.96181046813327
Apipucos,9113185.175,285711.387,2012,jul,81.87005920112286
Alto do MandÃº,9112720.118,286967.594,2012,jul,81.24565317598643
SÃ­tio dos Pintos,9113652.981,283248.377,2012,jul,82.7961384174666
CÃ³rrego do Jenipapo,9114931.748,285628.687,2012,jul,81.84080205368957
Dois IrmÃ£os,9114316.891,283046.585,2012,jul,83.82724964888804
Macaxeira,9113929.124,286266.928,2012,jul,83.23047901123559
Nova Descoberta,9114374.078,285455.447,2012,jul,82.56636358464367
Brejo de Beberibe,9115426.776,287368.207,2012,jul,82.83559007134077
Guabiraba,9118925.116,280472.66,2012,jul,81.40379000233285
Brejo de Guabiraba,9116011.252,286470.068,2012,jul,85.12015607704419
Passarinho,9117604.478,286529.856,2012,jul,84.60654743427538
Mangabeira,9112583.36,290041.311,2012,jul,83.78065829139135
VÃ¡rzea Baixo,9112566.575,286421.591,2012,jul,71.42708840041308
VÃ¡rzea UR7,9111147.548,281788.536,2012,jul,84.40773830580278
CaxangÃ¡,9112046.853,283641.068,2012,jul,79.09144878086023
Iputinga,9111218.811,284743.585,2012,jul,79.7773192161424
Engenho do Meio,9108934.504,284977.522,2012,jul,78.90824950032398
TorrÃµes,9108474.182,285633.242,2012,jul,82.72067882747251
Cordeiro,9109569.979,286498.08,2012,jul,80.09669524750917
Zumbi,9109369.482,288172.472,2012,jul,85.01156722065635
Torre,9110457.305,288948.15,2012,jul,79.43541477666702
Prado,9108489.273,288218.34,2012,jul,76.54046301363896
Madalena,9109260.52,288708.035,2012,jul,79.92281245144976
Ilha do Retiro,9108073.724,289620.413,2012,jul,83.31723793365099
VÃ¡rzea Brasilit,9110245.917,284310.527,2012,jul,85.64325075076083
Cidade UniversitÃ¡ria,9109225.991,284041.371,2012,jul,78.91068031431868
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2012,jul,76.38647144622541
Afogados (Marrom GlacÃª),9106094.768,289066.699,2012,jul,84.37631579879422
Afogados,9106757.379,287276.756,2012,jul,79.44824241022413
Bongi,9108001.134,287967.704,2012,jul,84.56367385623797
San Martin,9107597.587,286249.826,2012,jul,84.33025982866086
Mustardinha,9107309.05,288019.099,2012,jul,80.42366462542124
Mangueira,9106752.433,287877.617,2012,jul,84.68453950213382
EstÃ¢ncia,9105779.586,286336.174,2012,jul,77.88301600169483
JiquiÃ¡,9105785.996,286821.099,2012,jul,84.76417435787621
CaÃ§ote,9104102.268,286696.977,2012,jul,77.31468171983609
Areias,9104721.352,286348.888,2012,jul,80.00793134079585
TejipiÃ³,9105212.347,283469.404,2012,jul,75.36307384745622
Sancho,9105806.562,283345.513,2012,jul,78.46270428906934
Barro,9104276.244,283228.614,2012,jul,77.44392982949903
Coqueiral,9105579.969,282521.737,2012,jul,76.89261644225815
Curado,9107299.958,282026.143,2012,jul,87.48334476073424
TotÃ³,9106028.466,282845.232,2012,jul,80.17354167044405
Jardim SÃ£o Paulo,9106091.212,284789.366,2012,jul,82.41109464973648
BrasÃ­lia Teimosa,9105867.58,291910.581,2012,jul,81.43915083551035
Pina,9104526.606,289352.098,2012,jul,82.90356427163779
Imbiribeira,9103325.289,287372.583,2012,jul,73.2771335337149
Boa Viagem,9101159.587,286709.856,2012,jul,80.09142381155337
Ipsep,9103041.538,287270.038,2012,jul,85.3433823426237
Ibura,9102102.397,285143.988,2012,jul,84.94861980459694
Ibura Vila do Sesi,9103077.514,286055.398,2012,jul,76.30514721111302
Ibura Parque,9103162.275,285659.265,2012,jul,77.99258571550986
JordÃ£o,9100101.151,286086.751,2012,jul,75.39685079806863
Cohab UR5,9100700.205,285154.725,2012,jul,82.32466561923034
Cohab UR4,9100700.825,285154.722,2012,jul,81.68407802074904
Cohab UR10,9100697.345,284430.969,2012,jul,76.28789805465402
Cohab TrÃªs Carneiros,9101176.409,284411.063,2012,jul,77.9909225747182
Cohab UR2,9101678.284,284448.852,2012,jul,81.84186320747482
Cohab UR3,9102297.398,284375.691,2012,jul,75.93158210782677
Cohab Monte Verde,9102393.38,283809.922,2012,jul,78.2360372619157
UR1,9101905.325,285328.723,2012,jul,81.14872324510993
