bairro,latitude,longitude,ano,mes,umidade
Santo AntÃ´nio,9108146.872,292305.893,2017,jun,88.32089379346172
SÃ£o JosÃ©,9106966.415,291028.633,2017,jun,93.94807653304387
Recife Antigo,9109085.741,292919.623,2017,jun,88.91392699674876
Cabanga,9106406.495,290656.46,2017,jun,86.80146021413556
Coelhos,9107760.014,291308.772,2017,jun,93.47485431471864
Ilha do Leite,9107978.96,291077.482,2017,jun,94.140401299695
PaissandÃº,9108194.842,290416.08,2017,jun,90.06051183539866
Ilha Joana Bezerra,9107310.114,290425.748,2017,jun,98.27324151709168
Boa Vista,9109077.387,290876.732,2017,jun,89.67705353085825
Soledade,9108960.796,291276.183,2017,jun,93.17662310958872
Santo Amaro,9109946.116,291880.247,2017,jun,89.74529913994284
Dois Unidos,9115506.345,288388.799,2017,jun,93.01332123254704
Beberibe,9114586.482,290525.705,2017,jun,90.67993695170009
Linha do Tiro,9114233.62,289504.946,2017,jun,93.43617157666247
Ãgua Fria (Plana),9113172.84,291071.501,2017,jun,91.54154277229084
Ãgua Fria (Alta),9113472.429,290156.813,2017,jun,90.34384156810384
Porto da Madeira,9114404.262,291240.722,2017,jun,92.84230831379386
Cajueiro,9113978.874,291787.251,2017,jun,91.6440585810692
Campina do Barreto,9113360.156,292045.138,2017,jun,94.49172497291656
Peixinhos,9113079.242,292663.795,2017,jun,90.80852785288874
Arruda,9112577.585,290778.65,2017,jun,89.05903313139241
Encruzilhada,9111342.984,291147.432,2017,jun,88.58895828477087
Ponto de Parada,9111944.964,291203.258,2017,jun,95.44501102771466
FundÃ£o,9113692.115,291141.885,2017,jun,92.29977926116584
HipÃ³dromo,9111681.871,291492.858,2017,jun,91.70080607307266
Rosarinho,9111613.61,290381.157,2017,jun,90.4044722481787
TorreÃ£o,9110784.651,292131.119,2017,jun,94.26278333329655
Campo Grande,9111851.014,291827.584,2017,jun,92.20213766211478
Alto Santa Terezinha,9113598.2,289883.467,2017,jun,91.8740205267368
Bomba do HemetÃ©rio,9112880.579,289851.021,2017,jun,91.49375783531222
Derby,9108891.462,290104.934,2017,jun,95.031655992917
GraÃ§as,9110255.798,289708.079,2017,jun,92.05792794356536
Espinheiro,9110331.328,291132.224,2017,jun,87.10394782149282
Aflitos,9110761.843,290578.478,2017,jun,93.7468602838972
Jaqueira,9111017.043,289466.588,2017,jun,89.14368029284917
Tamarineira,9111760.594,289914.716,2017,jun,93.1655842381026
Santana,9110759.51,288467.83,2017,jun,90.96655612077016
Parnamirim,9111469.017,288892.196,2017,jun,90.69415065005498
Casa Forte,9111477.721,288043.907,2017,jun,89.37714996654327
PoÃ§o da Panela,9111288.519,287134.705,2017,jun,87.79827300465516
Casa Amarela,9112326.465,287770.32,2017,jun,91.14299619522122
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2017,jun,92.82538168472706
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2017,jun,88.75661763992866
Alto JosÃ© do Pinho,9112751.629,289283.565,2017,jun,94.06770808742613
Vasco da Gama,9113922.665,287550.762,2017,jun,91.2396735941161
Monteiro,9112251.966,286935.676,2017,jun,91.46793233958888
Apipucos,9113185.175,285711.387,2017,jun,91.9415372816106
Alto do MandÃº,9112720.118,286967.594,2017,jun,90.37162073469848
SÃ­tio dos Pintos,9113652.981,283248.377,2017,jun,90.3283676365404
CÃ³rrego do Jenipapo,9114931.748,285628.687,2017,jun,91.05430186132445
Dois IrmÃ£os,9114316.891,283046.585,2017,jun,92.70362947652728
Macaxeira,9113929.124,286266.928,2017,jun,91.79574254829038
Nova Descoberta,9114374.078,285455.447,2017,jun,87.99800146348782
Brejo de Beberibe,9115426.776,287368.207,2017,jun,91.17035639970484
Guabiraba,9118925.116,280472.66,2017,jun,90.99359369434336
Brejo de Guabiraba,9116011.252,286470.068,2017,jun,93.45459300069372
Passarinho,9117604.478,286529.856,2017,jun,93.69475761780927
Mangabeira,9112583.36,290041.311,2017,jun,91.62149861962584
VÃ¡rzea Baixo,9112566.575,286421.591,2017,jun,90.41533122360168
VÃ¡rzea UR7,9111147.548,281788.536,2017,jun,92.80697603019868
CaxangÃ¡,9112046.853,283641.068,2017,jun,92.26192358777672
Iputinga,9111218.811,284743.585,2017,jun,91.20378303600953
Engenho do Meio,9108934.504,284977.522,2017,jun,92.80168529346322
TorrÃµes,9108474.182,285633.242,2017,jun,92.72056867147644
Cordeiro,9109569.979,286498.08,2017,jun,91.2515569778821
Zumbi,9109369.482,288172.472,2017,jun,93.13695058748382
Torre,9110457.305,288948.15,2017,jun,88.11915470036482
Prado,9108489.273,288218.34,2017,jun,92.56528892980012
Madalena,9109260.52,288708.035,2017,jun,90.28948750888104
Ilha do Retiro,9108073.724,289620.413,2017,jun,94.51397959069963
VÃ¡rzea Brasilit,9110245.917,284310.527,2017,jun,93.70442512615182
Cidade UniversitÃ¡ria,9109225.991,284041.371,2017,jun,93.05552943899364
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2017,jun,91.21267682892456
Afogados (Marrom GlacÃª),9106094.768,289066.699,2017,jun,90.90358472244178
Afogados,9106757.379,287276.756,2017,jun,91.12606865102212
Bongi,9108001.134,287967.704,2017,jun,93.64640946670696
San Martin,9107597.587,286249.826,2017,jun,93.08149027797823
Mustardinha,9107309.05,288019.099,2017,jun,90.04190828846086
Mangueira,9106752.433,287877.617,2017,jun,93.96315589615168
EstÃ¢ncia,9105779.586,286336.174,2017,jun,91.5645484252486
JiquiÃ¡,9105785.996,286821.099,2017,jun,89.88198050282114
CaÃ§ote,9104102.268,286696.977,2017,jun,93.2504339059679
Areias,9104721.352,286348.888,2017,jun,93.05145826372308
TejipiÃ³,9105212.347,283469.404,2017,jun,91.43087759734252
Sancho,9105806.562,283345.513,2017,jun,88.90513469411641
Barro,9104276.244,283228.614,2017,jun,94.3828130070903
Coqueiral,9105579.969,282521.737,2017,jun,87.50803840425608
Curado,9107299.958,282026.143,2017,jun,89.02903842519335
TotÃ³,9106028.466,282845.232,2017,jun,87.53004026966904
Jardim SÃ£o Paulo,9106091.212,284789.366,2017,jun,89.31712908251734
BrasÃ­lia Teimosa,9105867.58,291910.581,2017,jun,92.87608372573858
Pina,9104526.606,289352.098,2017,jun,90.17376713713124
Imbiribeira,9103325.289,287372.583,2017,jun,88.36805799286365
Boa Viagem,9101159.587,286709.856,2017,jun,89.7417078329414
Ipsep,9103041.538,287270.038,2017,jun,92.37998499759004
Ibura,9102102.397,285143.988,2017,jun,92.37125113311832
Ibura Vila do Sesi,9103077.514,286055.398,2017,jun,90.65254069999534
Ibura Parque,9103162.275,285659.265,2017,jun,92.88538585074168
JordÃ£o,9100101.151,286086.751,2017,jun,91.64015813358854
Cohab UR5,9100700.205,285154.725,2017,jun,90.97374552400191
Cohab UR4,9100700.825,285154.722,2017,jun,89.67854303652888
Cohab UR10,9100697.345,284430.969,2017,jun,94.63176821706637
Cohab TrÃªs Carneiros,9101176.409,284411.063,2017,jun,92.57817831709426
Cohab UR2,9101678.284,284448.852,2017,jun,91.58524589389565
Cohab UR3,9102297.398,284375.691,2017,jun,91.76184021365285
Cohab Monte Verde,9102393.38,283809.922,2017,jun,88.7749385800343
UR1,9101905.325,285328.723,2017,jun,88.9894083403746
