bairro,latitude,longitude,ano,mes,umidade
Santo AntÃ´nio,9108146.872,292305.893,2014,mai,81.21901448078992
SÃ£o JosÃ©,9106966.415,291028.633,2014,mai,76.93927002969512
Recife Antigo,9109085.741,292919.623,2014,mai,78.36901976331669
Cabanga,9106406.495,290656.46,2014,mai,76.64027361224109
Coelhos,9107760.014,291308.772,2014,mai,75.36345108195606
Ilha do Leite,9107978.96,291077.482,2014,mai,76.75787725222395
PaissandÃº,9108194.842,290416.08,2014,mai,78.53805309991682
Ilha Joana Bezerra,9107310.114,290425.748,2014,mai,82.22486984142122
Boa Vista,9109077.387,290876.732,2014,mai,78.67636386945125
Soledade,9108960.796,291276.183,2014,mai,78.04364121407909
Santo Amaro,9109946.116,291880.247,2014,mai,78.78385589127947
Dois Unidos,9115506.345,288388.799,2014,mai,80.05642274576154
Beberibe,9114586.482,290525.705,2014,mai,79.60147043241169
Linha do Tiro,9114233.62,289504.946,2014,mai,81.22792579470564
Ãgua Fria (Plana),9113172.84,291071.501,2014,mai,80.61854527348078
Ãgua Fria (Alta),9113472.429,290156.813,2014,mai,76.97077630928189
Porto da Madeira,9114404.262,291240.722,2014,mai,74.0896880585206
Cajueiro,9113978.874,291787.251,2014,mai,77.2703916150543
Campina do Barreto,9113360.156,292045.138,2014,mai,80.05052818635467
Peixinhos,9113079.242,292663.795,2014,mai,82.75906367195185
Arruda,9112577.585,290778.65,2014,mai,79.33697226455728
Encruzilhada,9111342.984,291147.432,2014,mai,78.41370167283608
Ponto de Parada,9111944.964,291203.258,2014,mai,76.2412916852489
FundÃ£o,9113692.115,291141.885,2014,mai,74.04167995777246
HipÃ³dromo,9111681.871,291492.858,2014,mai,76.23186433666793
Rosarinho,9111613.61,290381.157,2014,mai,76.06391085761479
TorreÃ£o,9110784.651,292131.119,2014,mai,78.1337300518807
Campo Grande,9111851.014,291827.584,2014,mai,79.99313858315101
Alto Santa Terezinha,9113598.2,289883.467,2014,mai,80.95848146589614
Bomba do HemetÃ©rio,9112880.579,289851.021,2014,mai,76.58987215489448
Derby,9108891.462,290104.934,2014,mai,76.00367975929412
GraÃ§as,9110255.798,289708.079,2014,mai,83.13722521251938
Espinheiro,9110331.328,291132.224,2014,mai,76.61167006559113
Aflitos,9110761.843,290578.478,2014,mai,78.68408372040126
Jaqueira,9111017.043,289466.588,2014,mai,79.8190528305344
Tamarineira,9111760.594,289914.716,2014,mai,79.7107570077439
Santana,9110759.51,288467.83,2014,mai,75.18870749769546
Parnamirim,9111469.017,288892.196,2014,mai,73.34423875847806
Casa Forte,9111477.721,288043.907,2014,mai,76.85973994447414
PoÃ§o da Panela,9111288.519,287134.705,2014,mai,84.12209559531456
Casa Amarela,9112326.465,287770.32,2014,mai,75.50058357216712
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2014,mai,77.69159647293216
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2014,mai,77.94044141631362
Alto JosÃ© do Pinho,9112751.629,289283.565,2014,mai,81.61747738633599
Vasco da Gama,9113922.665,287550.762,2014,mai,77.45691277593937
Monteiro,9112251.966,286935.676,2014,mai,79.12465440770619
Apipucos,9113185.175,285711.387,2014,mai,76.62679629856277
Alto do MandÃº,9112720.118,286967.594,2014,mai,77.82917461969109
SÃ­tio dos Pintos,9113652.981,283248.377,2014,mai,82.36345420006326
CÃ³rrego do Jenipapo,9114931.748,285628.687,2014,mai,81.47533214892292
Dois IrmÃ£os,9114316.891,283046.585,2014,mai,80.74681590785164
Macaxeira,9113929.124,286266.928,2014,mai,75.1423258374247
Nova Descoberta,9114374.078,285455.447,2014,mai,72.7957649291059
Brejo de Beberibe,9115426.776,287368.207,2014,mai,77.71146098197724
Guabiraba,9118925.116,280472.66,2014,mai,75.1827179390993
Brejo de Guabiraba,9116011.252,286470.068,2014,mai,75.4396688511778
Passarinho,9117604.478,286529.856,2014,mai,72.93828259176493
Mangabeira,9112583.36,290041.311,2014,mai,78.3354917126388
VÃ¡rzea Baixo,9112566.575,286421.591,2014,mai,81.03733840087929
VÃ¡rzea UR7,9111147.548,281788.536,2014,mai,79.3751073674233
CaxangÃ¡,9112046.853,283641.068,2014,mai,80.43515089500838
Iputinga,9111218.811,284743.585,2014,mai,73.20910820467037
Engenho do Meio,9108934.504,284977.522,2014,mai,83.78066337184362
TorrÃµes,9108474.182,285633.242,2014,mai,77.78905234771585
Cordeiro,9109569.979,286498.08,2014,mai,74.05772726123568
Zumbi,9109369.482,288172.472,2014,mai,75.94572634078544
Torre,9110457.305,288948.15,2014,mai,80.48835308541928
Prado,9108489.273,288218.34,2014,mai,76.74429601628626
Madalena,9109260.52,288708.035,2014,mai,74.6492389596567
Ilha do Retiro,9108073.724,289620.413,2014,mai,78.878690201135
VÃ¡rzea Brasilit,9110245.917,284310.527,2014,mai,74.96704397159807
Cidade UniversitÃ¡ria,9109225.991,284041.371,2014,mai,75.14579211749297
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2014,mai,80.51503874067771
Afogados (Marrom GlacÃª),9106094.768,289066.699,2014,mai,76.70066434524716
Afogados,9106757.379,287276.756,2014,mai,81.21493812015935
Bongi,9108001.134,287967.704,2014,mai,81.59442434429499
San Martin,9107597.587,286249.826,2014,mai,75.04337338439609
Mustardinha,9107309.05,288019.099,2014,mai,77.00540099251468
Mangueira,9106752.433,287877.617,2014,mai,74.78427429276098
EstÃ¢ncia,9105779.586,286336.174,2014,mai,78.95821959383636
JiquiÃ¡,9105785.996,286821.099,2014,mai,79.29789288298328
CaÃ§ote,9104102.268,286696.977,2014,mai,75.15618404796487
Areias,9104721.352,286348.888,2014,mai,78.73636222092865
TejipiÃ³,9105212.347,283469.404,2014,mai,75.92355546354105
Sancho,9105806.562,283345.513,2014,mai,80.48866481417693
Barro,9104276.244,283228.614,2014,mai,78.68156108611512
Coqueiral,9105579.969,282521.737,2014,mai,76.9420001458248
Curado,9107299.958,282026.143,2014,mai,76.87871335507114
TotÃ³,9106028.466,282845.232,2014,mai,72.51964284861475
Jardim SÃ£o Paulo,9106091.212,284789.366,2014,mai,77.50040015331417
BrasÃ­lia Teimosa,9105867.58,291910.581,2014,mai,75.80030694325168
Pina,9104526.606,289352.098,2014,mai,77.51374573544328
Imbiribeira,9103325.289,287372.583,2014,mai,76.98834318853908
Boa Viagem,9101159.587,286709.856,2014,mai,73.82810437938333
Ipsep,9103041.538,287270.038,2014,mai,76.83452317944031
Ibura,9102102.397,285143.988,2014,mai,72.80425984289545
Ibura Vila do Sesi,9103077.514,286055.398,2014,mai,77.89174459185523
Ibura Parque,9103162.275,285659.265,2014,mai,81.0673558887772
JordÃ£o,9100101.151,286086.751,2014,mai,79.92804447533271
Cohab UR5,9100700.205,285154.725,2014,mai,77.78840995088696
Cohab UR4,9100700.825,285154.722,2014,mai,77.2273688216254
Cohab UR10,9100697.345,284430.969,2014,mai,76.8485966043543
Cohab TrÃªs Carneiros,9101176.409,284411.063,2014,mai,78.85992355724292
Cohab UR2,9101678.284,284448.852,2014,mai,75.60593628407686
Cohab UR3,9102297.398,284375.691,2014,mai,78.13775114662357
Cohab Monte Verde,9102393.38,283809.922,2014,mai,77.26712455480097
UR1,9101905.325,285328.723,2014,mai,74.56211273920863
