bairro,latitude,longitude,ano,mes,umidade
Santo AntÃ´nio,9108146.872,292305.893,2013,mar,73.38656101995369
SÃ£o JosÃ©,9106966.415,291028.633,2013,mar,72.94525437011008
Recife Antigo,9109085.741,292919.623,2013,mar,76.85091972967733
Cabanga,9106406.495,290656.46,2013,mar,72.47508566898907
Coelhos,9107760.014,291308.772,2013,mar,78.84535425579416
Ilha do Leite,9107978.96,291077.482,2013,mar,75.07571783366019
PaissandÃº,9108194.842,290416.08,2013,mar,68.9283673384622
Ilha Joana Bezerra,9107310.114,290425.748,2013,mar,73.46295706699641
Boa Vista,9109077.387,290876.732,2013,mar,69.86855540387614
Soledade,9108960.796,291276.183,2013,mar,73.5158533752797
Santo Amaro,9109946.116,291880.247,2013,mar,76.82666345925958
Dois Unidos,9115506.345,288388.799,2013,mar,75.58835612256489
Beberibe,9114586.482,290525.705,2013,mar,71.6461817244682
Linha do Tiro,9114233.62,289504.946,2013,mar,75.40181389106463
Ãgua Fria (Plana),9113172.84,291071.501,2013,mar,74.38574892809673
Ãgua Fria (Alta),9113472.429,290156.813,2013,mar,71.50224563135902
Porto da Madeira,9114404.262,291240.722,2013,mar,70.62487947858189
Cajueiro,9113978.874,291787.251,2013,mar,72.71946177838015
Campina do Barreto,9113360.156,292045.138,2013,mar,80.77871964770334
Peixinhos,9113079.242,292663.795,2013,mar,72.77463906545717
Arruda,9112577.585,290778.65,2013,mar,75.31031726597188
Encruzilhada,9111342.984,291147.432,2013,mar,72.17884547323447
Ponto de Parada,9111944.964,291203.258,2013,mar,70.89300129827728
FundÃ£o,9113692.115,291141.885,2013,mar,74.60279561313615
HipÃ³dromo,9111681.871,291492.858,2013,mar,69.47662199488768
Rosarinho,9111613.61,290381.157,2013,mar,69.73378538016345
TorreÃ£o,9110784.651,292131.119,2013,mar,70.74872353921467
Campo Grande,9111851.014,291827.584,2013,mar,71.65341363043746
Alto Santa Terezinha,9113598.2,289883.467,2013,mar,72.4729000123414
Bomba do HemetÃ©rio,9112880.579,289851.021,2013,mar,71.99757428482248
Derby,9108891.462,290104.934,2013,mar,67.60156973159297
GraÃ§as,9110255.798,289708.079,2013,mar,72.42476415192218
Espinheiro,9110331.328,291132.224,2013,mar,72.52262308268546
Aflitos,9110761.843,290578.478,2013,mar,78.30324660744418
Jaqueira,9111017.043,289466.588,2013,mar,74.00838522892401
Tamarineira,9111760.594,289914.716,2013,mar,74.02012382122489
Santana,9110759.51,288467.83,2013,mar,72.1106174445863
Parnamirim,9111469.017,288892.196,2013,mar,79.89936596246585
Casa Forte,9111477.721,288043.907,2013,mar,83.42678517745576
PoÃ§o da Panela,9111288.519,287134.705,2013,mar,79.3441058590041
Casa Amarela,9112326.465,287770.32,2013,mar,72.87813403474057
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2013,mar,78.21386090721977
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2013,mar,79.20721853383502
Alto JosÃ© do Pinho,9112751.629,289283.565,2013,mar,80.32426070830537
Vasco da Gama,9113922.665,287550.762,2013,mar,71.84552230768234
Monteiro,9112251.966,286935.676,2013,mar,72.22825743675284
Apipucos,9113185.175,285711.387,2013,mar,75.64587546137243
Alto do MandÃº,9112720.118,286967.594,2013,mar,73.8770467174424
SÃ­tio dos Pintos,9113652.981,283248.377,2013,mar,70.27415763408321
CÃ³rrego do Jenipapo,9114931.748,285628.687,2013,mar,64.90740415161565
Dois IrmÃ£os,9114316.891,283046.585,2013,mar,70.0949856867798
Macaxeira,9113929.124,286266.928,2013,mar,79.0922932914342
Nova Descoberta,9114374.078,285455.447,2013,mar,71.02610911590538
Brejo de Beberibe,9115426.776,287368.207,2013,mar,73.44287639613219
Guabiraba,9118925.116,280472.66,2013,mar,78.45447848787968
Brejo de Guabiraba,9116011.252,286470.068,2013,mar,73.40406355123805
Passarinho,9117604.478,286529.856,2013,mar,73.2963217682881
Mangabeira,9112583.36,290041.311,2013,mar,72.78365963504159
VÃ¡rzea Baixo,9112566.575,286421.591,2013,mar,76.70432815689615
VÃ¡rzea UR7,9111147.548,281788.536,2013,mar,78.87470958405432
CaxangÃ¡,9112046.853,283641.068,2013,mar,80.276259233059
Iputinga,9111218.811,284743.585,2013,mar,65.11864641559386
