bairro,latitude,longitude,ano,mes,umidade
Santo AntÃ´nio,9108146.872,292305.893,2015,nov,62.44487990303578
SÃ£o JosÃ©,9106966.415,291028.633,2015,nov,73.42311692967958
Recife Antigo,9109085.741,292919.623,2015,nov,67.41866657933173
Cabanga,9106406.495,290656.46,2015,nov,68.66154648977427
Coelhos,9107760.014,291308.772,2015,nov,65.80973528509773
Ilha do Leite,9107978.96,291077.482,2015,nov,66.53012305320956
PaissandÃº,9108194.842,290416.08,2015,nov,66.14749434294616
Ilha Joana Bezerra,9107310.114,290425.748,2015,nov,67.07515542672222
Boa Vista,9109077.387,290876.732,2015,nov,61.04157443726616
Soledade,9108960.796,291276.183,2015,nov,59.73181517021187
Santo Amaro,9109946.116,291880.247,2015,nov,68.84896506413821
Dois Unidos,9115506.345,288388.799,2015,nov,70.00086683679424
Beberibe,9114586.482,290525.705,2015,nov,66.49276224987298
Linha do Tiro,9114233.62,289504.946,2015,nov,67.51163644199539
Ãgua Fria (Plana),9113172.84,291071.501,2015,nov,59.38138571819559
Ãgua Fria (Alta),9113472.429,290156.813,2015,nov,73.02351845328755
Porto da Madeira,9114404.262,291240.722,2015,nov,69.11894704698798
Cajueiro,9113978.874,291787.251,2015,nov,68.16762210808922
Campina do Barreto,9113360.156,292045.138,2015,nov,70.79947540579624
Peixinhos,9113079.242,292663.795,2015,nov,59.9042947245568
Arruda,9112577.585,290778.65,2015,nov,59.31717324600598
Encruzilhada,9111342.984,291147.432,2015,nov,57.995140197329256
Ponto de Parada,9111944.964,291203.258,2015,nov,57.718345457855605
FundÃ£o,9113692.115,291141.885,2015,nov,68.11368209668598
HipÃ³dromo,9111681.871,291492.858,2015,nov,68.03775843588225
Rosarinho,9111613.61,290381.157,2015,nov,64.77159408868954
TorreÃ£o,9110784.651,292131.119,2015,nov,58.67109039762881
Campo Grande,9111851.014,291827.584,2015,nov,65.41323223376517
Alto Santa Terezinha,9113598.2,289883.467,2015,nov,60.12646277755273
Bomba do HemetÃ©rio,9112880.579,289851.021,2015,nov,58.180654967812885
Derby,9108891.462,290104.934,2015,nov,64.48802173476506
GraÃ§as,9110255.798,289708.079,2015,nov,76.80534836129382
Espinheiro,9110331.328,291132.224,2015,nov,65.12714917307213
Aflitos,9110761.843,290578.478,2015,nov,60.65365589242473
Jaqueira,9111017.043,289466.588,2015,nov,73.25519691613029
Tamarineira,9111760.594,289914.716,2015,nov,74.81758727988257
Santana,9110759.51,288467.83,2015,nov,68.8322496208463
Parnamirim,9111469.017,288892.196,2015,nov,68.59720975513949
Casa Forte,9111477.721,288043.907,2015,nov,69.82593739368548
PoÃ§o da Panela,9111288.519,287134.705,2015,nov,62.90147448602404
Casa Amarela,9112326.465,287770.32,2015,nov,67.90270615303382
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2015,nov,62.81377240575628
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2015,nov,66.70932304799905
Alto JosÃ© do Pinho,9112751.629,289283.565,2015,nov,63.29033236555056
Vasco da Gama,9113922.665,287550.762,2015,nov,56.0136822222034
Monteiro,9112251.966,286935.676,2015,nov,74.03175411087923
Apipucos,9113185.175,285711.387,2015,nov,65.57763968128333
Alto do MandÃº,9112720.118,286967.594,2015,nov,61.41993891512818
SÃ­tio dos Pintos,9113652.981,283248.377,2015,nov,72.20037586121286
CÃ³rrego do Jenipapo,9114931.748,285628.687,2015,nov,61.75463903030545
Dois IrmÃ£os,9114316.891,283046.585,2015,nov,63.624129503472126
Macaxeira,9113929.124,286266.928,2015,nov,64.60553940650455
Nova Descoberta,9114374.078,285455.447,2015,nov,73.37340685487659
Brejo de Beberibe,9115426.776,287368.207,2015,nov,69.67605795660626
Guabiraba,9118925.116,280472.66,2015,nov,53.39648244819586
Brejo de Guabiraba,9116011.252,286470.068,2015,nov,55.73711552245426
Passarinho,9117604.478,286529.856,2015,nov,62.42215384975218
Mangabeira,9112583.36,290041.311,2015,nov,71.39870668215666
VÃ¡rzea Baixo,9112566.575,286421.591,2015,nov,60.68607050426248
VÃ¡rzea UR7,9111147.548,281788.536,2015,nov,65.4216222113522
CaxangÃ¡,9112046.853,283641.068,2015,nov,66.56072169810459
Iputinga,9111218.811,284743.585,2015,nov,64.48236728170741
Engenho do Meio,9108934.504,284977.522,2015,nov,65.13708416046221
TorrÃµes,9108474.182,285633.242,2015,nov,64.19510845201916
Cordeiro,9109569.979,286498.08,2015,nov,69.27259521987642
Zumbi,9109369.482,288172.472,2015,nov,69.7930692756682
Torre,9110457.305,288948.15,2015,nov,68.0339262625806
Prado,9108489.273,288218.34,2015,nov,66.7608288224178
Madalena,9109260.52,288708.035,2015,nov,64.27078986110433
Ilha do Retiro,9108073.724,289620.413,2015,nov,66.24065737185187
VÃ¡rzea Brasilit,9110245.917,284310.527,2015,nov,69.43536366757485
Cidade UniversitÃ¡ria,9109225.991,284041.371,2015,nov,64.12544456792996
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2015,nov,66.57138962249023
Afogados (Marrom GlacÃª),9106094.768,289066.699,2015,nov,75.36244927867827
Afogados,9106757.379,287276.756,2015,nov,57.17575686974097
Bongi,9108001.134,287967.704,2015,nov,63.16210267066849
San Martin,9107597.587,286249.826,2015,nov,68.43157652385855
Mustardinha,9107309.05,288019.099,2015,nov,58.03941735960331
Mangueira,9106752.433,287877.617,2015,nov,73.1852621123768
EstÃ¢ncia,9105779.586,286336.174,2015,nov,64.2147857008019
JiquiÃ¡,9105785.996,286821.099,2015,nov,73.73458820495796
CaÃ§ote,9104102.268,286696.977,2015,nov,62.95793472596129
Areias,9104721.352,286348.888,2015,nov,56.49104333304008
TejipiÃ³,9105212.347,283469.404,2015,nov,57.14293168272396
Sancho,9105806.562,283345.513,2015,nov,71.98856947261507
Barro,9104276.244,283228.614,2015,nov,65.2947996165448
Coqueiral,9105579.969,282521.737,2015,nov,64.39881922714734
Curado,9107299.958,282026.143,2015,nov,67.48240893674675
TotÃ³,9106028.466,282845.232,2015,nov,64.29499136816617
Jardim SÃ£o Paulo,9106091.212,284789.366,2015,nov,67.5477225364232
BrasÃ­lia Teimosa,9105867.58,291910.581,2015,nov,56.62849403035486
Pina,9104526.606,289352.098,2015,nov,72.50279659452492
Imbiribeira,9103325.289,287372.583,2015,nov,60.36601144914481
Boa Viagem,9101159.587,286709.856,2015,nov,65.2337959592966
Ipsep,9103041.538,287270.038,2015,nov,53.09133955211568
Ibura,9102102.397,285143.988,2015,nov,76.54602112098738
Ibura Vila do Sesi,9103077.514,286055.398,2015,nov,59.55984200986777
Ibura Parque,9103162.275,285659.265,2015,nov,72.94538837023578
JordÃ£o,9100101.151,286086.751,2015,nov,64.65135411025149
Cohab UR5,9100700.205,285154.725,2015,nov,67.81195130684364
Cohab UR4,9100700.825,285154.722,2015,nov,70.93644723973354
Cohab UR10,9100697.345,284430.969,2015,nov,67.23920676466354
Cohab TrÃªs Carneiros,9101176.409,284411.063,2015,nov,79.40046123253153
Cohab UR2,9101678.284,284448.852,2015,nov,57.26724775643932
Cohab UR3,9102297.398,284375.691,2015,nov,57.84402753530487
Cohab Monte Verde,9102393.38,283809.922,2015,nov,67.85650799338725
UR1,9101905.325,285328.723,2015,nov,62.47173675378726
