bairro,latitude,longitude,ano,mes,umidade
Santo AntÃ´nio,9108146.872,292305.893,2011,out,92.6405056579692
SÃ£o JosÃ©,9106966.415,291028.633,2011,out,88.17358120391671
Recife Antigo,9109085.741,292919.623,2011,out,95.07817790696384
Cabanga,9106406.495,290656.46,2011,out,89.45713447177377
Coelhos,9107760.014,291308.772,2011,out,94.77709562728296
Ilha do Leite,9107978.96,291077.482,2011,out,89.44358605147247
PaissandÃº,9108194.842,290416.08,2011,out,87.1246848880366
Ilha Joana Bezerra,9107310.114,290425.748,2011,out,93.31008758391694
Boa Vista,9109077.387,290876.732,2011,out,86.68834705384565
Soledade,9108960.796,291276.183,2011,out,88.43877523071214
Santo Amaro,9109946.116,291880.247,2011,out,91.72252803090656
Dois Unidos,9115506.345,288388.799,2011,out,94.06053633897068
Beberibe,9114586.482,290525.705,2011,out,90.7716033572393
Linha do Tiro,9114233.62,289504.946,2011,out,95.2871770410045
Ãgua Fria (Plana),9113172.84,291071.501,2011,out,92.40078549687372
Ãgua Fria (Alta),9113472.429,290156.813,2011,out,93.73741897773206
Porto da Madeira,9114404.262,291240.722,2011,out,91.95857496824244
Cajueiro,9113978.874,291787.251,2011,out,91.90077675593288
Campina do Barreto,9113360.156,292045.138,2011,out,92.83917314198958
Peixinhos,9113079.242,292663.795,2011,out,92.4532452571828
Arruda,9112577.585,290778.65,2011,out,88.46866258841982
Encruzilhada,9111342.984,291147.432,2011,out,93.21811964809751
Ponto de Parada,9111944.964,291203.258,2011,out,90.4512324296184
FundÃ£o,9113692.115,291141.885,2011,out,92.29488976990112
HipÃ³dromo,9111681.871,291492.858,2011,out,89.97355176728242
Rosarinho,9111613.61,290381.157,2011,out,90.53095158866846
TorreÃ£o,9110784.651,292131.119,2011,out,92.0757267593588
Campo Grande,9111851.014,291827.584,2011,out,92.1201928141666
Alto Santa Terezinha,9113598.2,289883.467,2011,out,88.0188535192451
Bomba do HemetÃ©rio,9112880.579,289851.021,2011,out,91.72059262878986
Derby,9108891.462,290104.934,2011,out,90.15683669377296
GraÃ§as,9110255.798,289708.079,2011,out,91.68199190671407
Espinheiro,9110331.328,291132.224,2011,out,91.20991376181377
Aflitos,9110761.843,290578.478,2011,out,91.43376193802094
Jaqueira,9111017.043,289466.588,2011,out,92.76989618463686
Tamarineira,9111760.594,289914.716,2011,out,86.880566650129
Santana,9110759.51,288467.83,2011,out,89.4648348024138
Parnamirim,9111469.017,288892.196,2011,out,94.30496712137165
Casa Forte,9111477.721,288043.907,2011,out,93.35748839050828
PoÃ§o da Panela,9111288.519,287134.705,2011,out,90.05224023786167
Casa Amarela,9112326.465,287770.32,2011,out,91.74981729005567
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2011,out,87.07393468491176
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2011,out,92.42359536521454
Alto JosÃ© do Pinho,9112751.629,289283.565,2011,out,93.55973350253358
Vasco da Gama,9113922.665,287550.762,2011,out,92.73313319587302
Monteiro,9112251.966,286935.676,2011,out,93.28248102807888
Apipucos,9113185.175,285711.387,2011,out,95.53557310148707
Alto do MandÃº,9112720.118,286967.594,2011,out,93.0286267792654
SÃ­tio dos Pintos,9113652.981,283248.377,2011,out,89.17771386531422
CÃ³rrego do Jenipapo,9114931.748,285628.687,2011,out,91.61419249240468
Dois IrmÃ£os,9114316.891,283046.585,2011,out,90.94781758287984
Macaxeira,9113929.124,286266.928,2011,out,86.14540401909842
Nova Descoberta,9114374.078,285455.447,2011,out,94.56094820369808
Brejo de Beberibe,9115426.776,287368.207,2011,out,90.19490428738403
Guabiraba,9118925.116,280472.66,2011,out,93.93150594691512
Brejo de Guabiraba,9116011.252,286470.068,2011,out,92.47484369485365
Passarinho,9117604.478,286529.856,2011,out,90.8813553679782
Mangabeira,9112583.36,290041.311,2011,out,89.1868576760376
VÃ¡rzea Baixo,9112566.575,286421.591,2011,out,91.6072565629774
VÃ¡rzea UR7,9111147.548,281788.536,2011,out,93.33268720896449
CaxangÃ¡,9112046.853,283641.068,2011,out,94.75024340468607
Iputinga,9111218.811,284743.585,2011,out,93.02586863595364
Engenho do Meio,9108934.504,284977.522,2011,out,92.46408493878307
TorrÃµes,9108474.182,285633.242,2011,out,93.42327865196764
Cordeiro,9109569.979,286498.08,2011,out,90.22729584539223
Zumbi,9109369.482,288172.472,2011,out,89.01153077365453
Torre,9110457.305,288948.15,2011,out,92.46288377115172
Prado,9108489.273,288218.34,2011,out,89.4648406529937
Madalena,9109260.52,288708.035,2011,out,95.77900569579516
Ilha do Retiro,9108073.724,289620.413,2011,out,89.30850096381795
VÃ¡rzea Brasilit,9110245.917,284310.527,2011,out,94.14421748698533
Cidade UniversitÃ¡ria,9109225.991,284041.371,2011,out,88.56813015088598
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2011,out,90.70946612643614
Afogados (Marrom GlacÃª),9106094.768,289066.699,2011,out,90.1808210293815
Afogados,9106757.379,287276.756,2011,out,94.81506018299002
Bongi,9108001.134,287967.704,2011,out,92.75754132391884
San Martin,9107597.587,286249.826,2011,out,91.7748949258591
Mustardinha,9107309.05,288019.099,2011,out,91.52552511232103
Mangueira,9106752.433,287877.617,2011,out,95.69154772151684
EstÃ¢ncia,9105779.586,286336.174,2011,out,94.09285427750088
JiquiÃ¡,9105785.996,286821.099,2011,out,90.7504889675925
CaÃ§ote,9104102.268,286696.977,2011,out,91.6454481155108
Areias,9104721.352,286348.888,2011,out,93.4440304432344
TejipiÃ³,9105212.347,283469.404,2011,out,90.7971889026761
Sancho,9105806.562,283345.513,2011,out,91.4133796195726
Barro,9104276.244,283228.614,2011,out,94.61583674057592
Coqueiral,9105579.969,282521.737,2011,out,88.8252131033087
Curado,9107299.958,282026.143,2011,out,91.79928914460984
TotÃ³,9106028.466,282845.232,2011,out,91.96118460346334
Jardim SÃ£o Paulo,9106091.212,284789.366,2011,out,90.63496323345692
BrasÃ­lia Teimosa,9105867.58,291910.581,2011,out,90.72541322481644
Pina,9104526.606,289352.098,2011,out,92.0605850806209
Imbiribeira,9103325.289,287372.583,2011,out,91.10610082981944
Boa Viagem,9101159.587,286709.856,2011,out,93.31818941485692
Ipsep,9103041.538,287270.038,2011,out,88.33721293979205
Ibura,9102102.397,285143.988,2011,out,95.4272567270718
Ibura Vila do Sesi,9103077.514,286055.398,2011,out,93.26092796981273
Ibura Parque,9103162.275,285659.265,2011,out,94.04009435279902
JordÃ£o,9100101.151,286086.751,2011,out,90.130819376572
Cohab UR5,9100700.205,285154.725,2011,out,91.75303603587322
Cohab UR4,9100700.825,285154.722,2011,out,91.80283066262518
Cohab UR10,9100697.345,284430.969,2011,out,89.11543694257925
Cohab TrÃªs Carneiros,9101176.409,284411.063,2011,out,94.18616631837128
Cohab UR2,9101678.284,284448.852,2011,out,93.83754896192023
Cohab UR3,9102297.398,284375.691,2011,out,92.78892176553224
Cohab Monte Verde,9102393.38,283809.922,2011,out,91.53887552488818
UR1,9101905.325,285328.723,2011,out,92.1666287608795
