bairro,latitude,longitude,ano,mes,umidade
Santo AntÃ´nio,9108146.872,292305.893,2017,set,76.72925014275957
SÃ£o JosÃ©,9106966.415,291028.633,2017,set,78.11718323155398
Recife Antigo,9109085.741,292919.623,2017,set,72.75225925116682
Cabanga,9106406.495,290656.46,2017,set,73.7278689404447
Coelhos,9107760.014,291308.772,2017,set,85.14955941940674
Ilha do Leite,9107978.96,291077.482,2017,set,76.06659996155238
PaissandÃº,9108194.842,290416.08,2017,set,69.89339555863404
Ilha Joana Bezerra,9107310.114,290425.748,2017,set,75.39650970916213
Boa Vista,9109077.387,290876.732,2017,set,71.26285269234901
Soledade,9108960.796,291276.183,2017,set,78.85193770736664
Santo Amaro,9109946.116,291880.247,2017,set,80.33580601429847
Dois Unidos,9115506.345,288388.799,2017,set,76.87501116756728
Beberibe,9114586.482,290525.705,2017,set,72.22318820506715
Linha do Tiro,9114233.62,289504.946,2017,set,70.98151685091342
Ãgua Fria (Plana),9113172.84,291071.501,2017,set,77.63216257493363
Ãgua Fria (Alta),9113472.429,290156.813,2017,set,67.48111542269561
Porto da Madeira,9114404.262,291240.722,2017,set,75.16259321867287
Cajueiro,9113978.874,291787.251,2017,set,79.883775917517
Campina do Barreto,9113360.156,292045.138,2017,set,72.75091044293983
Peixinhos,9113079.242,292663.795,2017,set,77.55483800211702
Arruda,9112577.585,290778.65,2017,set,86.10737900716991
Encruzilhada,9111342.984,291147.432,2017,set,73.07966607082459
Ponto de Parada,9111944.964,291203.258,2017,set,78.4339914543578
FundÃ£o,9113692.115,291141.885,2017,set,77.06696321310439
HipÃ³dromo,9111681.871,291492.858,2017,set,76.89607897105101
Rosarinho,9111613.61,290381.157,2017,set,80.93208750122088
TorreÃ£o,9110784.651,292131.119,2017,set,70.02525777405413
Campo Grande,9111851.014,291827.584,2017,set,71.98573492539985
Alto Santa Terezinha,9113598.2,289883.467,2017,set,78.8438260184928
Bomba do HemetÃ©rio,9112880.579,289851.021,2017,set,73.08437234708875
Derby,9108891.462,290104.934,2017,set,73.02295537809935
GraÃ§as,9110255.798,289708.079,2017,set,68.34345559852979
Espinheiro,9110331.328,291132.224,2017,set,71.5480362051437
Aflitos,9110761.843,290578.478,2017,set,76.37912360848246
Jaqueira,9111017.043,289466.588,2017,set,70.5300902035679
Tamarineira,9111760.594,289914.716,2017,set,79.38734171607949
Santana,9110759.51,288467.83,2017,set,77.1564187919608
Parnamirim,9111469.017,288892.196,2017,set,68.18335957565509
Casa Forte,9111477.721,288043.907,2017,set,70.58104285655884
PoÃ§o da Panela,9111288.519,287134.705,2017,set,70.83594042334558
Casa Amarela,9112326.465,287770.32,2017,set,78.00460074288537
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2017,set,80.68077333313484
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2017,set,75.22693521390117
Alto JosÃ© do Pinho,9112751.629,289283.565,2017,set,75.28526309302939
Vasco da Gama,9113922.665,287550.762,2017,set,75.2312566778626
Monteiro,9112251.966,286935.676,2017,set,68.36927871258374
Apipucos,9113185.175,285711.387,2017,set,71.34070197380292
Alto do MandÃº,9112720.118,286967.594,2017,set,80.1577458697469
SÃ­tio dos Pintos,9113652.981,283248.377,2017,set,76.44298355315716
CÃ³rrego do Jenipapo,9114931.748,285628.687,2017,set,78.73236075710706
Dois IrmÃ£os,9114316.891,283046.585,2017,set,80.04782352026291
Macaxeira,9113929.124,286266.928,2017,set,77.03089428129276
Nova Descoberta,9114374.078,285455.447,2017,set,74.40104719582435
Brejo de Beberibe,9115426.776,287368.207,2017,set,77.68004128172545
Guabiraba,9118925.116,280472.66,2017,set,78.79103368751512
Brejo de Guabiraba,9116011.252,286470.068,2017,set,80.11368345584096
Passarinho,9117604.478,286529.856,2017,set,81.68389315420254
Mangabeira,9112583.36,290041.311,2017,set,81.76337146191139
VÃ¡rzea Baixo,9112566.575,286421.591,2017,set,71.55594349811469
VÃ¡rzea UR7,9111147.548,281788.536,2017,set,78.10159085224392
CaxangÃ¡,9112046.853,283641.068,2017,set,74.39577807420498
Iputinga,9111218.811,284743.585,2017,set,68.99732579357308
Engenho do Meio,9108934.504,284977.522,2017,set,81.54379937536798
TorrÃµes,9108474.182,285633.242,2017,set,78.3977272567348
Cordeiro,9109569.979,286498.08,2017,set,77.5218363292915
Zumbi,9109369.482,288172.472,2017,set,75.06416754167378
Torre,9110457.305,288948.15,2017,set,67.61195850685283
Prado,9108489.273,288218.34,2017,set,74.9307537958093
Madalena,9109260.52,288708.035,2017,set,70.30987578994748
