bairro,latitude,longitude,ano,mes,vento
Santo AntÃ´nio,9108146.872,292305.893,2014,abr,0.9928210633651072
SÃ£o JosÃ©,9106966.415,291028.633,2014,abr,3.0765160145067947
Recife Antigo,9109085.741,292919.623,2014,abr,1.8588588476261576
Cabanga,9106406.495,290656.46,2014,abr,0.1910417713372627
Coelhos,9107760.014,291308.772,2014,abr,2.4211635645917244
Ilha do Leite,9107978.96,291077.482,2014,abr,1.505248248090067
PaissandÃº,9108194.842,290416.08,2014,abr,2.3300057207260547
Ilha Joana Bezerra,9107310.114,290425.748,2014,abr,2.106716681184399
Boa Vista,9109077.387,290876.732,2014,abr,1.3665416292126589
Soledade,9108960.796,291276.183,2014,abr,1.5290160767848189
Santo Amaro,9109946.116,291880.247,2014,abr,2.269664500100592
Dois Unidos,9115506.345,288388.799,2014,abr,1.2525502247802958
Beberibe,9114586.482,290525.705,2014,abr,2.5698729670636524
Linha do Tiro,9114233.62,289504.946,2014,abr,4.725097939340806
Ãgua Fria (Plana),9113172.84,291071.501,2014,abr,2.0051648604632053
Ãgua Fria (Alta),9113472.429,290156.813,2014,abr,3.5548356030266834
Porto da Madeira,9114404.262,291240.722,2014,abr,1.1067081550445954
Cajueiro,9113978.874,291787.251,2014,abr,4.895345593539466
Campina do Barreto,9113360.156,292045.138,2014,abr,1.7063935567862534
Peixinhos,9113079.242,292663.795,2014,abr,2.7395643551076123
Arruda,9112577.585,290778.65,2014,abr,2.8468730839136054
Encruzilhada,9111342.984,291147.432,2014,abr,1.4572041761570464
Ponto de Parada,9111944.964,291203.258,2014,abr,3.4777320155240523
FundÃ£o,9113692.115,291141.885,2014,abr,1.0301793162078754
HipÃ³dromo,9111681.871,291492.858,2014,abr,2.273079837296987
Rosarinho,9111613.61,290381.157,2014,abr,3.5473798638705865
TorreÃ£o,9110784.651,292131.119,2014,abr,1.4648554259317592
Campo Grande,9111851.014,291827.584,2014,abr,2.445710395745183
Alto Santa Terezinha,9113598.2,289883.467,2014,abr,4.167166638059538
