bairro,latitude,longitude,ano,mes,vento
Santo AntÃ´nio,9108146.872,292305.893,2009,ago,0.0316363923865203
SÃ£o JosÃ©,9106966.415,291028.633,2009,ago,3.875850499462546
Recife Antigo,9109085.741,292919.623,2009,ago,1.9575817206688424
Cabanga,9106406.495,290656.46,2009,ago,1.3753736142952184
Coelhos,9107760.014,291308.772,2009,ago,5.106668720227485
Ilha do Leite,9107978.96,291077.482,2009,ago,0.2816403003645824
PaissandÃº,9108194.842,290416.08,2009,ago,1.179121877218786
Ilha Joana Bezerra,9107310.114,290425.748,2009,ago,1.1273256480921925
Boa Vista,9109077.387,290876.732,2009,ago,1.9077644377528409
Soledade,9108960.796,291276.183,2009,ago,2.46661134547917
Santo Amaro,9109946.116,291880.247,2009,ago,1.3203591659145526
Dois Unidos,9115506.345,288388.799,2009,ago,0.7191714329584679
Beberibe,9114586.482,290525.705,2009,ago,1.6635279206843114
Linha do Tiro,9114233.62,289504.946,2009,ago,0.3887276740384884
Ãgua Fria (Plana),9113172.84,291071.501,2009,ago,4.518521998318235
Ãgua Fria (Alta),9113472.429,290156.813,2009,ago,0.2686278966081583
Porto da Madeira,9114404.262,291240.722,2009,ago,1.170021114654777
Cajueiro,9113978.874,291787.251,2009,ago,1.6297212853627203
Campina do Barreto,9113360.156,292045.138,2009,ago,1.777857702062153
Peixinhos,9113079.242,292663.795,2009,ago,0.2521062144934545
Arruda,9112577.585,290778.65,2009,ago,3.050979953508944
Encruzilhada,9111342.984,291147.432,2009,ago,2.246669472632305
Ponto de Parada,9111944.964,291203.258,2009,ago,3.123537016829749
FundÃ£o,9113692.115,291141.885,2009,ago,2.55564276434985
HipÃ³dromo,9111681.871,291492.858,2009,ago,2.512880347757898
Rosarinho,9111613.61,290381.157,2009,ago,4.935435802361862
TorreÃ£o,9110784.651,292131.119,2009,ago,0.2036749168254097
Campo Grande,9111851.014,291827.584,2009,ago,0.2247343558819787
Alto Santa Terezinha,9113598.2,289883.467,2009,ago,1.1969118966744126
Bomba do HemetÃ©rio,9112880.579,289851.021,2009,ago,0.2451359919526288
Derby,9108891.462,290104.934,2009,ago,2.7597981504516023
GraÃ§as,9110255.798,289708.079,2009,ago,2.0698460385168302
Espinheiro,9110331.328,291132.224,2009,ago,1.594391794137057
Aflitos,9110761.843,290578.478,2009,ago,1.1202280399323867
Jaqueira,9111017.043,289466.588,2009,ago,1.1804746346703572
Tamarineira,9111760.594,289914.716,2009,ago,2.8443483519441424
Santana,9110759.51,288467.83,2009,ago,1.6334925854456468
Parnamirim,9111469.017,288892.196,2009,ago,1.2781307094948229
Casa Forte,9111477.721,288043.907,2009,ago,1.8684376661064983
PoÃ§o da Panela,9111288.519,287134.705,2009,ago,4.41308265105196
Casa Amarela,9112326.465,287770.32,2009,ago,2.436002274808551
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2009,ago,2.142762743324964
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2009,ago,0.1789446371814453
Alto JosÃ© do Pinho,9112751.629,289283.565,2009,ago,2.9467861725690483
Vasco da Gama,9113922.665,287550.762,2009,ago,0.358535977465992
Monteiro,9112251.966,286935.676,2009,ago,1.2686055244551435
Apipucos,9113185.175,285711.387,2009,ago,0.7731785987650179
Alto do MandÃº,9112720.118,286967.594,2009,ago,2.571698674383449
SÃ­tio dos Pintos,9113652.981,283248.377,2009,ago,4.071671772829131
CÃ³rrego do Jenipapo,9114931.748,285628.687,2009,ago,3.164810531026004
Dois IrmÃ£os,9114316.891,283046.585,2009,ago,1.1728809215994287
Macaxeira,9113929.124,286266.928,2009,ago,2.292120071606948
Nova Descoberta,9114374.078,285455.447,2009,ago,3.702375614771952
Brejo de Beberibe,9115426.776,287368.207,2009,ago,2.724195259089551
Guabiraba,9118925.116,280472.66,2009,ago,1.7268000131517467
Brejo de Guabiraba,9116011.252,286470.068,2009,ago,1.148700265285281
Passarinho,9117604.478,286529.856,2009,ago,2.15052571114508
Mangabeira,9112583.36,290041.311,2009,ago,2.511148759444741
VÃ¡rzea Baixo,9112566.575,286421.591,2009,ago,1.4463093099695803
VÃ¡rzea UR7,9111147.548,281788.536,2009,ago,1.2848036106835068
CaxangÃ¡,9112046.853,283641.068,2009,ago,2.412600909241018
Iputinga,9111218.811,284743.585,2009,ago,2.235896621487776
Engenho do Meio,9108934.504,284977.522,2009,ago,3.000420650757444
TorrÃµes,9108474.182,285633.242,2009,ago,1.223691384580813
Cordeiro,9109569.979,286498.08,2009,ago,2.5518441356665797
Zumbi,9109369.482,288172.472,2009,ago,0.2428255244205348
Torre,9110457.305,288948.15,2009,ago,0.4433396029291656
Prado,9108489.273,288218.34,2009,ago,4.183625578051405
Madalena,9109260.52,288708.035,2009,ago,2.036655781998453
Ilha do Retiro,9108073.724,289620.413,2009,ago,2.513665521395656
VÃ¡rzea Brasilit,9110245.917,284310.527,2009,ago,1.1002306684858154
Cidade UniversitÃ¡ria,9109225.991,284041.371,2009,ago,0.5334377378925694
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2009,ago,0.0045215428073821
Afogados (Marrom GlacÃª),9106094.768,289066.699,2009,ago,2.169143924332229
Afogados,9106757.379,287276.756,2009,ago,2.202838386185888
Bongi,9108001.134,287967.704,2009,ago,0.2130021733259062
San Martin,9107597.587,286249.826,2009,ago,3.03783652204177
Mustardinha,9107309.05,288019.099,2009,ago,3.1486488683857186
Mangueira,9106752.433,287877.617,2009,ago,3.2120256971983148
EstÃ¢ncia,9105779.586,286336.174,2009,ago,4.1421509668723
