bairro,latitude,longitude,ano,mes,vento
Santo AntÃ´nio,9108146.872,292305.893,2015,dez,0.8472640230296907
SÃ£o JosÃ©,9106966.415,291028.633,2015,dez,4.2742199117413815
Recife Antigo,9109085.741,292919.623,2015,dez,2.015002863350848
Cabanga,9106406.495,290656.46,2015,dez,2.1273032924786786
Coelhos,9107760.014,291308.772,2015,dez,0.1695319769854908
Ilha do Leite,9107978.96,291077.482,2015,dez,0.7307436870898054
PaissandÃº,9108194.842,290416.08,2015,dez,0.4807799864709645
Ilha Joana Bezerra,9107310.114,290425.748,2015,dez,0.0012270222549706
Boa Vista,9109077.387,290876.732,2015,dez,1.0668601778689446
Soledade,9108960.796,291276.183,2015,dez,1.916399441977145
Santo Amaro,9109946.116,291880.247,2015,dez,0.5606100811338168
Dois Unidos,9115506.345,288388.799,2015,dez,0.0056525224459982
Beberibe,9114586.482,290525.705,2015,dez,3.5735344607503183
Linha do Tiro,9114233.62,289504.946,2015,dez,0.9351709335047308
Ãgua Fria (Plana),9113172.84,291071.501,2015,dez,4.1915539875399945
Ãgua Fria (Alta),9113472.429,290156.813,2015,dez,1.1996965489169724
Porto da Madeira,9114404.262,291240.722,2015,dez,1.4244658059229054
Cajueiro,9113978.874,291787.251,2015,dez,4.372616966231578
Campina do Barreto,9113360.156,292045.138,2015,dez,3.107260762112806
Peixinhos,9113079.242,292663.795,2015,dez,0.430320731402108
Arruda,9112577.585,290778.65,2015,dez,3.906483160377231
Encruzilhada,9111342.984,291147.432,2015,dez,0.3672745153524195
Ponto de Parada,9111944.964,291203.258,2015,dez,0.6200117119796784
FundÃ£o,9113692.115,291141.885,2015,dez,1.603101487186671
HipÃ³dromo,9111681.871,291492.858,2015,dez,1.2720997613787606
Rosarinho,9111613.61,290381.157,2015,dez,2.556959435580656
TorreÃ£o,9110784.651,292131.119,2015,dez,1.138208014057884
Campo Grande,9111851.014,291827.584,2015,dez,1.08082496549405
Alto Santa Terezinha,9113598.2,289883.467,2015,dez,1.0729906927442323
Bomba do HemetÃ©rio,9112880.579,289851.021,2015,dez,0.1519109643479059
Derby,9108891.462,290104.934,2015,dez,2.671797350224801
GraÃ§as,9110255.798,289708.079,2015,dez,0.3305092141661723
Espinheiro,9110331.328,291132.224,2015,dez,0.6875598543337382
Aflitos,9110761.843,290578.478,2015,dez,4.4360779708076485
Jaqueira,9111017.043,289466.588,2015,dez,2.8478576578327006
Tamarineira,9111760.594,289914.716,2015,dez,5.016857607786662
Santana,9110759.51,288467.83,2015,dez,2.896045907095566
Parnamirim,9111469.017,288892.196,2015,dez,2.2542626762910327
Casa Forte,9111477.721,288043.907,2015,dez,0.8099330692869123
PoÃ§o da Panela,9111288.519,287134.705,2015,dez,0.8343088163366781
Casa Amarela,9112326.465,287770.32,2015,dez,1.0792787327832962
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2015,dez,2.66685912243797
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2015,dez,0.6390403548025516
Alto JosÃ© do Pinho,9112751.629,289283.565,2015,dez,1.6365383438289234
Vasco da Gama,9113922.665,287550.762,2015,dez,2.4306247868750543
Monteiro,9112251.966,286935.676,2015,dez,1.879266103102592
Apipucos,9113185.175,285711.387,2015,dez,3.7638363784242914
Alto do MandÃº,9112720.118,286967.594,2015,dez,1.602781172746624
SÃ­tio dos Pintos,9113652.981,283248.377,2015,dez,4.671548772842462
CÃ³rrego do Jenipapo,9114931.748,285628.687,2015,dez,1.789337076369231
Dois IrmÃ£os,9114316.891,283046.585,2015,dez,1.3316872742019994
Macaxeira,9113929.124,286266.928,2015,dez,2.6956451869701823
Nova Descoberta,9114374.078,285455.447,2015,dez,0.9221783818285614
