bairro,latitude,longitude,ano,mes,vento
Santo AntÃ´nio,9108146.872,292305.893,2014,fev,0.6734364054039902
SÃ£o JosÃ©,9106966.415,291028.633,2014,fev,0.9382097484850358
Recife Antigo,9109085.741,292919.623,2014,fev,0.430368703081217
Cabanga,9106406.495,290656.46,2014,fev,1.6480902712080212
Coelhos,9107760.014,291308.772,2014,fev,1.881135332027167
Ilha do Leite,9107978.96,291077.482,2014,fev,1.5905338056692608
PaissandÃº,9108194.842,290416.08,2014,fev,0.7459577536990937
Ilha Joana Bezerra,9107310.114,290425.748,2014,fev,1.7712897775240657
Boa Vista,9109077.387,290876.732,2014,fev,0.7994043675219005
Soledade,9108960.796,291276.183,2014,fev,0.832362749020139
Santo Amaro,9109946.116,291880.247,2014,fev,2.1342099013736093
Dois Unidos,9115506.345,288388.799,2014,fev,3.753923400196871
Beberibe,9114586.482,290525.705,2014,fev,0.5111146678088068
Linha do Tiro,9114233.62,289504.946,2014,fev,1.6955640600031503
Ãgua Fria (Plana),9113172.84,291071.501,2014,fev,2.305835412209922
Ãgua Fria (Alta),9113472.429,290156.813,2014,fev,1.4842710789229543
Porto da Madeira,9114404.262,291240.722,2014,fev,0.3749044105796271
Cajueiro,9113978.874,291787.251,2014,fev,0.1774696274677869
Campina do Barreto,9113360.156,292045.138,2014,fev,1.6939087661023406
Peixinhos,9113079.242,292663.795,2014,fev,0.7744138594394946
Arruda,9112577.585,290778.65,2014,fev,1.0416375935374576
Encruzilhada,9111342.984,291147.432,2014,fev,0.1573174986168874
Ponto de Parada,9111944.964,291203.258,2014,fev,0.8000739728831328
FundÃ£o,9113692.115,291141.885,2014,fev,2.137155607592885
HipÃ³dromo,9111681.871,291492.858,2014,fev,1.0742284782156204
Rosarinho,9111613.61,290381.157,2014,fev,2.8732721734176545
TorreÃ£o,9110784.651,292131.119,2014,fev,0.6409507079569243
Campo Grande,9111851.014,291827.584,2014,fev,1.1822161559098314
Alto Santa Terezinha,9113598.2,289883.467,2014,fev,0.2095861210266194
Bomba do HemetÃ©rio,9112880.579,289851.021,2014,fev,3.44686127599906
Derby,9108891.462,290104.934,2014,fev,3.080670677018892
GraÃ§as,9110255.798,289708.079,2014,fev,3.418826020927032
Espinheiro,9110331.328,291132.224,2014,fev,2.0458793149868497
Aflitos,9110761.843,290578.478,2014,fev,3.9058914445317474
Jaqueira,9111017.043,289466.588,2014,fev,3.390779579787094
Tamarineira,9111760.594,289914.716,2014,fev,2.3672268730838653
Santana,9110759.51,288467.83,2014,fev,1.2479639066471042
Parnamirim,9111469.017,288892.196,2014,fev,4.383015361099153
Casa Forte,9111477.721,288043.907,2014,fev,1.5986835512400674
PoÃ§o da Panela,9111288.519,287134.705,2014,fev,1.5585359231588551
Casa Amarela,9112326.465,287770.32,2014,fev,1.9843118223395693
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2014,fev,1.442393502722666
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2014,fev,2.3525505031498803
Alto JosÃ© do Pinho,9112751.629,289283.565,2014,fev,2.722829008299545
Vasco da Gama,9113922.665,287550.762,2014,fev,2.49070624750771
Monteiro,9112251.966,286935.676,2014,fev,3.996542939691441
Apipucos,9113185.175,285711.387,2014,fev,2.815382814806401
Alto do MandÃº,9112720.118,286967.594,2014,fev,3.140724037983065
SÃ­tio dos Pintos,9113652.981,283248.377,2014,fev,5.133505452660916
CÃ³rrego do Jenipapo,9114931.748,285628.687,2014,fev,0.2294360230591032
Dois IrmÃ£os,9114316.891,283046.585,2014,fev,3.1117872115156406
Macaxeira,9113929.124,286266.928,2014,fev,4.468024276660914
Nova Descoberta,9114374.078,285455.447,2014,fev,3.728879043950621
Brejo de Beberibe,9115426.776,287368.207,2014,fev,1.314513225521097
Guabiraba,9118925.116,280472.66,2014,fev,1.61400639954535
Brejo de Guabiraba,9116011.252,286470.068,2014,fev,0.3683127247898881
Passarinho,9117604.478,286529.856,2014,fev,0.2514040773489217
Mangabeira,9112583.36,290041.311,2014,fev,0.7436940099458274
VÃ¡rzea Baixo,9112566.575,286421.591,2014,fev,2.009454281120217
VÃ¡rzea UR7,9111147.548,281788.536,2014,fev,1.982157407268493
CaxangÃ¡,9112046.853,283641.068,2014,fev,1.085595609749716
Iputinga,9111218.811,284743.585,2014,fev,2.0286146530734563
Engenho do Meio,9108934.504,284977.522,2014,fev,0.7585586386576816
TorrÃµes,9108474.182,285633.242,2014,fev,0.2561749534380448
Cordeiro,9109569.979,286498.08,2014,fev,2.1713797113342603
Zumbi,9109369.482,288172.472,2014,fev,1.1082219546978975
Torre,9110457.305,288948.15,2014,fev,1.0762717693586157
Prado,9108489.273,288218.34,2014,fev,1.8259679525174335
Madalena,9109260.52,288708.035,2014,fev,0.2508859163546459
Ilha do Retiro,9108073.724,289620.413,2014,fev,0.6849052229739879
VÃ¡rzea Brasilit,9110245.917,284310.527,2014,fev,0.8704773567614285
Cidade UniversitÃ¡ria,9109225.991,284041.371,2014,fev,1.086243559512543
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2014,fev,0.9418143250224008
Afogados (Marrom GlacÃª),9106094.768,289066.699,2014,fev,2.982327028085472
Afogados,9106757.379,287276.756,2014,fev,1.2612224218978163
Bongi,9108001.134,287967.704,2014,fev,2.652334319914359
San Martin,9107597.587,286249.826,2014,fev,1.006525711990678
Mustardinha,9107309.05,288019.099,2014,fev,2.806426261361275
Mangueira,9106752.433,287877.617,2014,fev,1.955188167266508
EstÃ¢ncia,9105779.586,286336.174,2014,fev,1.815577369555493
JiquiÃ¡,9105785.996,286821.099,2014,fev,3.110416974774997
CaÃ§ote,9104102.268,286696.977,2014,fev,0.2943670444035644
