bairro,latitude,longitude,ano,mes,vento
Santo AntÃ´nio,9108146.872,292305.893,2010,jan,1.4776270485262342
SÃ£o JosÃ©,9106966.415,291028.633,2010,jan,2.2359779077822624
Recife Antigo,9109085.741,292919.623,2010,jan,2.136771792771855
Cabanga,9106406.495,290656.46,2010,jan,2.403533230533756
Coelhos,9107760.014,291308.772,2010,jan,0.6947202576732756
Ilha do Leite,9107978.96,291077.482,2010,jan,2.0388225335571715
PaissandÃº,9108194.842,290416.08,2010,jan,4.222265039088654
Ilha Joana Bezerra,9107310.114,290425.748,2010,jan,0.75571207535071
Boa Vista,9109077.387,290876.732,2010,jan,0.758285004667133
Soledade,9108960.796,291276.183,2010,jan,1.7729630885442955
Santo Amaro,9109946.116,291880.247,2010,jan,0.2227106461241803
Dois Unidos,9115506.345,288388.799,2010,jan,0.1994665411896534
Beberibe,9114586.482,290525.705,2010,jan,1.79933262806431
Linha do Tiro,9114233.62,289504.946,2010,jan,5.081888233694177
Ãgua Fria (Plana),9113172.84,291071.501,2010,jan,2.7018945538074366
Ãgua Fria (Alta),9113472.429,290156.813,2010,jan,1.0236526387606848
Porto da Madeira,9114404.262,291240.722,2010,jan,0.448171095789083
Cajueiro,9113978.874,291787.251,2010,jan,0.6425252120718474
Campina do Barreto,9113360.156,292045.138,2010,jan,1.8100423873534368
Peixinhos,9113079.242,292663.795,2010,jan,2.082033394405693
Arruda,9112577.585,290778.65,2010,jan,1.6650968157075932
Encruzilhada,9111342.984,291147.432,2010,jan,0.3611463356061457
Ponto de Parada,9111944.964,291203.258,2010,jan,2.4079951706464837
FundÃ£o,9113692.115,291141.885,2010,jan,2.4959021668047083
HipÃ³dromo,9111681.871,291492.858,2010,jan,1.1598671039528248
Rosarinho,9111613.61,290381.157,2010,jan,0.9527271016519416
TorreÃ£o,9110784.651,292131.119,2010,jan,3.2824988723355
Campo Grande,9111851.014,291827.584,2010,jan,2.8807621766701117
Alto Santa Terezinha,9113598.2,289883.467,2010,jan,2.306925459970191
Bomba do HemetÃ©rio,9112880.579,289851.021,2010,jan,3.08907919065095
Derby,9108891.462,290104.934,2010,jan,2.68429441206772
GraÃ§as,9110255.798,289708.079,2010,jan,0.497562149134384
Espinheiro,9110331.328,291132.224,2010,jan,3.2587163553015315
Aflitos,9110761.843,290578.478,2010,jan,1.0389098545595117
Jaqueira,9111017.043,289466.588,2010,jan,0.0025825547426534
Tamarineira,9111760.594,289914.716,2010,jan,1.268235507670327
Santana,9110759.51,288467.83,2010,jan,1.0998896224239365
Parnamirim,9111469.017,288892.196,2010,jan,2.865523319091856
Casa Forte,9111477.721,288043.907,2010,jan,2.678375965783148
PoÃ§o da Panela,9111288.519,287134.705,2010,jan,0.6840082198891146
Casa Amarela,9112326.465,287770.32,2010,jan,3.640846073998353
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2010,jan,1.7324722872476956
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2010,jan,0.0064082709249386
Alto JosÃ© do Pinho,9112751.629,289283.565,2010,jan,2.032269613947281
Vasco da Gama,9113922.665,287550.762,2010,jan,1.004245810431407
Monteiro,9112251.966,286935.676,2010,jan,2.999582843227917
Apipucos,9113185.175,285711.387,2010,jan,2.1783535286092186
Alto do MandÃº,9112720.118,286967.594,2010,jan,1.568181854538783
SÃ­tio dos Pintos,9113652.981,283248.377,2010,jan,1.1873385458029782
CÃ³rrego do Jenipapo,9114931.748,285628.687,2010,jan,0.2649394930863467
Dois IrmÃ£os,9114316.891,283046.585,2010,jan,1.6995747836564068
Macaxeira,9113929.124,286266.928,2010,jan,0.5674188632251858
Nova Descoberta,9114374.078,285455.447,2010,jan,1.9806351733839715
Brejo de Beberibe,9115426.776,287368.207,2010,jan,0.3751009766573285
Guabiraba,9118925.116,280472.66,2010,jan,1.2515509184200226
Brejo de Guabiraba,9116011.252,286470.068,2010,jan,1.6957725665554482
Passarinho,9117604.478,286529.856,2010,jan,0.3904739004266693
Mangabeira,9112583.36,290041.311,2010,jan,1.7683186084035851
VÃ¡rzea Baixo,9112566.575,286421.591,2010,jan,2.49878608672086
VÃ¡rzea UR7,9111147.548,281788.536,2010,jan,3.53150540638409
CaxangÃ¡,9112046.853,283641.068,2010,jan,3.0967905230912534
Iputinga,9111218.811,284743.585,2010,jan,2.591521891835537
Engenho do Meio,9108934.504,284977.522,2010,jan,1.1031686441865869
TorrÃµes,9108474.182,285633.242,2010,jan,3.045946791189036
Cordeiro,9109569.979,286498.08,2010,jan,0.2728077984187731
Zumbi,9109369.482,288172.472,2010,jan,4.155814796659053
Torre,9110457.305,288948.15,2010,jan,1.2880392994592655
Prado,9108489.273,288218.34,2010,jan,2.187738021623242
Madalena,9109260.52,288708.035,2010,jan,0.5167268216702845
Ilha do Retiro,9108073.724,289620.413,2010,jan,0.258302287432637
VÃ¡rzea Brasilit,9110245.917,284310.527,2010,jan,1.3335898995536726
