bairro,latitude,longitude,ano,mes,vento
Santo AntÃ´nio,9108146.872,292305.893,2013,jul,1.7076779984421926
SÃ£o JosÃ©,9106966.415,291028.633,2013,jul,0.9777363602621388
Recife Antigo,9109085.741,292919.623,2013,jul,2.647159661059403
Cabanga,9106406.495,290656.46,2013,jul,2.1019613855417334
Coelhos,9107760.014,291308.772,2013,jul,0.9915839616422032
Ilha do Leite,9107978.96,291077.482,2013,jul,1.3036934976809285
PaissandÃº,9108194.842,290416.08,2013,jul,1.6334442876935211
Ilha Joana Bezerra,9107310.114,290425.748,2013,jul,0.9515728458941836
Boa Vista,9109077.387,290876.732,2013,jul,0.1108046436963381
Soledade,9108960.796,291276.183,2013,jul,0.824238231479331
Santo Amaro,9109946.116,291880.247,2013,jul,2.062118239549987
Dois Unidos,9115506.345,288388.799,2013,jul,3.298218230127535
Beberibe,9114586.482,290525.705,2013,jul,2.684923371261075
Linha do Tiro,9114233.62,289504.946,2013,jul,0.8426857030196033
Ãgua Fria (Plana),9113172.84,291071.501,2013,jul,0.1421241772895665
Ãgua Fria (Alta),9113472.429,290156.813,2013,jul,3.810470657200949
Porto da Madeira,9114404.262,291240.722,2013,jul,0.8943395436824275
Cajueiro,9113978.874,291787.251,2013,jul,1.537505088658792
Campina do Barreto,9113360.156,292045.138,2013,jul,1.6896416813414046
Peixinhos,9113079.242,292663.795,2013,jul,2.130743911070622
Arruda,9112577.585,290778.65,2013,jul,0.5688397133951304
Encruzilhada,9111342.984,291147.432,2013,jul,1.4270333265220247
Ponto de Parada,9111944.964,291203.258,2013,jul,3.063288003171837
FundÃ£o,9113692.115,291141.885,2013,jul,0.9354669106653656
HipÃ³dromo,9111681.871,291492.858,2013,jul,1.4831930816410956
Rosarinho,9111613.61,290381.157,2013,jul,3.4875763715961394
TorreÃ£o,9110784.651,292131.119,2013,jul,1.0575168179060612
Campo Grande,9111851.014,291827.584,2013,jul,1.3503980593864786
Alto Santa Terezinha,9113598.2,289883.467,2013,jul,3.2405663307713355
Bomba do HemetÃ©rio,9112880.579,289851.021,2013,jul,4.161667830471299
Derby,9108891.462,290104.934,2013,jul,0.5456781895130798
GraÃ§as,9110255.798,289708.079,2013,jul,2.6621968257305
Espinheiro,9110331.328,291132.224,2013,jul,2.50833116730208
Aflitos,9110761.843,290578.478,2013,jul,2.8315828976224617
Jaqueira,9111017.043,289466.588,2013,jul,1.1510856882114644
Tamarineira,9111760.594,289914.716,2013,jul,0.3743985791196735
Santana,9110759.51,288467.83,2013,jul,1.1119493522753006
Parnamirim,9111469.017,288892.196,2013,jul,0.4977803970478686
Casa Forte,9111477.721,288043.907,2013,jul,1.1063085949354978
PoÃ§o da Panela,9111288.519,287134.705,2013,jul,1.0607011622465383
Casa Amarela,9112326.465,287770.32,2013,jul,1.2950035757075993
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2013,jul,2.925472122309829
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2013,jul,0.4527173616946252
Alto JosÃ© do Pinho,9112751.629,289283.565,2013,jul,1.1518497168070798
Vasco da Gama,9113922.665,287550.762,2013,jul,0.6768079709120477
Monteiro,9112251.966,286935.676,2013,jul,0.7760547690710201
