bairro,latitude,longitude,ano,mes,vento
Santo AntÃ´nio,9108146.872,292305.893,2014,jun,1.316521769359449
SÃ£o JosÃ©,9106966.415,291028.633,2014,jun,1.3856374025346687
Recife Antigo,9109085.741,292919.623,2014,jun,4.340005173431946
Cabanga,9106406.495,290656.46,2014,jun,3.749664793553659
Coelhos,9107760.014,291308.772,2014,jun,3.0070595727689278
Ilha do Leite,9107978.96,291077.482,2014,jun,0.308249125802319
PaissandÃº,9108194.842,290416.08,2014,jun,0.7150394858743324
Ilha Joana Bezerra,9107310.114,290425.748,2014,jun,0.0645299930537228
Boa Vista,9109077.387,290876.732,2014,jun,0.2010736874927787
Soledade,9108960.796,291276.183,2014,jun,3.2145650965345998
Santo Amaro,9109946.116,291880.247,2014,jun,2.150729031642157
Dois Unidos,9115506.345,288388.799,2014,jun,1.140544487634025
Beberibe,9114586.482,290525.705,2014,jun,0.3272328878581412
Linha do Tiro,9114233.62,289504.946,2014,jun,3.5269324228227426
Ãgua Fria (Plana),9113172.84,291071.501,2014,jun,0.0176317451536143
Ãgua Fria (Alta),9113472.429,290156.813,2014,jun,0.6247244204024494
Porto da Madeira,9114404.262,291240.722,2014,jun,2.183903332131947
Cajueiro,9113978.874,291787.251,2014,jun,0.2084054819417717
Campina do Barreto,9113360.156,292045.138,2014,jun,3.2774931117735555
Peixinhos,9113079.242,292663.795,2014,jun,3.796844188688196
Arruda,9112577.585,290778.65,2014,jun,2.0574872896512564
Encruzilhada,9111342.984,291147.432,2014,jun,0.9219945017697336
Ponto de Parada,9111944.964,291203.258,2014,jun,0.2015101982461384
FundÃ£o,9113692.115,291141.885,2014,jun,1.361489503893305
HipÃ³dromo,9111681.871,291492.858,2014,jun,1.7671055784827696
Rosarinho,9111613.61,290381.157,2014,jun,0.0308913893794378
TorreÃ£o,9110784.651,292131.119,2014,jun,0.0579066247900041
Campo Grande,9111851.014,291827.584,2014,jun,0.1543699397158255
Alto Santa Terezinha,9113598.2,289883.467,2014,jun,3.310800223569347
Bomba do HemetÃ©rio,9112880.579,289851.021,2014,jun,4.987478396083526
Derby,9108891.462,290104.934,2014,jun,1.3778667727682117
GraÃ§as,9110255.798,289708.079,2014,jun,1.8867804543272504
Espinheiro,9110331.328,291132.224,2014,jun,3.624937757021513
Aflitos,9110761.843,290578.478,2014,jun,0.5027743369252722
Jaqueira,9111017.043,289466.588,2014,jun,3.417130247322744
Tamarineira,9111760.594,289914.716,2014,jun,2.204869470876771
Santana,9110759.51,288467.83,2014,jun,0.1110950483323505
Parnamirim,9111469.017,288892.196,2014,jun,2.609450418490552
Casa Forte,9111477.721,288043.907,2014,jun,0.1059933381973847
PoÃ§o da Panela,9111288.519,287134.705,2014,jun,2.3260263890799786
Casa Amarela,9112326.465,287770.32,2014,jun,1.3176209574500717
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2014,jun,2.354594647079023
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2014,jun,1.3504777016171012
Alto JosÃ© do Pinho,9112751.629,289283.565,2014,jun,2.709965837577059
Vasco da Gama,9113922.665,287550.762,2014,jun,0.0685738557804029
Monteiro,9112251.966,286935.676,2014,jun,2.276645323963783
Apipucos,9113185.175,285711.387,2014,jun,0.5734130766127293
Alto do MandÃº,9112720.118,286967.594,2014,jun,2.222545589586038
SÃ­tio dos Pintos,9113652.981,283248.377,2014,jun,0.5237525816467061
CÃ³rrego do Jenipapo,9114931.748,285628.687,2014,jun,1.0741106503944116
Dois IrmÃ£os,9114316.891,283046.585,2014,jun,2.110713091455685
Macaxeira,9113929.124,286266.928,2014,jun,3.984511647011547
Nova Descoberta,9114374.078,285455.447,2014,jun,1.7778136307767676
Brejo de Beberibe,9115426.776,287368.207,2014,jun,0.426886711888452
Guabiraba,9118925.116,280472.66,2014,jun,1.0330946386115816
Brejo de Guabiraba,9116011.252,286470.068,2014,jun,1.0209677553383687
Passarinho,9117604.478,286529.856,2014,jun,3.3148512500265257
Mangabeira,9112583.36,290041.311,2014,jun,0.6668606448908602
VÃ¡rzea Baixo,9112566.575,286421.591,2014,jun,0.8107403168218403
VÃ¡rzea UR7,9111147.548,281788.536,2014,jun,3.33138507923403
CaxangÃ¡,9112046.853,283641.068,2014,jun,1.5635560574303922
Iputinga,9111218.811,284743.585,2014,jun,1.3436224286171514
Engenho do Meio,9108934.504,284977.522,2014,jun,0.9157677289246982
TorrÃµes,9108474.182,285633.242,2014,jun,2.15804122316597
Cordeiro,9109569.979,286498.08,2014,jun,4.083415081232316
Zumbi,9109369.482,288172.472,2014,jun,3.482579172825776
Torre,9110457.305,288948.15,2014,jun,2.577115912542724
Prado,9108489.273,288218.34,2014,jun,1.9093764119515584
Madalena,9109260.52,288708.035,2014,jun,1.872870088866902
Ilha do Retiro,9108073.724,289620.413,2014,jun,0.4986794238838987
VÃ¡rzea Brasilit,9110245.917,284310.527,2014,jun,1.8173211894636687
Cidade UniversitÃ¡ria,9109225.991,284041.371,2014,jun,2.713691872992923
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2014,jun,4.648819106908049
Afogados (Marrom GlacÃª),9106094.768,289066.699,2014,jun,4.514589689095673
Afogados,9106757.379,287276.756,2014,jun,1.852705946772509
Bongi,9108001.134,287967.704,2014,jun,0.1868460127141571
San Martin,9107597.587,286249.826,2014,jun,0.5764603835388069
Mustardinha,9107309.05,288019.099,2014,jun,0.8727571348358634
Mangueira,9106752.433,287877.617,2014,jun,1.6162713967057616
EstÃ¢ncia,9105779.586,286336.174,2014,jun,3.727735533539987
JiquiÃ¡,9105785.996,286821.099,2014,jun,1.9921617339728848
