bairro,latitude,longitude,ano,mes,vento
Santo AntÃ´nio,9108146.872,292305.893,2014,mai,2.8016192973927563
SÃ£o JosÃ©,9106966.415,291028.633,2014,mai,3.075221645090388
Recife Antigo,9109085.741,292919.623,2014,mai,1.0172088946311282
Cabanga,9106406.495,290656.46,2014,mai,0.0347899915425007
Coelhos,9107760.014,291308.772,2014,mai,0.364148165328885
Ilha do Leite,9107978.96,291077.482,2014,mai,0.9206472263282146
PaissandÃº,9108194.842,290416.08,2014,mai,1.4795738026582506
Ilha Joana Bezerra,9107310.114,290425.748,2014,mai,5.0892329515867685
Boa Vista,9109077.387,290876.732,2014,mai,2.9144424152539243
Soledade,9108960.796,291276.183,2014,mai,0.6504811838972664
Santo Amaro,9109946.116,291880.247,2014,mai,2.4802963525260173
Dois Unidos,9115506.345,288388.799,2014,mai,1.2081206038385606
Beberibe,9114586.482,290525.705,2014,mai,1.6392517133958906
Linha do Tiro,9114233.62,289504.946,2014,mai,1.874799268145756
Ãgua Fria (Plana),9113172.84,291071.501,2014,mai,4.893677191850413
Ãgua Fria (Alta),9113472.429,290156.813,2014,mai,2.1150908538932263
Porto da Madeira,9114404.262,291240.722,2014,mai,1.1361755109893703
Cajueiro,9113978.874,291787.251,2014,mai,1.190064805152997
Campina do Barreto,9113360.156,292045.138,2014,mai,0.6748874041275992
Peixinhos,9113079.242,292663.795,2014,mai,0.4805902196854466
Arruda,9112577.585,290778.65,2014,mai,5.982278874431733
Encruzilhada,9111342.984,291147.432,2014,mai,4.074979234959853
Ponto de Parada,9111944.964,291203.258,2014,mai,1.5709949900950426
FundÃ£o,9113692.115,291141.885,2014,mai,0.1186820672572581
HipÃ³dromo,9111681.871,291492.858,2014,mai,1.6651694986346854
Rosarinho,9111613.61,290381.157,2014,mai,2.7018842860911665
TorreÃ£o,9110784.651,292131.119,2014,mai,1.2042275100109647
Campo Grande,9111851.014,291827.584,2014,mai,2.4466033308264645
Alto Santa Terezinha,9113598.2,289883.467,2014,mai,0.8204972833881092
Bomba do HemetÃ©rio,9112880.579,289851.021,2014,mai,1.3946737960517557
Derby,9108891.462,290104.934,2014,mai,2.41002462217296
GraÃ§as,9110255.798,289708.079,2014,mai,2.2529972209034392
Espinheiro,9110331.328,291132.224,2014,mai,2.4608426111789736
Aflitos,9110761.843,290578.478,2014,mai,4.641041293304623
Jaqueira,9111017.043,289466.588,2014,mai,0.5009546201736224
Tamarineira,9111760.594,289914.716,2014,mai,1.007055989568845
Santana,9110759.51,288467.83,2014,mai,3.2362163281599514
Parnamirim,9111469.017,288892.196,2014,mai,0.569563344456469
Casa Forte,9111477.721,288043.907,2014,mai,1.0896679072247328
PoÃ§o da Panela,9111288.519,287134.705,2014,mai,1.9240080338881067
Casa Amarela,9112326.465,287770.32,2014,mai,0.2393734923673319
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2014,mai,2.1382212538226155
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2014,mai,0.9563250455041168
Alto JosÃ© do Pinho,9112751.629,289283.565,2014,mai,2.452395518867422
Vasco da Gama,9113922.665,287550.762,2014,mai,2.4061911220731016
Monteiro,9112251.966,286935.676,2014,mai,1.8518311103146257
Apipucos,9113185.175,285711.387,2014,mai,0.1290764250923979
Alto do MandÃº,9112720.118,286967.594,2014,mai,2.4650542870380305
SÃ­tio dos Pintos,9113652.981,283248.377,2014,mai,1.1084368451702835
CÃ³rrego do Jenipapo,9114931.748,285628.687,2014,mai,2.751427675318503
Dois IrmÃ£os,9114316.891,283046.585,2014,mai,5.854935886034111
Macaxeira,9113929.124,286266.928,2014,mai,2.6446739851673886
Nova Descoberta,9114374.078,285455.447,2014,mai,0.8922166228293068
Brejo de Beberibe,9115426.776,287368.207,2014,mai,0.754898217127769
Guabiraba,9118925.116,280472.66,2014,mai,0.3746450893282751
Brejo de Guabiraba,9116011.252,286470.068,2014,mai,1.5855102168395594
Passarinho,9117604.478,286529.856,2014,mai,0.7500876434988908
Mangabeira,9112583.36,290041.311,2014,mai,1.5574418091587323
VÃ¡rzea Baixo,9112566.575,286421.591,2014,mai,1.8997449275244689
VÃ¡rzea UR7,9111147.548,281788.536,2014,mai,0.0706513506884498
CaxangÃ¡,9112046.853,283641.068,2014,mai,2.3290950451955124
Iputinga,9111218.811,284743.585,2014,mai,1.9098356775687264
Engenho do Meio,9108934.504,284977.522,2014,mai,0.9147130947534876
TorrÃµes,9108474.182,285633.242,2014,mai,1.732817364542333
Cordeiro,9109569.979,286498.08,2014,mai,2.516423481619852
Zumbi,9109369.482,288172.472,2014,mai,1.6554284451365169
Torre,9110457.305,288948.15,2014,mai,1.1226720885782877
Prado,9108489.273,288218.34,2014,mai,3.8323018905025297
Madalena,9109260.52,288708.035,2014,mai,1.3269086442533549
Ilha do Retiro,9108073.724,289620.413,2014,mai,0.211185553572219
VÃ¡rzea Brasilit,9110245.917,284310.527,2014,mai,2.7521234927616955
Cidade UniversitÃ¡ria,9109225.991,284041.371,2014,mai,1.3825706950286782
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2014,mai,2.301966957986377
Afogados (Marrom GlacÃª),9106094.768,289066.699,2014,mai,2.2020880048724454
Afogados,9106757.379,287276.756,2014,mai,0.823634505857856
Bongi,9108001.134,287967.704,2014,mai,1.332076300040659
San Martin,9107597.587,286249.826,2014,mai,0.336814513462246
Mustardinha,9107309.05,288019.099,2014,mai,0.6446457008758728
Mangueira,9106752.433,287877.617,2014,mai,0.6276685703442242
EstÃ¢ncia,9105779.586,286336.174,2014,mai,3.1952765536868126
JiquiÃ¡,9105785.996,286821.099,2014,mai,0.9978013217309194
CaÃ§ote,9104102.268,286696.977,2014,mai,1.4220103365348056
Areias,9104721.352,286348.888,2014,mai,1.1460465835570048
TejipiÃ³,9105212.347,283469.404,2014,mai,1.2155545589415393
Sancho,9105806.562,283345.513,2014,mai,1.104192326534038
Barro,9104276.244,283228.614,2014,mai,2.4735656931877097
Coqueiral,9105579.969,282521.737,2014,mai,0.943050373620151
Curado,9107299.958,282026.143,2014,mai,0.5833481727523626
TotÃ³,9106028.466,282845.232,2014,mai,0.2365005588574031
Jardim SÃ£o Paulo,9106091.212,284789.366,2014,mai,2.490170646708962
BrasÃ­lia Teimosa,9105867.58,291910.581,2014,mai,0.7613631071069991
Pina,9104526.606,289352.098,2014,mai,2.290914270898509
Imbiribeira,9103325.289,287372.583,2014,mai,0.1223565839632421
Boa Viagem,9101159.587,286709.856,2014,mai,1.6428752190668705
Ipsep,9103041.538,287270.038,2014,mai,0.3928167274708627
Ibura,9102102.397,285143.988,2014,mai,2.272469267182867
Ibura Vila do Sesi,9103077.514,286055.398,2014,mai,0.5215821675184882
Ibura Parque,9103162.275,285659.265,2014,mai,1.5319274773579072
JordÃ£o,9100101.151,286086.751,2014,mai,0.997915327773946
Cohab UR5,9100700.205,285154.725,2014,mai,1.4812132101357542
Cohab UR4,9100700.825,285154.722,2014,mai,1.2866845481314704
Cohab UR10,9100697.345,284430.969,2014,mai,0.281654866760924
Cohab TrÃªs Carneiros,9101176.409,284411.063,2014,mai,1.5950296621375908
Cohab UR2,9101678.284,284448.852,2014,mai,3.220195839030045
Cohab UR3,9102297.398,284375.691,2014,mai,0.8278503270239297
Cohab Monte Verde,9102393.38,283809.922,2014,mai,0.1797266425582735
UR1,9101905.325,285328.723,2014,mai,0.4981406964280438
