bairro,latitude,longitude,ano,mes,vento
Santo AntÃ´nio,9108146.872,292305.893,2016,mar,0.9516145487201444
SÃ£o JosÃ©,9106966.415,291028.633,2016,mar,1.004306665686766
Recife Antigo,9109085.741,292919.623,2016,mar,2.3502660523639545
Cabanga,9106406.495,290656.46,2016,mar,1.2545911331325676
Coelhos,9107760.014,291308.772,2016,mar,0.9425700994238402
Ilha do Leite,9107978.96,291077.482,2016,mar,0.0972673619707236
PaissandÃº,9108194.842,290416.08,2016,mar,3.317916950540514
Ilha Joana Bezerra,9107310.114,290425.748,2016,mar,1.912567612987735
Boa Vista,9109077.387,290876.732,2016,mar,2.6549218331801248
Soledade,9108960.796,291276.183,2016,mar,0.9103693159922838
Santo Amaro,9109946.116,291880.247,2016,mar,3.60277479514326
Dois Unidos,9115506.345,288388.799,2016,mar,0.1573765518585463
Beberibe,9114586.482,290525.705,2016,mar,1.6545227487298408
Linha do Tiro,9114233.62,289504.946,2016,mar,2.447978322249629
Ãgua Fria (Plana),9113172.84,291071.501,2016,mar,0.6942599341987759
Ãgua Fria (Alta),9113472.429,290156.813,2016,mar,2.1759062020296973
Porto da Madeira,9114404.262,291240.722,2016,mar,1.7016860503655522
Cajueiro,9113978.874,291787.251,2016,mar,0.7013695378266624
Campina do Barreto,9113360.156,292045.138,2016,mar,2.7354443124851
Peixinhos,9113079.242,292663.795,2016,mar,0.9931297097022156
Arruda,9112577.585,290778.65,2016,mar,1.046600989611631
Encruzilhada,9111342.984,291147.432,2016,mar,0.0142978101007666
Ponto de Parada,9111944.964,291203.258,2016,mar,0.1591790386508169
FundÃ£o,9113692.115,291141.885,2016,mar,1.0599102519888834
HipÃ³dromo,9111681.871,291492.858,2016,mar,1.1824828367820392
Rosarinho,9111613.61,290381.157,2016,mar,3.164955138033384
TorreÃ£o,9110784.651,292131.119,2016,mar,1.330646989612558
Campo Grande,9111851.014,291827.584,2016,mar,2.1226624423881413
Alto Santa Terezinha,9113598.2,289883.467,2016,mar,2.456011865039609
Bomba do HemetÃ©rio,9112880.579,289851.021,2016,mar,4.841776758978697
Derby,9108891.462,290104.934,2016,mar,0.997628516525632
GraÃ§as,9110255.798,289708.079,2016,mar,1.3936155568000952
Espinheiro,9110331.328,291132.224,2016,mar,0.3675513453084238
Aflitos,9110761.843,290578.478,2016,mar,2.9462602558631046
Jaqueira,9111017.043,289466.588,2016,mar,0.8974909450111725
Tamarineira,9111760.594,289914.716,2016,mar,0.954652263465851
Santana,9110759.51,288467.83,2016,mar,1.9434521217916088
Parnamirim,9111469.017,288892.196,2016,mar,0.1812391432774645
Casa Forte,9111477.721,288043.907,2016,mar,2.68432272133085
PoÃ§o da Panela,9111288.519,287134.705,2016,mar,0.7668065543703569
Casa Amarela,9112326.465,287770.32,2016,mar,0.7846352179824013
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2016,mar,0.9234258821497486
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2016,mar,2.830168102922334
Alto JosÃ© do Pinho,9112751.629,289283.565,2016,mar,1.4621976382961617
Vasco da Gama,9113922.665,287550.762,2016,mar,2.342124462923101
Monteiro,9112251.966,286935.676,2016,mar,0.4975028563220134
Apipucos,9113185.175,285711.387,2016,mar,0.0298087318195974
Alto do MandÃº,9112720.118,286967.594,2016,mar,2.0982518168982205
SÃ­tio dos Pintos,9113652.981,283248.377,2016,mar,4.300615332098269
CÃ³rrego do Jenipapo,9114931.748,285628.687,2016,mar,2.014287346558728
Dois IrmÃ£os,9114316.891,283046.585,2016,mar,0.5705222122953589
Macaxeira,9113929.124,286266.928,2016,mar,2.2455403522248334
Nova Descoberta,9114374.078,285455.447,2016,mar,1.0335550492941343
Brejo de Beberibe,9115426.776,287368.207,2016,mar,0.964339580715306
Guabiraba,9118925.116,280472.66,2016,mar,0.9152783001865156
Brejo de Guabiraba,9116011.252,286470.068,2016,mar,2.013521728039392
Passarinho,9117604.478,286529.856,2016,mar,1.6231144515550016
Mangabeira,9112583.36,290041.311,2016,mar,0.951467234195256
VÃ¡rzea Baixo,9112566.575,286421.591,2016,mar,1.9593161121764144
VÃ¡rzea UR7,9111147.548,281788.536,2016,mar,1.7881147851150818
CaxangÃ¡,9112046.853,283641.068,2016,mar,2.7256446511309544
Iputinga,9111218.811,284743.585,2016,mar,3.367050312324086
Engenho do Meio,9108934.504,284977.522,2016,mar,0.9311320229828914
TorrÃµes,9108474.182,285633.242,2016,mar,0.7115491998586189
Cordeiro,9109569.979,286498.08,2016,mar,1.603131888936951
Zumbi,9109369.482,288172.472,2016,mar,1.181397541745172
Torre,9110457.305,288948.15,2016,mar,1.0766486295099271
Prado,9108489.273,288218.34,2016,mar,0.5191924342473816
Madalena,9109260.52,288708.035,2016,mar,3.828584239581572
Ilha do Retiro,9108073.724,289620.413,2016,mar,0.2206405843128467
VÃ¡rzea Brasilit,9110245.917,284310.527,2016,mar,0.466975969926369
Cidade UniversitÃ¡ria,9109225.991,284041.371,2016,mar,0.3439468227616156
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2016,mar,0.3108466238547178
Afogados (Marrom GlacÃª),9106094.768,289066.699,2016,mar,3.649773979910328
Afogados,9106757.379,287276.756,2016,mar,0.6346998671347901
Bongi,9108001.134,287967.704,2016,mar,2.173961197635036
San Martin,9107597.587,286249.826,2016,mar,1.003342228817333
Mustardinha,9107309.05,288019.099,2016,mar,2.0917620127206167
Mangueira,9106752.433,287877.617,2016,mar,2.1151144180890524
EstÃ¢ncia,9105779.586,286336.174,2016,mar,4.520652915143396
JiquiÃ¡,9105785.996,286821.099,2016,mar,1.9332595946901687
CaÃ§ote,9104102.268,286696.977,2016,mar,0.3046548100483679
Areias,9104721.352,286348.888,2016,mar,1.808004770891753
TejipiÃ³,9105212.347,283469.404,2016,mar,1.9278608269210389
Sancho,9105806.562,283345.513,2016,mar,2.267148678547488
Barro,9104276.244,283228.614,2016,mar,1.923674605391885
Coqueiral,9105579.969,282521.737,2016,mar,4.418989388407823
Curado,9107299.958,282026.143,2016,mar,3.977248337576533
TotÃ³,9106028.466,282845.232,2016,mar,0.2209278586586951
Jardim SÃ£o Paulo,9106091.212,284789.366,2016,mar,0.3510024279452939
BrasÃ­lia Teimosa,9105867.58,291910.581,2016,mar,1.3106877120282117
Pina,9104526.606,289352.098,2016,mar,0.3013159484276571
Imbiribeira,9103325.289,287372.583,2016,mar,0.0292160182558509
Boa Viagem,9101159.587,286709.856,2016,mar,1.5370943764063838
Ipsep,9103041.538,287270.038,2016,mar,0.9716712339662704
Ibura,9102102.397,285143.988,2016,mar,0.6674695332313724
Ibura Vila do Sesi,9103077.514,286055.398,2016,mar,2.107186269631316
Ibura Parque,9103162.275,285659.265,2016,mar,0.6320673533442114
JordÃ£o,9100101.151,286086.751,2016,mar,1.4020327095677911
Cohab UR5,9100700.205,285154.725,2016,mar,4.941742307926153
Cohab UR4,9100700.825,285154.722,2016,mar,1.8187860812418024
Cohab UR10,9100697.345,284430.969,2016,mar,1.5986634398650712
