bairro,latitude,longitude,ano,mes,vento
Santo AntÃ´nio,9108146.872,292305.893,2009,jan,0.0
SÃ£o JosÃ©,9106966.415,291028.633,2009,jan,0.0
Recife Antigo,9109085.741,292919.623,2009,jan,0.0
Cabanga,9106406.495,290656.46,2009,jan,0.0
Coelhos,9107760.014,291308.772,2009,jan,0.0
Ilha do Leite,9107978.96,291077.482,2009,jan,0.0
PaissandÃº,9108194.842,290416.08,2009,jan,0.0
Ilha Joana Bezerra,9107310.114,290425.748,2009,jan,0.0
Boa Vista,9109077.387,290876.732,2009,jan,0.0
Soledade,9108960.796,291276.183,2009,jan,0.0
Santo Amaro,9109946.116,291880.247,2009,jan,0.0
Dois Unidos,9115506.345,288388.799,2009,jan,0.0
Beberibe,9114586.482,290525.705,2009,jan,0.0
Linha do Tiro,9114233.62,289504.946,2009,jan,0.0
Ãgua Fria (Plana),9113172.84,291071.501,2009,jan,0.0
Ãgua Fria (Alta),9113472.429,290156.813,2009,jan,0.0
Porto da Madeira,9114404.262,291240.722,2009,jan,0.0
Cajueiro,9113978.874,291787.251,2009,jan,0.0
Campina do Barreto,9113360.156,292045.138,2009,jan,0.0
Peixinhos,9113079.242,292663.795,2009,jan,0.0
Arruda,9112577.585,290778.65,2009,jan,0.0
Encruzilhada,9111342.984,291147.432,2009,jan,0.0
Ponto de Parada,9111944.964,291203.258,2009,jan,0.0
FundÃ£o,9113692.115,291141.885,2009,jan,0.0
HipÃ³dromo,9111681.871,291492.858,2009,jan,0.0
Rosarinho,9111613.61,290381.157,2009,jan,0.0
TorreÃ£o,9110784.651,292131.119,2009,jan,0.0
Campo Grande,9111851.014,291827.584,2009,jan,0.0
Alto Santa Terezinha,9113598.2,289883.467,2009,jan,0.0
Bomba do HemetÃ©rio,9112880.579,289851.021,2009,jan,0.0
Derby,9108891.462,290104.934,2009,jan,0.0
GraÃ§as,9110255.798,289708.079,2009,jan,0.0
Espinheiro,9110331.328,291132.224,2009,jan,0.0
Aflitos,9110761.843,290578.478,2009,jan,0.0
Jaqueira,9111017.043,289466.588,2009,jan,0.0
Tamarineira,9111760.594,289914.716,2009,jan,0.0
Santana,9110759.51,288467.83,2009,jan,0.0
Parnamirim,9111469.017,288892.196,2009,jan,0.0
Casa Forte,9111477.721,288043.907,2009,jan,0.0
PoÃ§o da Panela,9111288.519,287134.705,2009,jan,0.0
Casa Amarela,9112326.465,287770.32,2009,jan,0.0
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2009,jan,0.0
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2009,jan,0.0
Alto JosÃ© do Pinho,9112751.629,289283.565,2009,jan,0.0
Vasco da Gama,9113922.665,287550.762,2009,jan,0.0
Monteiro,9112251.966,286935.676,2009,jan,0.0
Apipucos,9113185.175,285711.387,2009,jan,0.0
Alto do MandÃº,9112720.118,286967.594,2009,jan,0.0
SÃ­tio dos Pintos,9113652.981,283248.377,2009,jan,0.0
CÃ³rrego do Jenipapo,9114931.748,285628.687,2009,jan,0.0
Dois IrmÃ£os,9114316.891,283046.585,2009,jan,0.0
Macaxeira,9113929.124,286266.928,2009,jan,0.0
Nova Descoberta,9114374.078,285455.447,2009,jan,0.0
Brejo de Beberibe,9115426.776,287368.207,2009,jan,0.0
Guabiraba,9118925.116,280472.66,2009,jan,0.0
Brejo de Guabiraba,9116011.252,286470.068,2009,jan,0.0
Passarinho,9117604.478,286529.856,2009,jan,0.0
Mangabeira,9112583.36,290041.311,2009,jan,0.0
VÃ¡rzea Baixo,9112566.575,286421.591,2009,jan,0.0
VÃ¡rzea UR7,9111147.548,281788.536,2009,jan,0.0
CaxangÃ¡,9112046.853,283641.068,2009,jan,0.0
Iputinga,9111218.811,284743.585,2009,jan,0.0
Engenho do Meio,9108934.504,284977.522,2009,jan,0.0
TorrÃµes,9108474.182,285633.242,2009,jan,0.0
Cordeiro,9109569.979,286498.08,2009,jan,0.0
Zumbi,9109369.482,288172.472,2009,jan,0.0
Torre,9110457.305,288948.15,2009,jan,0.0
Prado,9108489.273,288218.34,2009,jan,0.0
Madalena,9109260.52,288708.035,2009,jan,0.0
Ilha do Retiro,9108073.724,289620.413,2009,jan,0.0
VÃ¡rzea Brasilit,9110245.917,284310.527,2009,jan,0.0
Cidade UniversitÃ¡ria,9109225.991,284041.371,2009,jan,0.0
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2009,jan,0.0
Afogados (Marrom GlacÃª),9106094.768,289066.699,2009,jan,0.0
Afogados,9106757.379,287276.756,2009,jan,0.0
Bongi,9108001.134,287967.704,2009,jan,0.0
San Martin,9107597.587,286249.826,2009,jan,0.0
Mustardinha,9107309.05,288019.099,2009,jan,0.0
Mangueira,9106752.433,287877.617,2009,jan,0.0
EstÃ¢ncia,9105779.586,286336.174,2009,jan,0.0
JiquiÃ¡,9105785.996,286821.099,2009,jan,0.0
CaÃ§ote,9104102.268,286696.977,2009,jan,0.0
Areias,9104721.352,286348.888,2009,jan,0.0
TejipiÃ³,9105212.347,283469.404,2009,jan,0.0
Sancho,9105806.562,283345.513,2009,jan,0.0
Barro,9104276.244,283228.614,2009,jan,0.0
Coqueiral,9105579.969,282521.737,2009,jan,0.0
Curado,9107299.958,282026.143,2009,jan,0.0
TotÃ³,9106028.466,282845.232,2009,jan,0.0
Jardim SÃ£o Paulo,9106091.212,284789.366,2009,jan,0.0
BrasÃ­lia Teimosa,9105867.58,291910.581,2009,jan,0.0
Pina,9104526.606,289352.098,2009,jan,0.0
Imbiribeira,9103325.289,287372.583,2009,jan,0.0
Boa Viagem,9101159.587,286709.856,2009,jan,0.0
Ipsep,9103041.538,287270.038,2009,jan,0.0
Ibura,9102102.397,285143.988,2009,jan,0.0
Ibura Vila do Sesi,9103077.514,286055.398,2009,jan,0.0
Ibura Parque,9103162.275,285659.265,2009,jan,0.0
