bairro,latitude,longitude,ano,mes,vento
Santo AntÃ´nio,9108146.872,292305.893,2009,nov,2.9632071111238063
SÃ£o JosÃ©,9106966.415,291028.633,2009,nov,3.670540475510204
Recife Antigo,9109085.741,292919.623,2009,nov,1.8287794029978044
Cabanga,9106406.495,290656.46,2009,nov,2.096558935673926
Coelhos,9107760.014,291308.772,2009,nov,4.433552348461284
Ilha do Leite,9107978.96,291077.482,2009,nov,1.229306296321821
PaissandÃº,9108194.842,290416.08,2009,nov,1.211487808330308
Ilha Joana Bezerra,9107310.114,290425.748,2009,nov,3.132650860126262
Boa Vista,9109077.387,290876.732,2009,nov,2.142137931315814
Soledade,9108960.796,291276.183,2009,nov,0.926252993100464
Santo Amaro,9109946.116,291880.247,2009,nov,1.968521904635352
Dois Unidos,9115506.345,288388.799,2009,nov,1.4854534703449145
Beberibe,9114586.482,290525.705,2009,nov,1.982500229875818
Linha do Tiro,9114233.62,289504.946,2009,nov,1.1518913178676933
Ãgua Fria (Plana),9113172.84,291071.501,2009,nov,4.745053210249582
Ãgua Fria (Alta),9113472.429,290156.813,2009,nov,0.1818675288408762
Porto da Madeira,9114404.262,291240.722,2009,nov,0.1852889303958531
Cajueiro,9113978.874,291787.251,2009,nov,2.411305338938201
Campina do Barreto,9113360.156,292045.138,2009,nov,3.4351479461299217
Peixinhos,9113079.242,292663.795,2009,nov,0.86473236097857
Arruda,9112577.585,290778.65,2009,nov,2.7285833439218408
Encruzilhada,9111342.984,291147.432,2009,nov,0.8192522645389251
Ponto de Parada,9111944.964,291203.258,2009,nov,0.9816802274262156
FundÃ£o,9113692.115,291141.885,2009,nov,0.6910281822149389
HipÃ³dromo,9111681.871,291492.858,2009,nov,2.312809303971069
Rosarinho,9111613.61,290381.157,2009,nov,3.187657537042764
TorreÃ£o,9110784.651,292131.119,2009,nov,4.469746806487382
Campo Grande,9111851.014,291827.584,2009,nov,1.462679528170992
Alto Santa Terezinha,9113598.2,289883.467,2009,nov,0.0500148917910387
Bomba do HemetÃ©rio,9112880.579,289851.021,2009,nov,1.8922797078223468
Derby,9108891.462,290104.934,2009,nov,3.1960643062203173
GraÃ§as,9110255.798,289708.079,2009,nov,4.594042021651134
Espinheiro,9110331.328,291132.224,2009,nov,2.0230232885195507
Aflitos,9110761.843,290578.478,2009,nov,3.365405854220909
Jaqueira,9111017.043,289466.588,2009,nov,2.6038391578712385
Tamarineira,9111760.594,289914.716,2009,nov,5.103715139931495
Santana,9110759.51,288467.83,2009,nov,4.209356785431655
Parnamirim,9111469.017,288892.196,2009,nov,5.226009319664337
Casa Forte,9111477.721,288043.907,2009,nov,2.2130926894442906
PoÃ§o da Panela,9111288.519,287134.705,2009,nov,4.807047779119904
Casa Amarela,9112326.465,287770.32,2009,nov,3.1147690210603765
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2009,nov,3.1246970470959368
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2009,nov,1.3844893914553644
Alto JosÃ© do Pinho,9112751.629,289283.565,2009,nov,4.088956081812449
Vasco da Gama,9113922.665,287550.762,2009,nov,4.4085828783602805
Monteiro,9112251.966,286935.676,2009,nov,1.0737393812766205
Apipucos,9113185.175,285711.387,2009,nov,3.3636353632743727
Alto do MandÃº,9112720.118,286967.594,2009,nov,3.4964022268738404
SÃ­tio dos Pintos,9113652.981,283248.377,2009,nov,1.0331531273245438
CÃ³rrego do Jenipapo,9114931.748,285628.687,2009,nov,1.9865193828216112
Dois IrmÃ£os,9114316.891,283046.585,2009,nov,2.8865198796893257
Macaxeira,9113929.124,286266.928,2009,nov,2.066874258191705
Nova Descoberta,9114374.078,285455.447,2009,nov,3.994659983391235
Brejo de Beberibe,9115426.776,287368.207,2009,nov,2.047377101562093
Guabiraba,9118925.116,280472.66,2009,nov,3.233746362744768
Brejo de Guabiraba,9116011.252,286470.068,2009,nov,1.5005136276705435
Passarinho,9117604.478,286529.856,2009,nov,3.799612652262375
Mangabeira,9112583.36,290041.311,2009,nov,0.9939035722719404
VÃ¡rzea Baixo,9112566.575,286421.591,2009,nov,2.253540745286005
VÃ¡rzea UR7,9111147.548,281788.536,2009,nov,2.102119543363968
CaxangÃ¡,9112046.853,283641.068,2009,nov,3.4651989582818663
Iputinga,9111218.811,284743.585,2009,nov,4.195649030272673
Engenho do Meio,9108934.504,284977.522,2009,nov,1.387765756174741
TorrÃµes,9108474.182,285633.242,2009,nov,0.3585150658055429
Cordeiro,9109569.979,286498.08,2009,nov,1.651300262996184
Zumbi,9109369.482,288172.472,2009,nov,3.2313810635709954
Torre,9110457.305,288948.15,2009,nov,2.882329561451063
Prado,9108489.273,288218.34,2009,nov,2.1478733657906006
Madalena,9109260.52,288708.035,2009,nov,2.6545184164989
Ilha do Retiro,9108073.724,289620.413,2009,nov,0.7209377748711701
VÃ¡rzea Brasilit,9110245.917,284310.527,2009,nov,3.556225292211
Cidade UniversitÃ¡ria,9109225.991,284041.371,2009,nov,2.570828424936854
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2009,nov,1.4065520863093512
