bairro,latitude,longitude,ano,mes,vento
Santo AntÃ´nio,9108146.872,292305.893,2013,out,2.005863105843071
SÃ£o JosÃ©,9106966.415,291028.633,2013,out,3.033825806403647
Recife Antigo,9109085.741,292919.623,2013,out,3.027538401635222
Cabanga,9106406.495,290656.46,2013,out,3.872012569620663
Coelhos,9107760.014,291308.772,2013,out,0.7092173765236847
Ilha do Leite,9107978.96,291077.482,2013,out,2.7740252910473826
PaissandÃº,9108194.842,290416.08,2013,out,2.671549177999881
Ilha Joana Bezerra,9107310.114,290425.748,2013,out,1.5926811742831886
Boa Vista,9109077.387,290876.732,2013,out,1.2454340419060737
Soledade,9108960.796,291276.183,2013,out,1.828928134262498
Santo Amaro,9109946.116,291880.247,2013,out,1.2853119713109966
Dois Unidos,9115506.345,288388.799,2013,out,2.624429279424352
Beberibe,9114586.482,290525.705,2013,out,1.8820393893543208
Linha do Tiro,9114233.62,289504.946,2013,out,1.9300577130054144
Ãgua Fria (Plana),9113172.84,291071.501,2013,out,2.225775929825868
Ãgua Fria (Alta),9113472.429,290156.813,2013,out,2.7735420260577106
Porto da Madeira,9114404.262,291240.722,2013,out,2.7756787729945023
Cajueiro,9113978.874,291787.251,2013,out,3.077374399966856
Campina do Barreto,9113360.156,292045.138,2013,out,3.807874120656173
Peixinhos,9113079.242,292663.795,2013,out,0.2291434913713084
Arruda,9112577.585,290778.65,2013,out,4.749382179984908
Encruzilhada,9111342.984,291147.432,2013,out,1.0811621992204006
Ponto de Parada,9111944.964,291203.258,2013,out,2.2524159311685352
FundÃ£o,9113692.115,291141.885,2013,out,1.3065772429515432
HipÃ³dromo,9111681.871,291492.858,2013,out,1.1479925591904294
Rosarinho,9111613.61,290381.157,2013,out,0.8444242592191766
TorreÃ£o,9110784.651,292131.119,2013,out,0.8006069310050596
Campo Grande,9111851.014,291827.584,2013,out,2.8286123266753034
Alto Santa Terezinha,9113598.2,289883.467,2013,out,1.0013023804129408
Bomba do HemetÃ©rio,9112880.579,289851.021,2013,out,1.0636173193812009
Derby,9108891.462,290104.934,2013,out,2.1510762018147886
GraÃ§as,9110255.798,289708.079,2013,out,3.5324953375998627
Espinheiro,9110331.328,291132.224,2013,out,0.8080492178501748
