bairro,latitude,longitude,ano,mes,vento
Santo AntÃ´nio,9108146.872,292305.893,2010,set,6.130947971206782
SÃ£o JosÃ©,9106966.415,291028.633,2010,set,5.630279486612476
Recife Antigo,9109085.741,292919.623,2010,set,3.5043496273158725
Cabanga,9106406.495,290656.46,2010,set,3.891511005723968
Coelhos,9107760.014,291308.772,2010,set,1.3812453273784615
Ilha do Leite,9107978.96,291077.482,2010,set,2.5331123699032467
PaissandÃº,9108194.842,290416.08,2010,set,1.93390543353206
Ilha Joana Bezerra,9107310.114,290425.748,2010,set,0.552301330281086
Boa Vista,9109077.387,290876.732,2010,set,4.760043787048119
Soledade,9108960.796,291276.183,2010,set,1.8417514381806943
Santo Amaro,9109946.116,291880.247,2010,set,4.292987736928354
Dois Unidos,9115506.345,288388.799,2010,set,3.9787794276867374
Beberibe,9114586.482,290525.705,2010,set,3.3674603483152747
Linha do Tiro,9114233.62,289504.946,2010,set,4.19777258399189
Ãgua Fria (Plana),9113172.84,291071.501,2010,set,0.7974679756544472
Ãgua Fria (Alta),9113472.429,290156.813,2010,set,4.125571895386239
Porto da Madeira,9114404.262,291240.722,2010,set,1.9752648811332176
Cajueiro,9113978.874,291787.251,2010,set,2.8335914194532985
Campina do Barreto,9113360.156,292045.138,2010,set,0.4926573702283363
Peixinhos,9113079.242,292663.795,2010,set,0.7679900722867394
Arruda,9112577.585,290778.65,2010,set,2.088521311805305
Encruzilhada,9111342.984,291147.432,2010,set,1.3314965408863977
Ponto de Parada,9111944.964,291203.258,2010,set,0.2067244695815429
FundÃ£o,9113692.115,291141.885,2010,set,1.170400222902811
HipÃ³dromo,9111681.871,291492.858,2010,set,2.290044508946369
Rosarinho,9111613.61,290381.157,2010,set,0.5500066895329616
TorreÃ£o,9110784.651,292131.119,2010,set,2.3366145817309283
Campo Grande,9111851.014,291827.584,2010,set,1.735035641502387
Alto Santa Terezinha,9113598.2,289883.467,2010,set,2.5801068797472007
Bomba do HemetÃ©rio,9112880.579,289851.021,2010,set,2.8471042673809803
Derby,9108891.462,290104.934,2010,set,3.782182635608077
GraÃ§as,9110255.798,289708.079,2010,set,1.0491829222282636
Espinheiro,9110331.328,291132.224,2010,set,3.727101444584066
Aflitos,9110761.843,290578.478,2010,set,2.036252007857
Jaqueira,9111017.043,289466.588,2010,set,4.6214643530015245
Tamarineira,9111760.594,289914.716,2010,set,1.5939455782024163
Santana,9110759.51,288467.83,2010,set,2.88296420178146
Parnamirim,9111469.017,288892.196,2010,set,2.2339047071169205
Casa Forte,9111477.721,288043.907,2010,set,5.836757801679173
PoÃ§o da Panela,9111288.519,287134.705,2010,set,2.766423504047216
Casa Amarela,9112326.465,287770.32,2010,set,2.330819322268832
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2010,set,4.124716907803984
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2010,set,1.964309522122188
Alto JosÃ© do Pinho,9112751.629,289283.565,2010,set,6.46600894951902
Vasco da Gama,9113922.665,287550.762,2010,set,1.4719970127879187
Monteiro,9112251.966,286935.676,2010,set,4.432095270617191
Apipucos,9113185.175,285711.387,2010,set,1.5824744209373702
Alto do MandÃº,9112720.118,286967.594,2010,set,3.49876851658839
SÃ­tio dos Pintos,9113652.981,283248.377,2010,set,1.577532547005981
CÃ³rrego do Jenipapo,9114931.748,285628.687,2010,set,3.013649901973129
Dois IrmÃ£os,9114316.891,283046.585,2010,set,1.2394036940980817
Macaxeira,9113929.124,286266.928,2010,set,0.8166904931285992
Nova Descoberta,9114374.078,285455.447,2010,set,1.5928396929082247
Brejo de Beberibe,9115426.776,287368.207,2010,set,2.997126842753913
Guabiraba,9118925.116,280472.66,2010,set,4.937594690837543
Brejo de Guabiraba,9116011.252,286470.068,2010,set,0.2881967226275215
Passarinho,9117604.478,286529.856,2010,set,2.3721065693981997
