Bairro,Y,X,latitude-WGS84,longitude-WGS84
AFLITOS,9110884,290992,-8.03921,-34.89648
AFOGADOS,9106661.8,289910.65,-8.07733,-34.90647
AGUA FRIA,9113343,290787.7,-8.01697,-34.89823
ALTO DO MANDU,9112712.9,287498,-8.02252,-34.9281
ALTO JOSE BONIFACIO,9113775,289181,-8.01299,-34.91279
ALTO JOSE DO PINHO,9112846,289698,-8.02141,-34.90814
ALTO SANTA TEREZINHA,9113502,289671,-8.01548,-34.90836
APIPUCOS,9113095,286390,-8.01902,-34.93813
AREIAS,9104782,287566.7,-8.09423,-34.92781
ARRUDA,9112449.1,291553.7,-8.02508,-34.89132
BARRO,9104647.9,285112.8,-8.09533,-34.95008
BEBERIBE,9114684,290898,-8.00485,-34.89718
BOA VIAGEM,9101556,290274,-8.12351,-34.90339
BOA VISTA,9108394,292017,-8.06176,-34.88729
BOMBA DO HEMETERIO,9112839.1,290413,-8.02151,-34.90165
BONGI,9107910.4,288238.4,-8.06597,-34.92159
BRASILIA TEIMOSA,9106073,292947,-8.08278,-34.87895
BREJO DA GUABIRABA,9116097,287054,-7.99191,-34.93198
BREJO DE BEBERIBE,9115386.1,287902.9,-7.99837,-34.92431
CABANGA,9106392,290894.3,-8.07981,-34.89756
CACOTE,9104023.9,287032.9,-8.10106,-34.93269
CAJUEIRO,9113888,292172,-8.0121,-34.88566
CAMPINA DO BARRETO,9113399,292574,-8.01653,-34.88203
CAMPO GRANDE,9111728,292874,-8.03165,-34.87938
CASA AMARELA,9112482,288643,-8.02466,-34.91772
CASA FORTE,9111470,288586,-8.03381,-34.91828
CAXANGA,9111832,285184,-8.03039,-34.94912
CIDADE UNIVERSITARIA,9109172,284920,-8.05442,-34.95163
COELHOS,9107816,291882,-8.06698,-34.88854
COHAB,9101433,284767,-8.12438,-34.95336
COQUEIRAL,9105465,283108,-8.08786,-34.96823
CORDEIRO,9109547,287467,-8.05114,-34.92851
CORREGO DO JENIPAPO,9114488,286627,-8.00644,-34.93592
CURADO,9107651,283800,-8.06813,-34.96186
DERBY,9108825,290723,-8.05781,-34.89901
DOIS IRMAOS,9114707,284762,-8.00438,-34.95283
DOIS UNIDOS,9115967,289395,-7.99319,-34.91076
ENCRUZILHADA,9111158,291613,-8.03675,-34.89084
ENGENHO DO MEIO,9108934,285940,-8.05662,-34.94239
ESPINHEIRO,9110478,291571,-8.0429,-34.89125
ESTANCIA,9105647,287423,-8.0864,-34.92908
FUNDAO,9113575.6,291651.2,-8.0149,-34.89039
GRACAS,9110179.5,290528,-8.04556,-34.90072
GUABIRABA,9120358,284635,-7.95329,-34.95374
HIPODROMO,9111621.2,292022.4,-8.03258,-34.88711
IBURA,9101668.1,287104.4,-8.12236,-34.93214
ILHA DO LEITE,9107953.6,291260,-8.06571,-34.89418
ILHA DO RETIRO,9108164.9,290198.2,-8.06375,-34.9038
ILHA JOANA BEZERRA,9107504,290753,-8.06975,-34.8988
IMBIRIBEIRA,9103837.8,289440.3,-8.10284,-34.91086
IPSEP,9103015.3,288448,-8.11023,-34.9199
IPUTINGA,9110794.2,286487.9,-8.03983,-34.93734
JAQUEIRA,9111235.3,290316.6,-8.036,-34.9026
JARDIM SAO PAULO,9106260.1,285989,-8.0808,-34.94206
JIQUIA,9105794,288086,-8.0851,-34.92306
JORDAO,9100464,286239,-8.1332,-34.94005
LINHA DO TIRO,9114147,290008,-8.00967,-34.90527
MACAXEIRA,9113886,287156,-8.0119,-34.93115
MADALENA,9109267,289691,-8.05377,-34.90835
MANGABEIRA,9112518,290270,-8.0244,-34.90296
MANGUEIRA,9106721,288365,-8.07673,-34.92049
MONTEIRO,9112291,287425,-8.02634,-34.92878
MORRO DA CONCEICAO,9113078,288997,-8.01929,-34.91449
MUSTARDINHA,9107205,288581,-8.07236,-34.91851
NOVA DESCOBERTA,9115154,287233,-8.00044,-34.9304
PAISSANDU,9108269,290754,-8.06284,-34.89875
PARNAMIRIM,9111464,289457,-8.0339,-34.91038
PASSARINHO,9117218,288021,-7.98182,-34.92316
PAU FERRO,9118853,282335,-7.96679,-34.97466
PEIXINHOS,9113220,293141,-8.01818,-34.8769
PINA,9104566,291222,-8.09633,-34.89466
POCO,9111320,287974,-8.03514,-34.92384
PONTO DE PARADA,9111936,291363,-8.02971,-34.89308
PORTO DA MADEIRA,9114446,291875,-8.00704,-34.88833
PRADO,9108586,289083,-8.0599,-34.9139
RECIFE,9108963.5,293824.9,-8.05669,-34.87087
ROSARINHO,9111653,290839,-8.03225,-34.89784
SAN MARTIN,9107439,287447,-8.0702,-34.92879
SANCHO,9105834,283826,-8.08455,-34.9617
SANTANA,9110875,288843,-8.0392,-34.91598
SANTO AMARO,9109594,292657,-8.05094,-34.88144
SANTO ANTONIO,9108074,293047,-8.0647,-34.87796
SAO JOSE,9107439,292735,-8.07042,-34.88082
SITIO DOS PINTOS,9113960,284132,-8.01111,-34.95857
SOLEDADE,9109031,291653,-8.05599,-34.89057
TAMARINEIRA,9111623,290489,-8.0325,-34.90102
TEJIPIO,9105574,284554,-8.08694,-34.95511
TORRE,9110512,289784,-8.04252,-34.90746
TORREAO,9110768,292379,-8.04031,-34.88391
TORROES,9108525,286617,-8.06035,-34.93627
TOTO,9106121,283026,-8.08192,-34.96895
VARZEA,9110202,282982,-8.04503,-34.96917
VASCO DA GAMA,9113906,288489,-8.01178,-34.91906
ZUMBI,9109277,288621,-8.05363,-34.91806
