Bairro,latitude,longitude,cb1,t1b1,t2b1,p1b1,p2b1,v1b1,v2b1,ur1b1,ur2b1,cb2,t1b2,t2b2,p1b2,p2b2,v1b2,v2b2,ur1b2,ur2b2,cb3,t1b3,t2b3,p1b3,p2b3,v1b3,v2b3,ur1b3,ur2b3,cb4,t1b4,t2b4,p1b4,p2b4,v1b4,v2b4,ur1b4,ur2b4,cb5,t1b5,t2b5,p1b5,p2b5,v1b5,v2b5,ur1b5,ur2b5,cb6,t1b6,t2b6,p1b6,p2b6,v1b6,v2b6,ur1b6,ur2b6,predicao
Santo Antônio,-8.064006,-34.884682,0.0,26.26211471240812,26.4950682815319,1.952146223448356,11.362440679301882,0.0,1.1887392296391897,70.93463956317203,69.1941518673849,2.0,25.17088453327237,28.29193260185545,62.84526211320743,21.18818649093996,1.469795216162913,2.887234719017685,82.60827079801865,77.1522984147471,2.0,27.09969523134543,25.27732274561837,33.978659365213346,206.54182908300032,3.1523425769646227,0.5257859782769092,82.66088966662115,83.66103925885233,1.0,24.737370426965114,24.8654261969788,225.12906111514496,8.931342893604,0.2646246612863632,2.4408230198418392,79.04161298585342,70.9713844472941,0.0,24.794024442825943,25.247695335107245,11.67719094507272,9.437637000435195,2.628977866013493,2.2225337663323805,74.80213871684292,58.991161519383,1.0,27.16987486814805,27.783804297283464,14.028700423846708,14.028700423846708,2.031302027014515,0.8472640230296907,62.44487990303578,61.984067589078414,0.0
São José,-8.074624,-34.896318,5.0,27.83627847467725,25.43670727706806,0.2155454557728831,10.047274347093644,0.0,2.464393015767884,74.32888218981353,74.36553585604264,3.0,25.183291079290964,27.739585356069444,93.01297309708974,40.48935607668152,0.8289504869766559,1.9912946442441417,69.51011408730426,64.27898550994237,1.0,25.553654990921217,25.4061313475994,12.388074703574633,190.3041446225082,2.9241765938493227,3.561349891432915,75.40068110006936,79.94755898828296,5.0,26.651642131175077,24.6699364147893,162.9465045216509,22.657809965665827,2.748967685262852,1.0787357397950963,79.68864739061351,69.94780325779159,0.0,25.66433147581568,24.601573389744388,18.606743538418087,13.159546034058922,2.0836767907914515,1.4815615289078885,67.0209468907457,67.19471425690496,4.0,28.276593757282992,27.709527233234887,1.232892559593524,1.232892559593524,1.7564127693535,4.2742199117413815,73.42311692967958,70.0758018551045,0.0
Recife Antigo,-8.055544,-34.879076,0.0,27.30465673692271,26.05891819642688,22.59404720817779,32.67158626153376,0.0,0.2249685933974594,70.05544141271018,71.28553981344803,2.0,26.730301506688427,27.289658815168035,110.811413168128,13.063173345934654,1.9466523085630072,3.4842355006317667,89.89681533342458,81.40015802104772,2.0,29.81856198542153,22.983158916544195,62.78973996670073,126.84711454629044,1.0481136524780474,3.70496466100822,85.82089249668469,82.43767354238592,1.0,25.37923897812857,24.45997466224849,56.59718698692868,36.06750743481971,3.5638670401756323,3.232918420697403,77.53590967093571,73.15401145607748,0.0,26.22397647432679,27.00106259662273,12.030004370308,9.549932780626836,2.722756808435165,0.3818238626283212,67.60785869985546,63.10020202385493,1.0,27.78952640852603,26.748955762824632,13.761358913029454,13.761358913029454,2.419960266877208,2.015002863350848,67.41866657933173,64.93971834809011,0.0
Cabanga,-8.079671,-34.899717,5.0,26.191564523159556,26.398486374068163,11.92744471342657,31.25136594974342,0.0,1.7990945577220858,71.52977614898377,73.31241489498301,3.0,27.05994763367065,27.930693656790897,197.96266513322905,9.04216653323767,3.497958669105132,1.5035297870827502,84.62720062138206,81.55399356072057,1.0,25.416809772106543,24.810994711236685,46.85740182913959,178.3498508151382,0.9176418304881004,0.1606872175985598,76.15881894392936,78.18599819173771,5.0,24.18401505393601,24.8906063940186,181.1842287083695,16.59705259695944,1.6310318990155046,0.8169640671353294,76.92119587493033,71.76000490081599,0.0,27.941614709245243,26.94430745785916,18.33623482627233,8.701881730174506,5.239443734203764,1.298152632505778,71.48234243339266,65.95734544863791,4.0,27.47382201100861,26.67710589212488,6.389476816958918,6.389476816958918,2.0132944052160986,2.1273032924786786,68.66154648977427,74.03219362606453,0.0
Coelhos,-8.067462,-34.893743,15.0,27.01252413648246,26.44846117642454,26.492878840599605,16.324846197260435,0.0,1.2824808664911995,67.81898258109288,74.10507205571167,2.0,27.988190659335768,26.6948295933387,184.64942864297876,26.34204466921,1.8700611112749717,0.2445433526546383,81.46563194038775,77.19988033667529,3.0,26.60522683603447,24.18994765876992,53.87551961366967,226.93457310889065,0.2253198725112632,0.6747689722096379,76.68809838008654,79.33121282652516,8.0,24.37919522059974,24.24510195505337,37.23373956952486,36.54178418371505,3.4227209469023143,1.182180734020101,74.99552421477847,68.27903825527412,1.0,25.97687804549533,26.532529758025436,6.264048896892167,2.474642470521246,1.8467180528094267,2.241574413767395,81.5758038977457,61.2343471143305,1.0,26.595330230668708,26.58149591699149,6.597335827461483,6.597335827461483,0.0290065374854573,0.1695319769854908,65.80973528509773,64.10709292919852,2.0
Ilha do Leite,-8.065473,-34.895832,15.0,25.43609997564809,29.213125503242157,25.77745046415417,29.91121333934033,0.0,1.5323671230903289,76.38504711321389,76.3786428731458,2.0,28.25579212745359,28.07383848276472,116.90330182123772,6.160411953360779,1.787834743079424,1.6527776649482904,76.78186946072633,82.28462328880022,3.0,25.170608402267074,24.70406223483045,84.46602709308229,166.31925078424766,1.200568845984107,0.0637420163568371,91.75334061150592,82.78462511880362,8.0,25.89190623788796,25.74256514029161,222.0478930433956,1.1599755927578563,2.894019546025633,2.285972200530005,73.98211118499826,74.5472230134718,1.0,27.425422902293214,25.682400512840367,4.383873820157859,5.384494023232283,2.396967521055429,1.972331943260404,59.545698346942096,63.46009672998824,1.0,28.368878759335736,25.464891545972044,5.883441687342449,5.883441687342449,0.1723008458332469,0.7307436870898054,66.53012305320956,67.40217200741449,2.0
Paissandú,-8.063493,-34.901822,15.0,27.536066743972174,27.351952611659453,39.56916369349965,20.237177834186696,0.0,3.877587622572985,75.19519603318639,75.66636680251885,2.0,26.770978908749235,28.35343109646254,88.01297329163368,54.61567332182575,2.3704424791664627,0.5354872166936047,79.54992703348059,71.73958272812699,3.0,27.73115802710248,24.731241110580694,59.25955627179376,89.44183551601894,2.7310162585495883,1.992283562011821,76.30346561831108,76.04122793640607,8.0,25.85689015756989,25.601141690554407,228.12252574568885,30.46401952039282,3.0292464020972174,1.7960971073564655,75.3783318261978,74.5164582479463,1.0,26.36017124919944,24.64158169305225,16.310007363718945,4.301196552202695,2.8438549398110924,3.129947019594552,70.08899861049106,57.84122475820401,1.0,26.75240848343588,25.548331622892142,6.42744826149845,6.42744826149845,0.3821345805834129,0.4807799864709645,66.14749434294616,66.42648800968252,2.0
Ilha Joana Bezerra,-8.071492,-34.901772,6.0,26.69757623216712,26.048282999697594,56.67552043218426,17.870314483506114,0.0,0.5787790527845506,72.96238392476614,76.61512232694342,8.0,29.42063685518418,28.493341373848637,165.90114353075285,32.012733290113324,2.2832315665932086,0.0946583829332579,80.13826350170012,66.45495751213589,6.0,27.10728387433316,25.97376070283059,98.82150437035224,222.9980413939818,0.5861911941996202,0.9304524000871562,81.36513539988998,78.41694878870452,4.0,25.722393689445497,23.80859360573191,155.21426124489352,27.205028504960037,1.4093893203707322,1.4046274507500451,74.43900560164377,71.7660964578271,3.0,25.9994015511078,25.083647368699605,11.19064948745166,8.712584745688925,1.3163698015006609,1.1672336514265522,68.69699748731108,63.406004868519815,8.0,27.372303206779637,27.41287341134204,2.766875878106461,2.766875878106461,0.1245834833406429,0.0012270222549706,67.07515542672222,63.82775423447363,1.0
Boa Vista,-8.055534,-34.897606,7.0,27.006122647196428,29.538080840818083,30.705887542414917,21.215955687969156,0.0,0.1766004318507503,74.97063110573377,73.90503781919143,2.0,27.033553580518,27.16385863075168,162.40488663372918,18.73230969104381,3.366714312608793,2.457366150576492,80.92643726051182,77.04915757108544,3.0,27.02819865330705,25.71274603317348,67.09879796218952,176.30985404285235,0.9935879998594642,1.2661632782060388,71.58582115254883,77.29563601575917,12.0,23.986089147759568,24.1352319646666,257.05915324906283,25.847906500088868,2.484052907760109,0.7041537499405374,75.72899852948377,73.79065725060727,3.0,25.695083964761626,26.93497038722846,23.979062629862756,1.304864144226733,2.43930101707382,0.1961728501551356,66.13067489945806,74.30669111528648,2.0,27.65796780752996,27.837828649666296,9.260739035970971,9.260739035970971,0.1352099504433439,1.0668601778689446,61.04157443726616,71.44197438044009,1.0
Soledade,-8.056605,-34.893988,7.0,26.61082122198608,26.63318871108629,2.7328949468133743,8.704171802991317,0.0,2.78191165614421,63.47921836543092,69.73063849394256,2.0,24.40831886721171,25.15421688678496,81.77617718922772,18.475008890961902,3.090235726310374,4.174655501974415,75.92792120307894,78.1809004425298,3.0,26.96114987112681,25.39325075482634,57.12883323727712,237.81815262570592,0.1998317660667776,1.1217682323008566,80.76763070770802,77.63988547889834,12.0,23.302144366707022,24.03639307655439,133.65943624486374,53.78654741214592,0.411808474730558,1.96702534214843,74.75782068931295,72.77105658154983,3.0,27.817794863819422,28.54176174776464,20.741045896326614,4.712651174251273,1.3141030992168017,1.7617844078245124,70.86943852368185,59.50846247515194,2.0,26.042982616571877,27.58793966518085,1.1801978608396553,1.1801978608396553,0.6932589573496581,1.916399441977145,59.73181517021187,71.5912533803978,1.0
