bairro,latitude,longitude,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
Santo Antônio,9108146.872,292305.893,29.93378860068009,6.407492588793511,100.86922425021267,39.989128652541616,165.03954028760035,86.54056290421909,3.2442007352867677,26.032630062084294,2.3375201431375086,0.32034037033115403,3.418311188066877,11.984594926333205
São José,9106966.415,291028.633,0.45646521126444384,26.524726352740416,69.78375696065915,45.8183917005815,19.413634998267298,88.19174491407674,9.777370481554595,43.30199209976644,5.114815822609257,2.3858798998795994,7.369233097713777,5.982445044804546
Recife Antigo,9109085.741,292919.623,19.08234379327837,6.207109431781911,79.87973988655895,77.78920096216147,12.592632658344911,14.558989614348562,18.47436671316413,22.69585245358266,20.430103926222184,1.931818802558161,4.666416954796068,27.612461305329127
Cabanga,9106406.495,290656.46,50.612731565587126,36.78212919452184,24.476719398712902,85.50564501870568,19.530364648452775,51.9143459541647,23.410673795140976,3.840004270733367,26.51069710432807,6.310687468900687,6.389607832603781,2.882740226938841
Coelhos,9107760.014,291308.772,72.41325294494357,21.324724111634033,129.24281457506777,147.39524861542475,216.89625948193878,23.719274267926025,10.1881477172291,7.929330487938753,20.934030053406456,4.134586903809596,2.62430858106741,6.176927743254412
Ilha do Leite,9107978.96,291077.482,28.29315878953821,2.763404608206958,28.003785980492786,88.88003897319382,0.7875280137748746,42.59193311821159,15.879987329662068,14.98375693362976,2.383251024860332,3.360956852167016,8.010053724276691,42.661442677839055
Paissandú,9108194.842,290416.08,30.660137843657267,6.892309940950456,95.16808810770107,128.85565453358421,212.78721685563113,58.988652073405255,38.75220709271197,11.56605123056435,9.46629000879369,0.7015107389404704,2.739438619761466,25.798478762581084
Ilha Joana Bezerra,9107310.114,290425.748,68.73080879687959,23.007196067759047,65.35273849824866,99.89778148509293,11.529252305946898,21.30446105029016,61.09531838193598,21.91968259013131,10.986093564473231,3.654385005668644,4.338026286572128,11.136887748166549
Boa Vista,9109077.387,290876.732,52.135743594104255,17.718574087362438,96.82977510138228,133.23294138884975,0.40392817134332404,39.07360262604831,63.85726521665518,25.561978959095676,19.05932955672902,4.30814380387244,4.610262007514349,15.189195808751517
Soledade,9108960.796,291276.183,57.995540339309315,8.608763950102055,2.3806232495431914,60.86932129075871,79.64541118905527,61.878901092228226,4.07750848097826,12.070179001154106,29.617521059681465,4.830151209079902,5.660871906180152,40.94635292599128
Santo Amaro,9109946.116,291880.247,38.022019537846745,19.527135730010443,110.99488556905786,174.3515725217521,102.78000803049397,44.906576411093006,41.63408549265327,3.046761678912894,19.21256155292368,7.381777612036657,6.3716282595329155,23.0690166184403
Dois Unidos,9115506.345,288388.799,42.49684170791414,28.777315876463426,9.465231804242926,126.38755459345703,252.04656430995124,74.57819347782505,47.699194492782546,6.597127730413346,23.473802191303108,0.08947492743370233,5.593043761584497,7.479013018024897
Beberibe,9114586.482,290525.705,4.632856907417018,38.057864688852575,83.13784102243388,96.95834609354887,33.95195031724471,8.047704579314093,66.41385197110957,32.93418837528206,9.62072425624574,5.275974129323359,1.7001546463919146,2.654068678167606
Linha do Tiro,9114233.62,289504.946,13.468656890943034,15.276642436742538,32.67740214461392,89.13025751002645,193.90431304349283,63.805499483195064,31.435910384614534,29.654457782408475,11.691691584663053,8.743973064434837,3.8300491598119737,17.02131746208575
