bairro,latitude,longitude,quantidade de casos
AFLITOS,-8.03921,-34.89648,2
AFOGADOS,-8.07733,-34.90647,51
AGUA FRIA,-8.01697,-34.89823,78
ALTO DO MANDU,-8.02252,-34.9281,10
ALTO JOSE BONIFACIO,-8.01299,-34.91279,21
ALTO JOSE DO PINHO,-8.02141,-34.90814,18
ALTO SANTA TEREZINHA,-8.01548,-34.90836,13
APIPUCOS,-8.01902,-34.93813,3
AREIAS,-8.09423,-34.92781,39
ARRUDA,-8.02508,-34.89132,47
BARRO,-8.09533,-34.95008,18
BEBERIBE,-8.00485,-34.89718,27
BOA VIAGEM,-8.12351,-34.90339,64
BOA VISTA,-8.06176,-34.88729,20
BOMBA DO HEMETERIO,-8.02151,-34.90165,20
BONGI,-8.06597,-34.92159,21
BRASILIA TEIMOSA,-8.08278,-34.87895,11
BREJO DA GUABIRABA,-7.99191,-34.93198,6
BREJO DE BEBERIBE,-7.99837,-34.92431,8
CABANGA,-8.07981,-34.89756,1
CACOTE,-8.10106,-34.93269,4
CAJUEIRO,-8.0121,-34.88566,19
CAMPINA DO BARRETO,-8.01653,-34.88203,47
CAMPO GRANDE,-8.03165,-34.87938,67
CASA AMARELA,-8.02466,-34.91772,24
CASA FORTE,-8.03381,-34.91828,4
CAXANGA,-8.03039,-34.94912,10
CIDADE UNIVERSITARIA,-8.05442,-34.95163,4
COELHOS,-8.06698,-34.88854,3
COHAB,-8.12438,-34.95336,91
COQUEIRAL,-8.08786,-34.96823,10
CORDEIRO,-8.05114,-34.92851,36
CORREGO DO JENIPAPO,-8.00644,-34.93592,10
CURADO,-8.06813,-34.96186,17
DERBY,-8.05781,-34.89901,1
DOIS IRMAOS,-8.00438,-34.95283,4
DOIS UNIDOS,-7.99319,-34.91076,91
ENCRUZILHADA,-8.03675,-34.89084,7
ENGENHO DO MEIO,-8.05662,-34.94239,9
ESPINHEIRO,-8.0429,-34.89125,6
ESTANCIA,-8.0864,-34.92908,13
FUNDAO,-8.0149,-34.89039,9
GRACAS,-8.04556,-34.90072,5
GUABIRABA,-7.95329,-34.95374,31
HIPODROMO,-8.03258,-34.88711,6
IBURA,-8.12236,-34.93214,69
ILHA DO LEITE,-8.06571,-34.89418,1
ILHA DO RETIRO,-8.06375,-34.9038,4
ILHA JOANA BEZERRA,-8.06975,-34.8988,14
IMBIRIBEIRA,-8.10284,-34.91086,57
IPSEP,-8.11023,-34.9199,15
IPUTINGA,-8.03983,-34.93734,47
JAQUEIRA,-8.036,-34.9026,0
JARDIM SAO PAULO,-8.0808,-34.94206,43
JIQUIA,-8.0851,-34.92306,11
JORDAO,-8.1332,-34.94005,17
LINHA DO TIRO,-8.00967,-34.90527,44
MACAXEIRA,-8.0119,-34.93115,27
MADALENA,-8.05377,-34.90835,19
MANGABEIRA,-8.0244,-34.90296,5
MANGUEIRA,-8.07673,-34.92049,14
MONTEIRO,-8.02634,-34.92878,0
MORRO DA CONCEICAO,-8.01929,-34.91449,19
MUSTARDINHA,-8.07236,-34.91851,20
NOVA DESCOBERTA,-8.00044,-34.9304,85
PAISSANDU,-8.06284,-34.89875,1
PARNAMIRIM,-8.0339,-34.91038,3
PASSARINHO,-7.98182,-34.92316,25
PAU FERRO,-7.96679,-34.97466,0
PEIXINHOS,-8.01818,-34.8769,4
PINA,-8.09633,-34.89466,20
POCO,-8.03514,-34.92384,3
PONTO DE PARADA,-8.02971,-34.89308,1
PORTO DA MADEIRA,-8.00704,-34.88833,13
PRADO,-8.0599,-34.9139,41
RECIFE,-8.05669,-34.87087,1
ROSARINHO,-8.03225,-34.89784,3
SAN MARTIN,-8.0702,-34.92879,32
SANCHO,-8.08455,-34.9617,7
SANTANA,-8.0392,-34.91598,0
SANTO AMARO,-8.05094,-34.88144,40
SANTO ANTONIO,-8.0647,-34.87796,2
SAO JOSE,-8.07042,-34.88082,3
SITIO DOS PINTOS,-8.01111,-34.95857,2
SOLEDADE,-8.05599,-34.89057,1
TAMARINEIRA,-8.0325,-34.90102,5
TEJIPIO,-8.08694,-34.95511,30
TORRE,-8.04252,-34.90746,16
TORREAO,-8.04031,-34.88391,4
TORROES,-8.06035,-34.93627,57
TOTO,-8.08192,-34.96895,8
VARZEA,-8.04503,-34.96917,44
VASCO DA GAMA,-8.01178,-34.91906,54
ZUMBI,-8.05363,-34.91806,8
