bairro,latitude,longitude,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
AFLITOS,9110884.0,290992.0,29.129364681217147,27.41979493755332,29.022662220973235,25.868844490080082,27.03671571552164,24.76373427709328,24.32981421141607,23.86801148329952,26.200987664951338,25.353374977424128,27.587798782820276,29.023384852624076
AFOGADOS,9106661.8,289910.65,28.458767054145564,29.74297747999599,28.033889237747772,28.17199575015639,27.318020216979612,24.91853291914853,23.25022523159266,24.55842199160441,25.560810453853012,24.485857751550377,25.638628343451618,26.551032026607768
AGUA FRIA,9113343.0,290787.7,28.893503972498376,26.38899770234699,27.583536237734602,26.778685148115656,27.125973859476556,25.13976587228784,24.710356978887482,24.54384898882889,24.496033855235638,27.064588340309115,24.49127627122049,25.842233046225804
ALTO DO MANDU,9112712.9,287498.0,28.773700960945927,26.211972447414418,28.60224726359464,27.008110179025103,24.253110242319377,24.436225159828613,25.021569531005557,24.754341224328737,26.199470421642133,26.433034711058696,28.283012501680457,27.1763526837424
ALTO JOSE BONIFACIO,9113775.0,289181.0,29.561797835497075,29.787232827620116,30.32132378071904,26.872801340659446,25.683102312075096,24.374641000727063,24.225949741170567,24.146748244085206,25.674650096234238,26.53431120136354,27.257970284384548,26.679391020937665
ALTO JOSE DO PINHO,9112846.0,289698.0,29.417456937786234,30.66894469815226,29.16136270042199,27.967881198213032,24.910317008203055,26.009054842187805,25.986808557831136,25.613775429686836,23.391427787746377,27.347643129863513,26.41585904938535,27.111594002257963
ALTO SANTA TEREZINHA,9113502.0,289671.0,27.392786448049662,27.278933858284972,27.63258012164003,25.949895327495906,26.6976931538254,23.671356175593363,24.17723995010558,24.73280678320561,25.86163485072492,25.259119018631853,27.03776055287959,27.171777545973878
APIPUCOS,9113095.0,286390.0,26.88410654437096,28.85556972759026,28.269652998011793,27.684254120091797,25.706848732095143,24.068352948995905,23.779257677904777,24.22092841075796,26.539545692602108,27.14284447555272,27.32244048590329,27.340565553249817
AREIAS,9104782.0,287566.7,28.692269881598865,27.830752311760975,26.828833554972206,28.66699576189367,25.575592010374532,25.780192445770577,24.976742905794428,24.45445141518494,24.322208673831245,25.538755823444475,28.113032545710066,27.095394797274796
ARRUDA,9112449.1,291553.7,27.87143963918234,30.466395509946167,28.572126807605457,25.54924219139873,24.95946000553981,25.232729929343503,24.606517996419697,24.710123645995772,25.414891729816194,27.231734075853925,28.50162661648241,25.885005103442836
BARRO,9104647.9,285112.8,27.885422910151046,30.380541330472955,29.481868693875107,26.232574896178935,25.585508645858088,26.206230401155093,21.34371406474436,23.7634415608534,26.35949530237995,24.87372273168102,29.162053293867444,28.297239531838162
BEBERIBE,9114684.0,290898.0,29.028715072832792,27.488430557447806,29.92809791900923,27.135407081467186,26.46582081496562,26.343934463898247,25.70682801285835,23.830505488963823,25.345661704764556,26.929848380447005,28.742680644403446,27.58987437928349
BOA VIAGEM,9101556.0,290274.0,29.385156987314765,28.843694248649868,30.138881884737565,26.332409077932876,25.580683340732445,24.924929576687482,24.310641442945872,25.253285472558257,24.913818808997362,23.73183212975539,25.811525398167966,27.321125655703607
BOA VISTA,9108394.0,292017.0,26.26588974903837,27.292565086394976,26.93079757822044,26.74495686778564,25.0039599081994,26.342898499070262,24.42638070361351,24.231233195251548,25.016543525153562,28.329138884965886,26.992088192288257,26.907771155910037
BOMBA DO HEMETERIO,9112839.1,290413.0,26.021976148395417,29.148911249693807,29.144950960295677,26.864069289894523,25.418556971460262,24.845806183068717,23.824796697275936,25.16892791236358,23.63593768348456,27.86086800514818,25.96429178569968,28.018541597147525
BONGI,9107910.4,288238.4,25.68899395043553,30.475916147882437,28.295368469715804,27.05513120593321,26.07632045502754,26.16606896931638,25.55720008348373,24.388802944041046,25.51598777765709,26.972540752976517,25.818452203284004,27.771996018687773
BRASILIA TEIMOSA,9106073.0,292947.0,28.520671130525727,29.977287020193714,25.84083399876482,27.05820439612068,24.749646419792626,24.947288566282946,26.353186443441455,25.576254547747173,23.90313849174688,26.578380134327404,29.714871548885146,27.036106382380925
BREJO DA GUABIRABA,9116097.0,287054.0,28.41346613383189,27.848981063653383,27.112954855296767,26.942519560087913,27.8825393051678,24.01851243757442,22.89905015583784,24.58843712590777,24.899383721007926,25.0057025116461,27.67471547474625,26.931737687671223
BREJO DE BEBERIBE,9115386.1,287902.9,26.774990720476506,27.521168370500074,28.48976182174748,29.111959228288008,25.65591611112825,24.789376932038536,24.805760459342164,25.481575429209983,24.24677985262911,25.827340422437345,27.77605294684902,28.345049524775423
CABANGA,9106392.0,290894.3,28.088257819955135,30.065839510180755,26.34734743327898,27.23517259556477,26.180778237596932,23.529596503347676,26.38808906223307,25.668498164450863,25.378249240040585,29.067727222527125,26.14890193863242,27.29509629975373
CACOTE,9104023.9,287032.9,28.57801472997336,27.929640974241313,28.064946777823824,26.212710265025457,24.722821688278927,25.842061416021533,24.229574931850884,25.083358429447465,25.54622283903462,26.417603781278633,26.76480297784803,26.75634701605332
CAJUEIRO,9113888.0,292172.0,29.293542006808842,31.18860765426273,27.642072942468864,27.12369197327862,27.516531773503917,26.01506732748193,23.80146089814135,24.305615682812842,24.584163917653576,27.593716056097573,27.60693446416068,26.682385764274418
CAMPINA DO BARRETO,9113399.0,292574.0,25.92777411333085,29.05332556718778,27.969229558959793,28.400984557230217,26.218083806124394,24.60376016553015,25.651462835164402,25.624066602147842,24.46928547962764,26.528951957245415,27.975389165296576,26.718622936504122
CAMPO GRANDE,9111728.0,292874.0,25.665088549095188,27.033038678781786,29.68601593205698,28.169646318539986,25.989755184534346,24.370558767234847,24.511626719227813,24.264973408278113,25.217683066138772,27.194321555109617,25.171435836651334,27.97952796976805
