bairro,latitude,longitude,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
Santo Antônio,9108146.872,292305.893,26.754751236628465,27.22394430015232,27.257459119154,25.96111315853981,25.632318094415695,24.955159288284676,24.74467251629454,23.8545920812541,25.43736595632278,25.642361212905424,27.612261814973397,26.573987187083645
São José,9106966.415,291028.633,26.20996995688511,29.231688031290993,29.217251007104778,27.948947542866097,26.825040923364938,25.92590029151536,22.852393482315957,22.231312841633052,24.72332329281292,27.11289859579673,28.85133300334015,27.470628511962722
Recife Antigo,9109085.741,292919.623,26.467609947628322,27.88128974051662,25.7656979113387,28.904629457125985,24.949101998326018,23.4182153519918,24.672943616584245,23.483001019946236,22.567716336740315,25.950032973892796,26.085171422581666,27.14371687533195
Cabanga,9106406.495,290656.46,26.33283898541689,25.723544710857244,29.670701609345333,27.658686724130725,27.250895257530956,24.048368067438695,25.160794578658756,24.56594556249466,25.76390017139192,26.607427815523327,26.879785435596485,25.95796104229359
Coelhos,9107760.014,291308.772,26.93178579084595,27.264642123461126,27.472602400536292,26.86399739960031,24.771654578502652,23.647547410700955,25.38137001780572,24.243410589584123,25.98164347606888,26.72244613647108,27.01218499296175,26.88616300996648
Ilha do Leite,9107978.96,291077.482,25.417561292050667,26.847247733687723,26.798582457806038,27.94738907732293,27.564766236372403,25.418753412501776,25.35202922847833,24.275870870391064,25.459027076288788,26.431808453467582,28.601217109742024,27.43552382041488
Paissandú,9108194.842,290416.08,26.849682416801592,28.076717297427916,29.010977100470043,26.44746211439495,24.432418889270668,24.850453016846952,23.332328085150095,24.194136678093265,25.866843455109564,23.622639429999907,28.272938657292087,26.70410705414767
Ilha Joana Bezerra,9107310.114,290425.748,27.724371290487092,27.114243676859456,28.53714850048794,28.633141777785557,24.473782860688747,26.30746250258419,24.18063353271977,23.45674985425647,25.19572636387167,25.741225388138776,27.31609340353946,26.983120860860737
Boa Vista,9109077.387,290876.732,26.598978196600275,27.793727841998116,28.140225546323833,26.19414687118852,26.93771575233415,23.259989482750136,22.34884980790542,22.513306496825347,24.6510590585961,26.38366835661434,27.472092000925265,27.92521074032237
Soledade,9108960.796,291276.183,28.722985036082633,29.389015942926502,27.459592945871588,27.571801448759203,27.690018779844088,25.12136107576481,23.24587916742959,25.00360243966615,24.821174899257226,25.576480010031705,26.058056804031118,26.03514844092301
Santo Amaro,9109946.116,291880.247,26.872429396680086,27.92789461550921,29.779230937302867,27.869213886647856,27.94796456086641,25.24175737998667,24.583951448663903,24.319182449975155,22.553800980019265,25.1426914093523,27.93066082062255,26.074434434521315
Dois Unidos,9115506.345,288388.799,26.7504327019927,29.169892189670232,29.442302600429965,26.260152298884734,25.470654025009665,24.847955180177728,24.150372050650923,23.820595043975125,25.039582611288356,25.446579842620263,28.894734594819774,26.648539532329806
Beberibe,9114586.482,290525.705,25.571547495572606,28.370156113157954,27.6058118904529,27.64546121698482,25.7594104319348,24.702105564396998,25.181727437303504,23.566590031531337,23.43365503460014,26.3458811116249,27.754564845277812,26.811062042477488
Linha do Tiro,9114233.62,289504.946,26.926281201285917,28.363008052857275,28.219314409102036,27.532850350095178,26.737098001995946,25.305940422993807,24.735246240989888,23.859876427815376,24.685401898950214,25.725751901600578,26.612534869961014,26.487790778687323
Água Fria (Plana),9113172.84,291071.501,27.188296790815702,26.567611485429335,28.354583298881295,25.218697291152946,25.729890060002283,23.701364914107987,24.695504190794576,24.239898721389324,25.613745719783967,25.134349926230964,27.897406786916452,26.111064313868557
Água Fria (Alta),9113472.429,290156.813,26.92757963995174,29.660256662115923,28.324867756501835,26.353116308850467,26.920525952139602,25.649841442727126,22.72296881124211,25.320637285379437,25.386026675098197,24.65589192249545,27.274947323888437,27.487497178817694
Porto da Madeira,9114404.262,291240.722,27.221912643161517,26.756309831280866,25.703442914964498,27.407331752102493,25.610746077336895,24.520863003343006,25.479975759575485,23.009958573701404,24.918253898709697,25.44434689248066,26.308293790035673,26.91012372753248
Cajueiro,9113978.874,291787.251,26.002251129248545,29.412253466290935,27.794463664789816,26.83692136434386,24.69644402754249,26.325892283468992,22.991807141033284,22.293033214112413,24.081623722856246,26.13353029417864,25.75140742349982,27.913846161948353
Campina do Barreto,9113360.156,292045.138,27.05400610797255,28.92856722016117,27.21375345184378,28.990620214766075,26.00378123026212,25.689424524100204,25.610687799054446,24.25833456133529,24.198952344205885,25.645030484645826,26.710195502522254,25.75364392315602
Peixinhos,9113079.242,292663.795,26.02504963881297,27.9030905204814,27.43894272891711,27.15196036981243,25.736265628462068,26.57512009412886,24.43347621915446,23.682589643433914,27.573997977286364,26.172403089758145,26.65266328901123,28.24926516373398
Arruda,9112577.585,290778.65,25.63921542641008,28.45671303983094,27.606251083994817,27.648613614438123,26.330785401495344,25.780750540081627,24.32063383440851,24.8112610623956,25.272340366792477,26.621437808868638,26.071740846683696,27.28934919156213
Encruzilhada,9111342.984,291147.432,26.616431426598965,27.443298444239556,27.56581086687037,28.105001428313763,24.58059086279141,25.05979567014559,25.67302317186851,24.75697012564776,24.655977748109038,27.57134980642643,26.40590838166411,28.33903444154303
Ponto de Parada,9111944.964,291203.258,26.38780964000582,25.6463454458949,30.23468549949148,27.591872344699624,26.20992481651257,28.152058301744088,23.096734094810596,22.52533062733272,24.16024751862617,26.105230193980724,27.829917215337762,28.077977869464977
