bairro,latitude,longitude,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
Santo Antônio,9108146.872,292305.893,27.56527554075927,26.829160037151887,25.225089853931973,26.517009314983827,25.66169684225882,25.656011097377036,24.58922099679734,23.73260647274058,24.491160703932714,25.675704927753166,28.806487456800216,27.210441069320854
São José,9106966.415,291028.633,27.295887767877133,27.73573909499535,27.954830074573273,28.448978010062884,25.19509124440847,24.001953835328468,23.748222135761758,23.52205537607106,25.347029548530735,27.06751427263208,25.47276645361629,28.17357792248252
Recife Antigo,9109085.741,292919.623,27.162932271012636,26.724796777473113,26.60194493767323,24.461116300463292,23.38313652338092,24.735949348647125,24.279881928093754,24.51191800488947,25.304773044291288,25.528592743883213,26.823261052386652,26.080701221629806
Cabanga,9106406.495,290656.46,28.091703583511308,27.6432159951856,26.58475165966358,28.73623743312291,25.35937274835614,24.800104425615647,24.676293949652113,25.032094567438588,25.26270781025115,25.99406476704871,26.31043659215392,25.649689835623473
Coelhos,9107760.014,291308.772,25.546826161954606,26.221686934376102,26.71473064913342,26.477326580304346,23.529647486528454,24.080959838926695,21.763513597272464,21.218846220886512,26.34850810513985,26.089913936489385,24.311425178422603,29.15237991432878
Ilha do Leite,9107978.96,291077.482,25.793699659833816,27.549770004776924,24.576424291441377,25.98244680334955,24.66474265047623,27.16398015152328,23.380721265070008,23.43109249097111,26.293554513426823,26.089439276197897,27.744019763163188,27.611921659007294
Paissandú,9108194.842,290416.08,27.611621443109325,27.480141759828737,25.83468539087924,28.27449975867775,25.966376300357183,24.744006342697443,22.54263887069276,23.384395982620344,23.492313214124387,25.29180244347188,28.313440692039105,25.800898760389074
Ilha Joana Bezerra,9107310.114,290425.748,26.71174045683236,28.941537149530884,28.44913978445487,26.50637355129239,25.88949824445091,24.95131857775734,23.396566909022468,26.915546295301215,25.112528944591844,24.74062037070599,24.874715503017892,24.899801628188403
Boa Vista,9109077.387,290876.732,27.741727378348504,27.39547969408273,23.928061571198917,24.71713129811214,25.80993258464901,24.218962480900533,25.767301044513268,24.96023619811283,25.049288549615277,27.190166952562787,25.840877974895673,24.364055408764916
Soledade,9108960.796,291276.183,25.752374264487468,25.850548424728956,24.70855746461453,25.2650081468182,26.193397206803347,24.874040836863337,22.83484713211922,23.536331947484495,24.58991599381379,24.634842756947293,24.66590693810201,26.684636913886
Santo Amaro,9109946.116,291880.247,27.593075076233593,26.777533930323138,27.73690452615692,26.59240536594374,25.204602060895052,23.64742941640253,23.74638735325149,21.836960588150692,25.00897695372011,26.165586979682796,28.86637924176993,26.87498783402794
Dois Unidos,9115506.345,288388.799,26.004924897037245,25.12945867051804,24.92812856190046,28.078617870206777,26.852367749461788,25.640828273581022,24.221273917636715,22.92809229402125,25.617810556428743,25.01804421009421,27.571194572738673,27.592934175344073
Beberibe,9114586.482,290525.705,23.348264075401786,25.10115617200088,26.345288969514833,26.49347193368285,24.821136299465774,23.559286367285445,25.334007646240583,23.944161116138854,24.552041730867085,24.630385577546402,26.65616335156786,26.541180778665765
Linha do Tiro,9114233.62,289504.946,26.130132444634555,29.009607552140675,26.242850013265144,25.73831216115881,26.109137092784355,24.04830372768874,24.02208856201637,24.520439236377126,25.592351586046657,26.266436370042218,28.233349535360517,27.278101202949564
Água Fria (Plana),9113172.84,291071.501,27.125333980160597,25.86178600505577,27.054014846864643,25.278153887899936,27.00837740596113,24.558323918419667,23.018044873758488,22.443089903749836,27.371165131900906,27.396001783737805,24.54529151138703,27.220227300671752
Água Fria (Alta),9113472.429,290156.813,25.7791030937207,27.8291044234007,26.89175833102065,27.881336724185452,24.629057081102236,24.20925346235852,24.21036387533604,23.383409960639003,24.299934391451963,26.721301147559238,26.590373296408675,28.233455843618447
Porto da Madeira,9114404.262,291240.722,25.730770525630135,26.538213560357118,28.150254634638884,27.633331129351607,25.555155731107053,23.9867057078255,24.1370322340474,24.577669935612207,24.611550016292092,27.47768058622392,27.68505081868829,27.122835664544013
Cajueiro,9113978.874,291787.251,27.64086776899518,26.540806526919667,25.607938037894918,28.067517333961803,23.840468657343855,25.834299854599628,24.828582865520683,22.608099969603625,23.240958075144988,25.82876526106578,27.939650832588534,26.778054577285054
Campina do Barreto,9113360.156,292045.138,25.650062625821086,26.93429312029993,28.033669047719464,26.202022121642923,24.72180320784503,25.66707718266077,25.94681824867928,23.127217483065408,26.40096804640636,25.11131289497386,27.760254181802253,28.811080007704682
Peixinhos,9113079.242,292663.795,26.50295233165312,28.23455162238185,26.429609016067356,26.61920443394058,26.501395642817617,25.26330471798244,21.878180758308947,22.829868452861408,24.726655668393818,26.298453596587333,26.670120094400684,26.99360186684027
Arruda,9112577.585,290778.65,26.712400025168808,26.28057174990737,25.192423783732718,28.800934705981152,25.521421613704828,23.61980574009936,24.245112112707325,23.89185556828402,25.064263914948683,23.031441287398298,25.87832397542497,23.60787647493561
Encruzilhada,9111342.984,291147.432,27.21592311674365,26.47930879782065,26.143340255709408,26.34865315792589,25.612533348493642,23.529845942055246,25.569290763707762,24.488633716325285,22.85989208468528,27.294080195642408,25.265495563318165,27.49825563631593
Ponto de Parada,9111944.964,291203.258,25.477177021689187,26.215267039155687,26.445979556508497,27.992416847034367,24.36093417795861,24.887173176540013,23.150726772730067,23.860083407401632,25.6256815529243,23.80366258198654,26.833953507254567,24.766138784497805
Fundão,9113692.115,291141.885,26.915519143308078,25.2019159083506,28.56375275957197,27.612821882051417,23.912204348226407,24.57272190223583,22.117794493153344,22.936791272594785,25.311177112216484,24.90044765407617,25.76582944077955,26.19069060900501
Hipódromo,9111681.871,291492.858,27.287892734781387,23.852933909941818,25.29546063042851,27.79994339246312,25.168020658820012,25.710195934051804,24.39842433174174,24.410279142587832,25.901294024146235,25.33483075544501,25.129654016060186,25.836960454147906
Rosarinho,9111613.61,290381.157,27.376217331461007,26.326582487415298,27.254931773134903,25.368277505506732,23.95789925803337,25.20146590268015,24.129639476029837,24.593704808071227,24.69687880942425,25.035619280542733,25.11191245374664,26.74308318828394
Torreão,9110784.651,292131.119,27.24954233779006,27.03895628248518,29.358245392710717,28.43792730525848,24.6510405490505,24.215563184429893,24.100960586717264,22.89247169843969,26.33902617118539,25.35910649211738,25.876290216994835,23.857329853440998
Campo Grande,9111851.014,291827.584,25.370247180743647,27.035923735715457,28.209474847033455,27.825606291547338,26.25444420220094,25.24477211604189,22.692810958410206,26.404839801368947,23.676676615834797,26.398916584716495,25.658521246323573,25.725909906690653
Alto Santa Terezinha,9113598.2,289883.467,24.743741893982204,26.20995526526243,28.609463171194054,27.166863940583276,24.31863497917376,25.084950455868277,23.621535656695652,25.74299006668312,24.505493207480193,26.31080120113549,27.32274100801792,24.79885350751472
Bomba do Hemetério,9112880.579,289851.021,26.066202869113287,25.464844690498076,27.44727798270818,27.336859952415562,25.853147761110645,24.29076944722422,22.386601244670164,24.23159761243742,24.464063434017493,25.920548444662053,26.5602324789241,26.52848359130649
Derby,9108891.462,290104.934,26.66900177644731,28.148339806146787,27.530660279030975,26.034920140289028,28.440637610101028,25.047613034981733,24.879903488725606,24.430039825949848,24.375936676636005,25.273489078672405,27.02580651547124,25.86362559002337
Graças,9110255.798,289708.079,27.636820846043364,25.7666173467436,28.218456375447616,27.07038430124966,23.487368771465157,23.996733118389688,23.151355361006665,24.425432813561937,23.281684138848206,26.911637362696258,24.481409957695554,26.418840658656773
Espinheiro,9110331.328,291132.224,27.114106153818124,26.56161892305695,27.98896246407322,26.00205118416001,25.19089982051402,24.322954108694347,24.6240414632584,24.403003025467633,23.805934074219632,26.89381996684558,26.639028414071937,26.44522730017427
Aflitos,9110761.843,290578.478,27.100659483082367,25.105840460284544,26.783644468720137,27.208914516243922,24.839451678650686,24.692500746874256,24.826618478285763,23.47201121792913,25.405236926208612,24.94215936719729,24.973146232452972,27.977119048519402
Jaqueira,9111017.043,289466.588,26.407367801670762,26.10358050887462,27.850037072286614,27.26464139820769,24.840714427523853,24.997862284897604,23.5089380277388,23.673074387911303,24.256337010347472,25.333117494333603,26.345047742173275,27.23701853894142
Tamarineira,9111760.594,289914.716,26.57751091404143,26.38002637270936,26.380255533554124,27.17063856257893,25.09744469411726,25.890307571858106,22.427591680774523,21.955196771832565,24.529508223156604,24.234386303870263,28.718337029630188,24.625564764650534
Santana,9110759.51,288467.83,25.59845792967785,26.586513999142873,26.460722932123538,27.08879169834839,25.878775500353065,24.08158837749224,24.946521456831054,24.55196974829524,24.240145745779003,27.19931701862099,25.873280008261116,26.792470996328127
Parnamirim,9111469.017,288892.196,26.212132958778824,25.841332867442528,27.680899923553554,28.006776930260344,25.176437801872186,24.347254320605625,24.018546618648017,23.148166090106987,25.940399953649656,26.056918543360293,26.41049650469942,26.584653229212044
Casa Forte,9111477.721,288043.907,26.472375420871625,27.441529072412898,28.45404315081842,25.86875385833281,24.966501359634194,24.565476104059655,23.13871101350134,26.969638778085457,24.908336038946977,27.2675134821522,27.259280951656645,27.353393727244825
Poço da Panela,9111288.519,287134.705,26.67572616272564,26.92323021569373,27.366144378944696,28.856876918033777,25.68832020777535,24.15046622223475,24.142535319186173,22.260103536956024,25.071071183664113,24.990736691310328,26.550104210860596,27.360628780955533
Casa Amarela,9112326.465,287770.32,26.0654218300831,26.69643587862062,26.68262314788726,25.352829206974537,27.22335744707528,24.68289440241219,24.633929664179412,24.446443183806156,22.401349244111103,24.33773935725152,25.68363097359048,28.224642354108635
Alto José Bonifácio,9113759.53,288635.574,28.482701323807852,26.164580865527313,25.517110408597176,27.447810895626834,23.676951085108918,23.909206283602153,25.912823359534613,22.702371193686847,24.141454164369872,25.619942459885877,26.9866918866841,27.335500106842115
Morro da Conceição,9112984.079,288535.632,27.639232943142687,25.462774479985423,26.232991060700133,25.980860570862575,25.590360423159684,24.538213704765585,24.570049036845376,22.472642934924142,23.955733928607362,25.507597937961556,28.223053447331647,27.44594114871449
Alto José do Pinho,9112751.629,289283.565,27.472200363764312,28.020294249321644,27.85579986710187,27.570009094340104,24.037708435765303,23.73875204167842,23.287834307272835,23.265667845719726,24.34410555271437,25.492848090496835,25.394040191613623,27.705540878546937
Vasco da Gama,9113922.665,287550.762,26.821619667193993,28.95032132794446,27.45931360849032,26.249335035807775,25.046718981718314,24.57252510831144,24.09416941775334,22.775209190544835,24.311615745466227,25.301984745072424,28.420668529509612,26.89450978073785
Monteiro,9112251.966,286935.676,24.595730674682102,24.844414079322558,26.559824511056096,27.97279655047137,26.492064606178836,26.147089168104692,24.814798287156894,22.433569315160973,26.38799501275586,25.31517885552342,29.287228112677163,25.188674164914516
Apipucos,9113185.175,285711.387,27.341036264796237,27.2154730618743,28.153897081091234,27.382101759373107,24.54597998645329,25.297221175760356,23.294223056681027,22.907913066258594,24.58998887434279,24.560904777435468,26.0259128649825,25.157637103246405
Alto do Mandú,9112720.118,286967.594,26.441002577884763,27.05948346228192,27.81468014710927,26.103945006440888,25.465843695993,25.16080187128016,22.491418920758356,22.015467781887146,23.709289394966664,25.49583847208875,27.502270246989045,26.70491644358543
Sítio dos Pintos,9113652.981,283248.377,26.41442858786205,26.91859586091573,26.75107832316667,26.148929405356686,26.866314762921693,23.644837650576005,22.967969410966987,23.746146946906943,25.0027903555271,25.288123191779963,26.68276266993682,26.330642761462958
Córrego do Jenipapo,9114931.748,285628.687,26.41232979873379,24.46365455242011,25.308955181530134,26.384769526261955,25.889348587243422,26.085966787735245,24.137970814583095,23.49011160160414,23.57659563648122,25.615853604757305,25.430590484933862,25.30468934628427
Dois Irmãos,9114316.891,283046.585,27.000891587346025,26.433240816042417,25.741794265460044,27.565968733225215,25.708842378187345,25.782770526171706,23.660068297308193,23.566119254183548,24.607550567958715,24.985514372853302,24.304554823415295,26.57610187399094
Macaxeira,9113929.124,286266.928,27.143192697299767,26.661546352512886,29.247581592147174,26.376750590668404,25.008330764375067,26.12535560225361,24.777147904995022,23.136015255931756,25.296741479004307,27.222589030795636,25.797595847968083,26.25983458233563
Nova Descoberta,9114374.078,285455.447,24.978626094537905,25.030205239703736,27.762991553499553,26.29309202479542,25.05869680590782,25.64707319970568,23.979972094888765,23.132789502275312,25.35860861415813,25.200497168585034,25.41899671190286,26.284043557662514
Brejo de Beberibe,9115426.776,287368.207,26.836333068607775,24.8199286835539,26.217701656508492,26.398600684956573,22.55859594808627,26.193651619719,24.01403867494875,22.099645972181182,24.791413051030123,24.48037120650448,26.672186786217598,26.97654580705979
Guabiraba,9118925.116,280472.66,27.07570086479654,27.23797377189499,28.04755939425427,25.66818108161666,25.629554972371945,23.14481560615782,25.176964104053734,22.845194197939534,23.881088496073083,26.3285496805937,26.04990551064696,26.193074400882587
Brejo de Guabiraba,9116011.252,286470.068,25.273933046702346,26.26263251616247,27.393429898228558,26.92999764071495,24.824770004495594,26.492298252852617,21.986115619675246,24.399757679085415,23.43401823905633,26.351183588479035,26.09323433891242,28.166011372727493
Passarinho,9117604.478,286529.856,28.255013689384608,26.952221256604098,28.31034069900687,25.1169907362986,24.222988484222423,23.62656160763721,23.526790878961275,24.04048586440459,26.87031699566906,24.502077516817984,26.46199799855623,25.189070652821865
Mangabeira,9112583.36,290041.311,25.444292452616914,26.219463429155645,27.622898489946788,26.671195974748784,24.707569252753522,25.71963653153447,25.981184380598467,22.68813473290392,24.526403772853023,25.738826478624038,24.86233888151135,27.69767643212122
Várzea Baixo,9112566.575,286421.591,27.298605272913537,27.11773187668078,25.345211252252472,28.46917455088844,25.599629943430404,24.872367951892357,24.261218377814956,23.189773236448627,22.969546377913648,26.07325364571647,26.76806995529317,25.680581412583997
Várzea UR7,9111147.548,281788.536,26.87048314132227,25.758407392926454,25.090605700707602,26.112606017199326,25.44518500907593,23.666841716660578,25.48645994233568,23.898898637750893,26.68068395858353,27.86353766161159,23.441009665637555,27.698705391720956
