bairro,latitude,longitude,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
AFLITOS,9110884.0,290992.0,81.95227301451906,75.20561171747298,80.62174205456868,85.23975919424285,80.23524016231379,76.71682329259144,81.96329428377844,82.613597222754,78.12282457478301,72.529675836384,65.44534268951395,73.1900831264372
AFOGADOS,9106661.8,289910.65,84.02227229913717,72.77406196858652,72.25271290486091,85.15236262773982,83.83728282601565,85.53380685399618,79.60791701595245,77.29842663257868,72.8107463018826,67.02601105403858,67.42410760297936,70.55969589037656
AGUA FRIA,9113343.0,290787.7,80.53137346848946,69.54183339461873,76.13834682405768,85.62098870849077,85.31467336506658,77.32327224168822,76.4746162337387,83.45309962077305,76.62260963519212,68.72722893960503,65.10490333755679,75.80506678695079
ALTO DO MANDU,9112712.9,287498.0,80.58235844040499,74.11801305434818,77.27278604813371,88.09834630381556,82.05921523401179,82.49863706514999,79.99447876838924,82.68254282750073,75.51956592112725,74.09764680044651,71.06565661483997,69.37020949178363
ALTO JOSE BONIFACIO,9113775.0,289181.0,82.69865648458133,76.88402779904578,78.82909234733472,82.67676773569991,83.1179863469065,82.8692062941475,82.3355606024178,77.44283688017853,67.16938958250473,75.32558592196891,72.69159297852417,71.32815894214038
ALTO JOSE DO PINHO,9112846.0,289698.0,81.62952538247715,72.18957883331343,81.03353337711665,88.24414191528683,84.95286796807088,83.01355654819656,71.16939320034996,82.20951946409195,77.33002323706498,68.48127091239789,78.06288434087867,72.32631832523744
ALTO SANTA TEREZINHA,9113502.0,289671.0,82.20897052242704,81.53729524778534,76.84067232769121,82.77514108646781,84.77342530098964,82.53551590342671,81.06835047789035,80.65434289815622,75.32952441080259,69.98484554500995,74.16182611951709,72.29312933096323
APIPUCOS,9113095.0,286390.0,79.31149634778195,79.3113811476248,82.8080446003507,86.80376815643162,79.57726380528285,81.91460040029537,78.42600717126379,72.60856616410402,82.91109005379607,77.85993753512916,61.65132729688095,68.81246359049689
AREIAS,9104782.0,287566.7,80.84728923780501,78.6480983651048,80.68241332319998,81.97027645042209,80.59489504366412,89.07231314858939,81.41972357264856,79.13837964924016,71.62149442077305,72.58527018930002,67.47610195990853,69.62852293711029
ARRUDA,9112449.1,291553.7,83.12028472323037,70.60281672837324,71.56469955228901,85.33085765062063,76.7428175633368,77.25064389799756,77.8673426226269,81.60778872899732,74.23210312784265,72.35589596836937,71.46965450596664,69.01847741249343
BARRO,9104647.9,285112.8,81.76822412815773,75.7461751162806,75.7829902017912,84.42336592843752,77.92758711418314,78.78318237169793,79.40361617908944,77.18263476327257,76.49140330110207,66.84201361285949,76.10739476438624,81.02090072235309
BEBERIBE,9114684.0,290898.0,81.62870452364915,74.90420178867312,84.02712203204017,86.73877369774664,78.6338878324991,75.78709200850716,83.58143988269725,81.32800519619465,78.03018326456797,72.73223583882447,67.83804104682457,68.69524367086373
BOA VIAGEM,9101556.0,290274.0,86.55583269455926,80.42778706606963,78.58039443564269,87.47045540164326,82.45220009012182,78.00763313493809,75.63553342616754,85.91250800906562,79.96170061436597,73.12610452302962,75.38261431996762,72.59305364039801
BOA VISTA,9108394.0,292017.0,78.3031247273893,76.78162346449827,77.64248240380608,83.72632883335524,78.9159502968546,78.71069082021496,80.9393024708668,74.9325447848291,76.6230803042495,70.75620067411738,66.9644048621725,69.44313823599332
BOMBA DO HEMETERIO,9112839.1,290413.0,80.81366147881805,80.22167165514892,80.04205414144664,82.64008704083578,80.44014149465376,80.01035505052612,80.03930681853083,84.74467585469286,77.43716770654883,74.82721951260255,72.63686942910309,74.21103305782094
BONGI,9107910.4,288238.4,80.30485720531439,80.64284728526627,79.84790273772852,81.43851661970044,78.10485403797186,81.85286526593583,82.62446674921677,81.97902979545502,76.88006676199939,75.68946828677518,68.87251217056767,76.54861062431085
BRASILIA TEIMOSA,9106073.0,292947.0,79.18285547448366,73.5958921133191,78.8157060527972,86.8457054609974,81.2743833253778,81.13866440495568,76.61878650734765,74.12835040613793,75.08148278404006,78.03230291510533,71.63974173455627,68.85140713293276
BREJO DA GUABIRABA,9116097.0,287054.0,81.521394606491,76.15590671614706,77.09170866565552,86.69302540497786,83.47984360253982,80.9525786335453,80.79961220370876,78.22988550891246,75.43377639999404,74.26736581931499,64.90254906000779,74.05461007338317
BREJO DE BEBERIBE,9115386.1,287902.9,83.61925474590785,82.21294250362479,79.17163097150316,87.81089603464011,81.23868621471902,81.03625997176731,78.93416263091714,81.17778944614656,71.34712066543798,71.7778645909885,76.54405224778716,69.51984130750134
CABANGA,9106392.0,290894.3,80.63753861128066,71.49352795956271,68.98806798361991,82.22464357174043,80.43370875440742,78.34046571559058,78.35370240121293,82.06567208984765,74.68663754069495,72.01414725734436,77.34271087824662,70.83598971224195
CACOTE,9104023.9,287032.9,81.29409190229825,73.74200182226755,77.90218430292256,83.91656571623938,77.03253504760495,79.7590003499335,82.80293467098133,79.90347242679809,75.87634742452228,60.51585400775051,73.33855189264028,75.27493719970397
