bairro,latitude,longitude,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
Santo Antônio,9108146.872,292305.893,69.63574535166345,68.97108086450304,87.19494892819927,87.81428485454899,85.35354245899833,88.32089379346172,87.97718539045601,81.75210944652429,76.72925014275957,77.29173792208871,70.05426902958145,85.09132458694631
São José,9106966.415,291028.633,80.57051589511225,78.42470612180469,81.7273987352398,83.49682775234268,85.74708081938051,93.94807653304387,85.08526857014604,83.75540465519126,78.11718323155398,71.15958567087515,72.35775771875512,80.8799251419634
Recife Antigo,9109085.741,292919.623,76.74875809683698,76.81400438707328,87.56845253850409,93.36671626560862,90.82122975191616,88.91392699674876,84.99616395176831,78.97006495704044,72.75225925116682,70.44947190064073,67.93718605037924,80.99539626423612
Cabanga,9106406.495,290656.46,77.27003988219982,78.4591684308625,77.48869126853623,87.22831104705475,87.94201781528257,86.80146021413556,82.67697853233864,80.66878327649181,73.7278689404447,71.65064968016489,70.76226742606836,80.5934399514156
Coelhos,9107760.014,291308.772,76.69408734140839,62.775926301754424,85.64227608508885,87.9695348255374,85.60207120712352,93.47485431471863,89.50804229114792,82.31404826529808,85.14955941940674,68.58330004780814,68.00903209157389,83.54456394732551
Ilha do Leite,9107978.96,291077.482,70.38279730152884,78.72496103603906,77.85651830662343,87.29532454522209,91.04612509270457,94.14040129969499,83.89924665165681,72.08008431999458,76.06659996155238,76.01242969516558,68.0398723772763,85.47319049875205
Paissandú,9108194.842,290416.08,83.09541569560791,74.39826910617025,85.23778078551632,83.86557707203636,85.75286503449252,90.06051183539866,83.438701979549,80.55272277742475,69.89339555863404,70.61547762142703,60.909009469266074,86.218895962757
Ilha Joana Bezerra,9107310.114,290425.748,75.99766470467785,75.32119730013302,84.62101170552869,86.98215691371642,92.92868874027737,98.27324151709169,82.5915894849077,82.39290683229918,75.39650970916213,72.98792225331617,64.6299099855728,74.94890535705873
Boa Vista,9109077.387,290876.732,76.10920281348889,80.68194526145031,76.17327367122901,84.7541991709998,85.14433847998438,89.67705353085825,81.94417280227923,72.5112370632325,71.26285269234901,70.44685774952846,66.37915212678365,80.38356148151777
Soledade,9108960.796,291276.183,65.67991109011395,80.81152321087892,79.5383819047773,87.44471320029356,87.7068157670817,93.17662310958872,89.1153912023607,89.3746116095834,78.85193770736664,77.75261003839066,69.77451816338039,79.73799116948972
Santo Amaro,9109946.116,291880.247,78.20939520052252,72.1676764931209,71.93384005072275,94.77095731751801,89.75489521765292,89.74529913994284,82.92199118164682,81.17073588334758,80.33580601429847,68.63590776091961,69.91983291628756,77.00143255967161
Dois Unidos,9115506.345,288388.799,74.24025313822854,66.59861591042838,83.16140129359442,84.8583956871223,88.44059918373385,93.01332123254704,80.42528992863984,83.9958804900808,76.87501116756728,71.65287106962515,71.4661947351927,79.24324695635464
Beberibe,9114586.482,290525.705,69.71537223414066,65.7568317388677,73.28879571931068,88.99621484988444,91.33928605742285,90.67993695170009,82.72585309989331,82.80576025957437,72.22318820506715,73.09623118410524,63.48076359458744,81.27434172437499
Linha do Tiro,9114233.62,289504.946,72.77344036325292,72.96812595545342,77.34105710974497,86.79426741123949,89.93521424004172,93.43617157666247,90.42705545966628,84.88183183382372,70.98151685091342,69.65063502027456,69.96893537189989,79.8451991208891
Água Fria (Plana),9113172.84,291071.501,71.47191803443386,79.08875042684559,84.01266297157981,90.4527685048318,89.74041079262072,91.54154277229084,89.60916561085277,83.88903714720063,77.63216257493363,79.7164218249865,72.97757290920808,78.18247934315573
Água Fria (Alta),9113472.429,290156.813,74.26021906950507,76.40770753084132,85.27085150705796,83.62232968678194,86.68762224707332,90.34384156810383,82.32823746610339,86.48882158633812,67.48111542269561,73.18025642851964,74.30475479793176,83.73106952638769
Porto da Madeira,9114404.262,291240.722,79.53801330759508,71.54484502964472,80.62495467737858,84.755296858557,90.641741904715,92.84230831379386,83.5228471906533,84.33623359119785,75.16259321867287,68.62121194018339,68.93478474217022,81.02621347566162
Cajueiro,9113978.874,291787.251,72.45625779871045,75.2465236405543,82.99039562254052,82.74739371914326,88.43772771035395,91.64405858106919,87.15601020739497,88.77821138014099,79.883775917517,69.07068466421073,66.78712012908342,84.75685415081979
Campina do Barreto,9113360.156,292045.138,73.6666661376705,72.76987502689762,82.04046677405543,84.35084604711847,88.38527112742221,94.49172497291656,84.01624310067817,79.32874225826839,72.75091044293983,75.29932002559705,69.9629904173825,80.20586761406608
Peixinhos,9113079.242,292663.795,76.7508931093745,80.7637616062008,89.60912709557209,87.99780517789438,91.08610524247838,90.80852785288874,84.42706382739098,84.39082004589177,77.55483800211702,77.59491332181344,78.07530692859103,80.84450071298602
Arruda,9112577.585,290778.65,71.4201236386909,76.19763366572371,83.17976810888096,88.61760456313611,85.8376865904687,89.05903313139241,84.01648288711876,81.48319365591937,86.10737900716991,82.02964991862825,71.33034636379844,79.13909557679898
Encruzilhada,9111342.984,291147.432,74.57797982481858,67.33413567413334,77.41813066545812,79.95793238236084,92.54517054360392,88.58895828477087,85.66434735825938,88.40888698237639,73.07966607082459,80.83347095831644,73.67392788523989,82.58739526654053
Ponto de Parada,9111944.964,291203.258,70.22023342847216,77.66703225871753,82.63341374096294,88.22103610751067,91.802647457001,95.44501102771466,91.96436895430219,84.1360975679317,78.4339914543578,68.6584770608552,70.86716309460786,75.59607223200562
Fundão,9113692.115,291141.885,66.33140002565472,78.9054516444003,81.0354467953049,86.94158533598029,88.1231461302637,92.29977926116584,94.40317605858905,89.12190677790973,77.06696321310439,74.36545981306278,67.12730544944367,80.81078400233378
Hipódromo,9111681.871,291492.858,64.53539752109204,75.12411147792065,81.12185091351851,87.52501496426089,90.88000647181408,91.70080607307266,87.48330074725445,78.77321049627456,76.89607897105101,71.8820614917703,54.279982289670336,80.41267169348336
Rosarinho,9111613.61,290381.157,69.69111475714405,72.9107898224445,80.67449756485658,79.4647756804981,85.54762352692875,90.4044722481787,81.38139408764897,83.02997361043114,80.93208750122088,68.45046988099801,70.37983077840818,78.38614988137435
Torreão,9110784.651,292131.119,68.61233429056595,82.59486403427901,83.9161384921654,88.04237281563549,88.6921603152536,94.26278333329655,87.35202385734996,81.87943777825974,70.02525777405413,63.791282077664924,73.90521907202056,77.80144737334297
Campo Grande,9111851.014,291827.584,76.91718347839938,73.0025424972274,81.84760928707811,85.4890456282991,92.5710250900151,92.20213766211478,89.7355370900454,81.36078792860847,71.98573492539985,72.17272202825876,67.0285153933124,79.02492736382439
Alto Santa Terezinha,9113598.2,289883.467,74.07443869204643,72.32588588745443,86.39470030942147,91.8190939414295,88.28238166576878,91.8740205267368,86.0869497617335,72.99120621506997,78.8438260184928,71.5884605972429,67.07561352210979,85.12386088229786
Bomba do Hemetério,9112880.579,289851.021,78.29248653196372,79.75875175628104,74.66601940617691,84.03417103307986,91.62669856652934,91.49375783531222,88.47997517572126,79.43363176361315,73.08437234708875,77.068696319195,67.59070091091476,82.65235443183954
Derby,9108891.462,290104.934,69.86544604644973,76.21558141341568,87.98268731216805,93.85127963788516,86.91355296275253,95.03165599291701,84.2889591518364,85.50440482008854,73.02295537809935,74.55707356610735,73.04958533832067,76.3255916530697
Graças,9110255.798,289708.079,75.23266840806785,77.65818043769075,79.804202373213,88.7305877984858,90.79016730057265,92.05792794356537,84.08852294956712,82.55414577213332,68.34345559852979,76.03349546647829,57.61971311841718,78.35230630535156
Espinheiro,9110331.328,291132.224,72.37750556242186,72.7821147478575,74.83232978486346,86.90907330026947,89.51655259205366,87.10394782149282,83.25610473625034,86.87610300449924,71.5480362051437,73.48675191678927,74.205879329838,83.36339967148774
Aflitos,9110761.843,290578.478,72.66461546892138,71.31703297223541,83.68478201426339,79.4004177168189,88.81334235002028,93.7468602838972,85.00605106622862,74.32549982141762,76.37912360848246,76.33205559247315,71.04032754827246,84.79907232131123
Jaqueira,9111017.043,289466.588,71.88416052496567,71.2276581856671,78.66841067881688,82.78646050334315,86.32792049636308,89.14368029284917,83.56355301342636,77.13512777833843,70.5300902035679,74.91200986704385,69.75779615799024,80.22975124415508
Tamarineira,9111760.594,289914.716,76.2859895675073,77.17565301633796,81.4240556997224,80.86736595393381,91.8848304640581,93.1655842381026,85.40527727140571,78.1801577307681,79.38734171607949,76.41325392898177,66.46967859191265,76.40975615254143
Santana,9110759.51,288467.83,78.34471971428958,73.88907567222901,80.0600000115239,85.1928428160399,90.3171386100545,90.96655612077015,81.48637262854639,85.34591237104078,77.1564187919608,71.54832724562736,68.20449505029333,77.98719802980719
Parnamirim,9111469.017,288892.196,79.78551174116953,71.1469059725044,79.54163978300903,85.32728620392683,88.09774600647616,90.69415065005498,85.3733470972056,75.46812845919776,68.18335957565509,74.40278596376866,69.26526491316713,76.99536252985907
Casa Forte,9111477.721,288043.907,76.76047092342765,78.77921416848363,82.72886757081632,88.07925404444232,90.16970498546252,89.37714996654327,90.05884686182587,82.00147467924468,70.58104285655884,72.44455599830167,76.85627407347168,78.12474067225432
Poço da Panela,9111288.519,287134.705,76.49374842635785,76.6775471044119,87.17257788326395,92.15233545624575,90.54160588781215,87.79827300465516,87.61381871938393,82.51881247545212,70.83594042334558,68.96624133109833,68.36022974716224,84.17735281849679
Casa Amarela,9112326.465,287770.32,67.38114618849697,76.84856070565972,83.67207567515732,85.35374511684617,92.36310272669981,91.14299619522122,89.5734876434267,80.88712231190095,78.00460074288537,66.36831262964168,61.22924219378413,71.97137991159913
Alto José Bonifácio,9113759.53,288635.574,76.62291693451458,73.11778245056604,88.25157229008498,85.68129576265964,87.4534724065587,92.82538168472706,82.82580625195888,85.60494751653742,80.68077333313484,78.1947120132935,68.8049873186286,77.27853595928964
Morro da Conceição,9112984.079,288535.632,72.3018724831816,69.52915703511293,83.38808458205345,88.8640473634906,93.87270343722832,88.75661763992866,85.57216236553376,82.32573013500317,75.22693521390117,71.96924128920962,73.79756858221288,76.81169583092874
Alto José do Pinho,9112751.629,289283.565,78.16990950647391,75.63359863369604,77.66234399730494,84.50783237553753,92.12916309702979,94.06770808742613,92.82925519660753,84.97288291719603,75.28526309302939,74.66547525646628,69.48297509786487,76.90944768742622
Vasco da Gama,9113922.665,287550.762,78.77061275260878,78.14457089519983,78.8618539014946,86.76771731479819,88.55371510174484,91.2396735941161,86.13063829451403,77.64966288529828,75.2312566778626,76.677891791217,64.56553826003244,75.0086996241784
Monteiro,9112251.966,286935.676,73.96615430288284,68.22825957320839,81.65786080274465,87.97382525637222,87.77881947599121,91.46793233958888,87.33559230624333,75.82015310808995,68.36927871258374,70.98651724764368,71.61276285714666,80.18071851944457
Apipucos,9113185.175,285711.387,79.44652174502528,81.03283668444034,85.46923877179307,84.78931850654186,90.23448100455286,91.9415372816106,87.06005385916836,83.24886041870965,71.34070197380292,76.66971002838194,66.71732283744,78.7317445750101
Alto do Mandú,9112720.118,286967.594,74.45111404270318,75.39771445151057,85.42661613596268,88.11010959854295,90.45533048230848,90.37162073469848,87.20656130054851,90.66426190322412,80.1577458697469,70.34050856755289,69.86689203000469,77.31691988345723
Sítio dos Pintos,9113652.981,283248.377,74.24859980571061,71.5750674938219,85.38163631893795,85.26198540761254,95.17480581492539,90.3283676365404,84.41725403963514,82.0791857336669,76.44298355315716,66.98926110433534,62.652570642475226,81.96162527820931
Córrego do Jenipapo,9114931.748,285628.687,77.71347764481736,72.33674309588741,74.67088050075459,89.78692582523672,91.78368941378295,91.05430186132445,88.51856804011805,83.76947035210556,78.73236075710706,75.92808805502703,66.10990512896987,81.49907112292652
Dois Irmãos,9114316.891,283046.585,64.66980309478427,75.88280450028371,84.54332773591189,82.7367396738376,88.97882039940602,92.70362947652728,85.55287673396779,89.3237676748689,80.04782352026291,73.17973086697963,68.12779683236039,75.0782679764797
Macaxeira,9113929.124,286266.928,78.83287391088658,74.87970953823242,80.06118851757628,85.04239329749639,91.20743146801082,91.79574254829038,83.2559738944268,74.50693311116189,77.03089428129276,71.82468120595578,79.77257903469294,77.3849301297691
Nova Descoberta,9114374.078,285455.447,72.26364752327497,77.41698026406702,80.02531360191861,91.50134637925188,87.93481710086905,87.99800146348782,88.91354769635068,84.81439362839187,74.40104719582435,72.0639642847003,61.15775650261043,78.00809020714013
Brejo de Beberibe,9115426.776,287368.207,71.92014579590393,76.35290183740793,83.52673235093665,86.71034612422304,92.65071805690211,91.17035639970484,80.65779323610548,85.8418396082272,77.68004128172545,71.91116873963976,69.63072080646404,80.0695029936847
Guabiraba,9118925.116,280472.66,76.88997783631636,66.7439630373177,81.32111890109967,87.55576864343152,89.56598250119961,90.99359369434335,84.81861620207196,75.65968530457167,78.79103368751512,73.44513314394823,67.16658922412437,77.52546067508487
Brejo de Guabiraba,9116011.252,286470.068,77.30697275986996,77.17810759358373,81.04602921250091,85.029234708885,87.13430236222884,93.45459300069372,83.839952464419,95.36733119163674,80.11368345584096,70.66058195231828,70.97105020882745,85.4753638316652
Passarinho,9117604.478,286529.856,77.02671779277787,81.25164754038488,78.04979669776579,81.16351998868004,89.60210383538345,93.69475761780927,87.6254440672403,80.88628889652213,81.68389315420254,75.07523423387454,72.6979329690553,76.841231831373
Mangabeira,9112583.36,290041.311,78.28018212970026,73.75017217522975,83.45718990523395,87.68418583135671,89.07476904829382,91.62149861962583,84.01611884266148,83.94196944899602,81.76337146191139,81.41269423979628,71.88020444378444,79.87570426171894
Várzea Baixo,9112566.575,286421.591,82.60134240387086,79.08037417349281,83.33809663549022,92.32058522251157,90.75111995489625,90.41533122360168,82.5873696598612,76.20886462386295,71.55594349811469,67.52676060495253,69.74304472328073,72.5259603147036
Várzea UR7,9111147.548,281788.536,74.26933047836529,73.69256367017653,86.85608361547621,88.23862889355061,90.33460319071423,92.80697603019867,82.03238630743407,81.00623197864273,78.10159085224392,71.75533823158202,70.59325937674345,83.21652739670968
Caxangá,9112046.853,283641.068,64.71187940237385,77.4020844212762,77.8932757759466,84.70447018425735,87.51097222335892,92.26192358777672,83.87157303216365,88.04763790396281,74.39577807420498,75.20787553637602,70.07149453117226,79.17683750937354
Iputinga,9111218.811,284743.585,79.86421520263754,71.45791750083386,85.498805118013,87.24079419154717,86.01352757450118,91.20378303600951,89.82157860206247,80.9340211263746,68.99732579357308,66.25441791369997,68.47787242986841,78.13417423367619
Engenho do Meio,9108934.504,284977.522,68.52657116072571,70.44522692558171,87.74199233127992,85.87297716095044,87.14791233213808,92.80168529346322,80.20773275675272,85.99068502785528,81.54379937536798,76.53868795671936,67.65427502298229,79.83952303122292
